Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
BIOCARTA_TFF_PATHWAY	0.30	0.65	0.60	0.13	0.37	0.41
REACTOME_METABOLISM_OF_NUCLEOTIDES	0.87	0.50	0.01	0.29	0.38	0.41
PID_FRA_PATHWAY	0.94	0.20	0.36	0.25	0.30	0.41
PID_RAC1_REG_PATHWAY	0.76	0.68	0.21	0.27	0.14	0.412
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.21	0.05	0.56	0.63	0.62	0.414
REACTOME_FANCONI_ANEMIA_PATHWAY	0.50	0.62	0.02	0.11	0.82	0.414
REACTOME_INTEGRATION_OF_PROVIRUS	0.25	0.58	0.15	0.26	0.84	0.416
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	0.27	0.55	0.32	0.62	0.32	0.416
REACTOME_REGULATION_OF_AMPK_ACTIVITY_VIA_LKB1	0.30	0.08	0.58	0.33	0.79	0.416
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.47	0.53	0.75	0.27	0.06	0.416
BIOCARTA_GLYCOLYSIS_PATHWAY	0.54	0.11	0.43	0.53	0.49	0.42
KEGG_P53_SIGNALING_PATHWAY	0.87	0.46	0.01	0.00	0.76	0.42
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.28	0.04	0.55	0.37	0.87	0.422
REACTOME_ENOS_ACTIVATION_AND_REGULATION	0.71	0.40	0.23	0.18	0.60	0.424
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND	0.49	0.95	0.21	0.13	0.34	0.424
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.89	0.23	0.05	0.16	0.80	0.426
REACTOME_SIGNALING_BY_SCF_KIT	0.82	0.15	0.61	0.52	0.03	0.426
BIOCARTA_P27_PATHWAY	0.85	0.59	0.05	0.18	0.46	0.426
PID_ERBB2ERBB3PATHWAY	0.74	0.09	0.82	0.33	0.16	0.428
BIOCARTA_IL2RB_PATHWAY	0.96	0.69	0.27	0.20	0.02	0.428
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	0.90	0.25	0.09	0.45	0.45	0.428
REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS	0.46	0.01	0.54	0.91	0.22	0.428
REACTOME_G1_S_TRANSITION	0.65	0.42	0.12	0.27	0.69	0.43
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.47	0.62	0.45	0.03	0.59	0.432
PID_MYC_PATHWAY	0.29	0.76	0.28	0.54	0.29	0.432
PID_HDAC_CLASSII_PATHWAY	0.93	0.14	0.34	0.23	0.52	0.432
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.49	0.36	0.42	0.77	0.12	0.432
PID_ILK_PATHWAY	0.72	0.89	0.17	0.04	0.35	0.434
KEGG_TYROSINE_METABOLISM	0.65	0.03	0.49	0.58	0.42	0.434
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	0.27	0.55	0.28	0.61	0.46	0.434
BIOCARTA_MTA3_PATHWAY	0.67	0.20	0.33	0.05	0.92	0.434
REACTOME_G2_M_CHECKPOINTS	0.86	0.33	0.01	0.08	0.89	0.434
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.35	0.47	0.52	0.38	0.45	0.434
BIOCARTA_SPRY_PATHWAY	0.55	0.71	0.62	0.13	0.16	0.434
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	0.74	0.11	0.73	0.47	0.12	0.434
KEGG_LYSINE_DEGRADATION	0.52	0.44	0.49	0.10	0.63	0.436
BIOCARTA_P53_PATHWAY	0.92	0.55	0.11	0.11	0.50	0.438
PID_IL3_PATHWAY	0.32	0.79	0.60	0.22	0.26	0.438
BIOCARTA_IGF1_PATHWAY	0.88	0.30	0.49	0.37	0.16	0.44
BIOCARTA_IL6_PATHWAY	0.46	0.62	0.32	0.40	0.40	0.44
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.74	0.15	0.32	0.33	0.67	0.442
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	0.90	0.28	0.00	0.10	0.93	0.442
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	0.63	0.16	0.55	0.33	0.55	0.444
REACTOME_ERK_MAPK_TARGETS	0.46	0.55	0.46	0.69	0.07	0.446
PID_P38ALPHABETADOWNSTREAMPATHWAY	0.46	0.29	0.84	0.52	0.12	0.446
REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	0.63	0.57	0.00	0.11	0.92	0.446
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	0.32	0.85	0.50	0.22	0.35	0.448
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	0.88	0.60	0.57	0.14	0.05	0.448
REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC	0.43	0.93	0.40	0.13	0.35	0.448
REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION	0.21	0.20	0.68	0.88	0.28	0.45
REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE	0.78	0.27	0.09	0.13	0.98	0.45
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.98	0.57	0.09	0.54	0.07	0.45
BIOCARTA_CTCF_PATHWAY	0.42	0.13	0.95	0.75	0.00	0.45
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.67	0.08	0.78	0.27	0.46	0.452
KEGG_MTOR_SIGNALING_PATHWAY	0.98	0.09	0.81	0.30	0.08	0.452
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	0.65	0.00	0.83	0.75	0.03	0.452
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.53	0.70	0.37	0.60	0.07	0.454
REACTOME_PHOSPHORYLATION_OF_THE_APC_C	0.98	0.40	0.04	0.40	0.46	0.456
REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN	0.23	0.04	0.68	0.66	0.67	0.456
REACTOME_SIGNALING_BY_BMP	0.21	0.46	0.77	0.40	0.44	0.456
PID_RET_PATHWAY	0.37	0.02	0.93	0.35	0.61	0.456
PID_PS1PATHWAY	0.65	0.16	0.54	0.68	0.26	0.458
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	0.90	0.25	0.41	0.49	0.26	0.462
PID_TCPTP_PATHWAY	0.93	0.49	0.42	0.23	0.24	0.462
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	0.47	0.59	0.52	0.67	0.07	0.464
PID_CASPASE_PATHWAY	0.52	0.72	0.24	0.34	0.50	0.464
KEGG_GALACTOSE_METABOLISM	0.46	0.24	0.53	0.95	0.14	0.464
PID_LYSOPHOSPHOLIPID_PATHWAY	0.87	0.16	0.71	0.48	0.11	0.466
REACTOME_M_G1_TRANSITION	0.60	0.32	0.27	0.30	0.86	0.47
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	0.28	0.06	0.99	0.95	0.07	0.47
BIOCARTA_PGC1A_PATHWAY	0.47	0.11	0.46	0.40	0.92	0.472
REACTOME_PLATELET_SENSITIZATION_BY_LDL	0.32	0.56	0.75	0.63	0.10	0.472
REACTOME_NETRIN1_SIGNALING	0.19	0.22	0.87	0.93	0.15	0.472
REACTOME_SIGNALING_BY_FGFR_MUTANTS	0.96	0.03	0.93	0.35	0.12	0.478
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.70	0.87	0.66	0.16	0.00	0.478
KEGG_ACUTE_MYELOID_LEUKEMIA	0.56	0.66	0.65	0.52	0.00	0.478
BIOCARTA_CARM_ER_PATHWAY	0.76	0.49	0.36	0.16	0.62	0.478
KEGG_MELANOMA	0.70	0.09	0.52	0.77	0.31	0.478
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.67	0.17	0.47	0.50	0.59	0.48
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	0.80	0.55	0.26	0.21	0.58	0.48
BIOCARTA_G2_PATHWAY	0.92	0.62	0.00	0.03	0.83	0.48
REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION	0.20	0.22	0.76	0.61	0.62	0.482
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	0.66	0.50	0.62	0.40	0.23	0.482
PID_P38_MK2PATHWAY	0.69	0.62	0.12	0.54	0.45	0.484
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.56	0.43	0.26	0.76	0.41	0.484
BIOCARTA_EDG1_PATHWAY	0.46	0.57	0.42	0.59	0.39	0.486
KEGG_ERBB_SIGNALING_PATHWAY	0.84	0.06	0.89	0.58	0.06	0.486
PID_EPHBFWDPATHWAY	0.39	0.03	0.84	0.74	0.43	0.486
KEGG_CELL_CYCLE	0.76	0.48	0.06	0.15	0.99	0.488
PID_ANGIOPOIETINRECEPTOR_PATHWAY	0.72	0.02	0.62	0.88	0.20	0.488
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.21	0.01	0.83	0.88	0.52	0.49
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE	0.14	0.57	0.50	0.73	0.52	0.492
REACTOME_APOPTOSIS	0.63	0.29	0.42	0.62	0.50	0.492
REACTOME_SIGNALING_BY_FGFR3_MUTANTS	0.72	0.36	0.84	0.36	0.18	0.492
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.10	0.29	0.54	0.69	0.85	0.494
KEGG_PHENYLALANINE_METABOLISM	0.95	0.18	0.35	0.63	0.36	0.494
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.92	0.56	0.71	0.13	0.15	0.494
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.76	0.98	0.01	0.21	0.52	0.496
REACTOME_MEMBRANE_BINDING_AND_TARGETTING_OF_GAG_PROTEINS	0.10	0.07	0.80	0.67	0.84	0.496
BIOCARTA_NEUROTRANSMITTERS_PATHWAY	0.46	0.00	0.35	0.74	0.94	0.498
REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION	0.44	0.29	0.33	0.61	0.82	0.498
REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS	0.93	0.59	0.12	0.63	0.23	0.5
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	0.84	0.19	0.79	0.22	0.46	0.5
ST_FAS_SIGNALING_PATHWAY	0.52	0.78	0.30	0.47	0.43	0.5
REACTOME_POL_SWITCHING	0.83	0.99	0.11	0.15	0.42	0.5
REACTOME_PECAM1_INTERACTIONS	0.14	0.96	0.41	0.62	0.38	0.502
REACTOME_GABA_RECEPTOR_ACTIVATION	0.07	0.20	0.82	0.52	0.90	0.502
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.77	0.04	0.23	0.48	0.99	0.502
REACTOME_SHC_MEDIATED_CASCADE	0.93	0.01	0.75	0.67	0.16	0.504
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE	0.83	0.40	0.07	0.33	0.89	0.504
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.20	0.18	0.83	0.38	0.93	0.504
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.04	0.79	0.87	0.33	0.50	0.506
ST_GAQ_PATHWAY	0.18	0.40	0.45	0.75	0.75	0.506
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	0.21	0.91	0.58	0.55	0.28	0.506
PID_BETACATENIN_NUC_PATHWAY	0.56	0.27	0.79	0.77	0.15	0.508
PID_IL2_STAT5PATHWAY	0.76	0.69	0.06	0.36	0.67	0.508
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	0.28	0.64	0.79	0.14	0.69	0.508
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	0.59	0.21	0.71	0.80	0.23	0.508
PID_AVB3_INTEGRIN_PATHWAY	0.55	0.12	0.85	0.82	0.21	0.51
BIOCARTA_ARF_PATHWAY	0.99	0.40	0.26	0.77	0.13	0.51
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	0.70	0.18	0.95	0.66	0.06	0.51
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.96	0.67	0.10	0.22	0.60	0.51
REACTOME_SIGNALING_BY_FGFR1_MUTANTS	0.98	0.51	0.84	0.18	0.05	0.512
REACTOME_S_PHASE	0.84	0.57	0.15	0.36	0.65	0.514
PID_CIRCADIANPATHWAY	0.91	0.87	0.19	0.13	0.48	0.516
BIOCARTA_CXCR4_PATHWAY	0.84	0.71	0.35	0.33	0.35	0.516
BIOCARTA_TRKA_PATHWAY	0.35	0.67	0.54	0.22	0.80	0.516
WNT_SIGNALING	0.39	0.25	0.89	0.78	0.28	0.518
REACTOME_TRYPTOPHAN_CATABOLISM	0.40	0.20	0.66	0.49	0.84	0.518
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.52	0.66	0.35	0.69	0.37	0.518
REACTOME_PI3K_CASCADE	0.82	0.01	0.94	0.77	0.06	0.52
BIOCARTA_EPHA4_PATHWAY	0.07	0.97	0.79	0.57	0.20	0.52
SA_G1_AND_S_PHASES	0.85	0.44	0.07	0.68	0.56	0.52
PID_MYC_ACTIVPATHWAY	0.80	0.41	0.27	0.15	0.98	0.522
PID_RHOA_REG_PATHWAY	0.90	0.28	0.36	0.95	0.12	0.522
REACTOME_TIE2_SIGNALING	0.98	0.05	0.91	0.52	0.16	0.524
REACTOME_P2Y_RECEPTORS	0.77	0.36	0.50	0.83	0.16	0.524
REACTOME_GAP_JUNCTION_TRAFFICKING	0.45	0.63	0.94	0.60	0.00	0.524
