Gene Set	Basal	Her2	LumA	LumB	Average AUC
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.76837433	0.68324936	0.72258167	0.47826276	0.66311703
PID_BARD1PATHWAY	0.77431223	0.68859375	0.71667196	0.47216311	0.6629352625
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.76547358	0.70870481	0.72659985	0.45011140	0.66272241
PID_P38ALPHABETADOWNSTREAMPATHWAY	0.76243320	0.69877460	0.71067448	0.47260337	0.6611214125
REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE	0.75451803	0.70806627	0.71657759	0.46356995	0.66068296
REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1	0.75338850	0.70618876	0.71043094	0.47165611	0.6604160775
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.77336586	0.68907866	0.72213758	0.45592674	0.66012721
PID_LKB1_PATHWAY	0.76265192	0.68937830	0.71568610	0.46903728	0.6591884
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.77020576	0.68333220	0.72452569	0.45820046	0.6590660275
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.77568616	0.68611495	0.72841125	0.44213180	0.65808604
KEGG_THYROID_CANCER	0.75697554	0.70751794	0.70538604	0.46064943	0.6576322375
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.74717834	0.67671381	0.72441062	0.47853194	0.6567086775
REACTOME_SIGNALING_BY_NOTCH	0.74811114	0.71127487	0.72770172	0.42367225	0.652689995
REACTOME_GPCR_DOWNSTREAM_SIGNALING	0.67060655	0.62431291	0.67730271	0.54016729	0.628097365
REACTOME_IMMUNE_SYSTEM	0.65665480	0.63405426	0.66528703	0.54325897	0.624813765
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.63373325	0.62196978	0.65810498	0.56601263	0.61995516
REACTOME_SIGNALING_BY_GPCR	0.68239137	0.59611389	0.66783270	0.52604130	0.618094815
REACTOME_CELL_CELL_COMMUNICATION	0.68275074	0.59761768	0.67342360	0.51682716	0.617654795
PID_FCER1PATHWAY	0.71519559	0.55299249	0.62445517	0.57751304	0.6175390725
PID_INSULIN_PATHWAY	0.67131356	0.58237541	0.61513802	0.56713513	0.60899053
REACTOME_NEURONAL_SYSTEM	0.61068992	0.54382140	0.66929402	0.60017703	0.6059955925
PID_PDGFRBPATHWAY	0.65533779	0.58892063	0.62226194	0.55449877	0.6052547825
PID_CXCR4_PATHWAY	0.66908140	0.65678870	0.60473894	0.48495381	0.6038907125
REACTOME_SIGNALING_BY_PDGF	0.63353561	0.64210058	0.63344980	0.50550862	0.6036486525
PID_PTP1BPATHWAY	0.66545032	0.58726744	0.58940290	0.56732000	0.602360165
PID_IL2_STAT5PATHWAY	0.66479230	0.59603292	0.59869827	0.54617061	0.601423525
PID_MET_PATHWAY	0.70760334	0.56416543	0.67846367	0.44825144	0.59962097
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.66740105	0.58574676	0.60568594	0.53528167	0.598528855
SIG_CHEMOTAXIS	0.67588630	0.61604380	0.59356887	0.50376818	0.5973167875
ST_INTEGRIN_SIGNALING_PATHWAY	0.68325179	0.61589178	0.60809035	0.47976603	0.5967499875
PID_LYMPHANGIOGENESIS_PATHWAY	0.69268371	0.52499172	0.62332345	0.54187392	0.5957182
REACTOME_SIGNALING_BY_EGFR_IN_CANCER	0.65612525	0.63822629	0.62853934	0.45931704	0.59555198
REACTOME_METABOLISM_OF_PROTEINS	0.62193607	0.64510030	0.62357254	0.48919576	0.5949511675
REACTOME_TCR_SIGNALING	0.67654189	0.55404119	0.59561718	0.54971209	0.5939780875
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	0.65825652	0.56928092	0.59338719	0.54946978	0.5925986025
REACTOME_PHOSPHOLIPID_METABOLISM	0.66131027	0.56347376	0.63278285	0.50904875	0.5916539075
PID_TRKRPATHWAY	0.64552874	0.58761254	0.59548125	0.53160821	0.590057685
PID_KITPATHWAY	0.67075852	0.51845487	0.60880361	0.56181204	0.58995726
BIOCARTA_RAC1_PATHWAY	0.66295642	0.61100313	0.61045526	0.46820097	0.588153945
PID_AR_NONGENOMIC_PATHWAY	0.67791147	0.49967177	0.60470150	0.56741407	0.5874247025
KEGG_FOCAL_ADHESION	0.63239785	0.58557524	0.62499019	0.50183045	0.5861984325
KEGG_ERBB_SIGNALING_PATHWAY	0.65575900	0.59365144	0.60306428	0.48732706	0.584950445
KEGG_ACUTE_MYELOID_LEUKEMIA	0.68519461	0.51746506	0.62558839	0.50986349	0.5845278875
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.60578058	0.54187657	0.62929699	0.56115357	0.5845269275
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.58762841	0.59930249	0.60889539	0.54169011	0.5843791
PID_ERBB1_INTERNALIZATION_PATHWAY	0.65443634	0.54019746	0.60684011	0.53421558	0.5839223725
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	0.67460858	0.59362619	0.62017363	0.44582377	0.5835580425
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	0.69206283	0.46489990	0.64253476	0.53408412	0.5833954025
PID_HEDGEHOG_2PATHWAY	0.66846479	0.57390878	0.61628191	0.47425981	0.5832288225
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.65358419	0.49699334	0.63335571	0.54562004	0.58238832
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.66850373	0.52012590	0.63643523	0.50325881	0.5820809175
BIOCARTA_INSULIN_PATHWAY	0.66076572	0.56209459	0.59320548	0.51147933	0.58188628
REACTOME_OLFACTORY_SIGNALING_PATHWAY	0.60048025	0.58800550	0.60567028	0.53052053	0.58116914
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.61764023	0.65570418	0.60340619	0.44736049	0.5810277725
REACTOME_SIGNALING_BY_FGFR1_MUTANTS	0.65708395	0.52708161	0.59974057	0.53699532	0.5802253625
KEGG_INSULIN_SIGNALING_PATHWAY	0.66587768	0.53542762	0.60482832	0.51443119	0.5801412025
REACTOME_SIGNALING_BY_FGFR	0.63346502	0.54698858	0.61766241	0.52123780	0.5798384525
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR	0.64118242	0.53924345	0.61280893	0.52532916	0.57964099
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.66815223	0.51476620	0.61115185	0.52334977	0.5793550125
PID_CDC42_PATHWAY	0.70989975	0.42146467	0.67309715	0.51162488	0.5790216125
PID_TRAIL_PATHWAY	0.68819387	0.46480622	0.62507597	0.53529841	0.5783436175
PID_FASPATHWAY	0.69952627	0.45145744	0.62687987	0.53054322	0.5771017
PID_NECTIN_PATHWAY	0.67215277	0.53798724	0.61880734	0.47701518	0.5764906325
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.63094324	0.56301802	0.61341387	0.49688506	0.5760650475
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	0.65569285	0.46207014	0.60367293	0.58223171	0.5759169075
PID_GMCSF_PATHWAY	0.65494161	0.54607326	0.59549086	0.50698680	0.5758731325
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	0.66628599	0.49771842	0.59031635	0.54845707	0.5756944575
ST_B_CELL_ANTIGEN_RECEPTOR	0.65420042	0.49666355	0.61365146	0.53694837	0.57536595
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.66865234	0.52461540	0.60048190	0.50676130	0.575127735
PID_FAK_PATHWAY	0.66423365	0.48853780	0.58782807	0.55906920	0.57491718
KEGG_RENAL_CELL_CARCINOMA	0.65424474	0.51602613	0.61274087	0.51440688	0.574354655
REACTOME_PI_3K_CASCADE	0.65828620	0.46759387	0.61426240	0.55652768	0.5741675375
REACTOME_PI3K_CASCADE	0.64836695	0.48195857	0.60716624	0.55791202	0.573850945
PID_EPHRINBREVPATHWAY	0.67358142	0.44696264	0.59620038	0.57777195	0.5736290975
SIG_BCR_SIGNALING_PATHWAY	0.66909833	0.46320913	0.60714234	0.55437448	0.57345607
PID_IFNGPATHWAY	0.67850674	0.49194425	0.62626721	0.49689816	0.57340409
REACTOME_GAB1_SIGNALOSOME	0.66813000	0.49539517	0.62713859	0.50294255	0.5734015775
BIOCARTA_NGF_PATHWAY	0.65835208	0.54914925	0.58664194	0.49896143	0.573276175
BIOCARTA_NFAT_PATHWAY	0.66228783	0.46125891	0.62083573	0.54862604	0.5732521275
REACTOME_SIGNALING_BY_FGFR_MUTANTS	0.65868049	0.49116696	0.58773723	0.55482583	0.5731026275
PID_ER_NONGENOMIC_PATHWAY	0.67315318	0.45609057	0.60339176	0.55877383	0.572852335
BIOCARTA_MTOR_PATHWAY	0.68781078	0.47914463	0.61026346	0.51355799	0.572694215
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.62414529	0.59987965	0.53386402	0.53085068	0.57218491
PID_IL4_2PATHWAY	0.67247207	0.57039739	0.58622207	0.45930719	0.57209968
KEGG_OLFACTORY_TRANSDUCTION	0.60239999	0.59775946	0.61591247	0.47212431	0.5720490575
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.64970560	0.50012545	0.59897600	0.53919091	0.57199949
PID_PI3KCIPATHWAY	0.66845471	0.52348034	0.59662535	0.49937343	0.5719834575
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.64586584	0.48865460	0.60777301	0.54561863	0.57197802
PID_PDGFRAPATHWAY	0.65737744	0.51736027	0.59369983	0.51903975	0.5718693225
PID_RET_PATHWAY	0.65154122	0.50926158	0.60038282	0.52543237	0.5716544975
BIOCARTA_AKT_PATHWAY	0.67132874	0.47195022	0.60629958	0.53673071	0.5715773125
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.56482955	0.59823642	0.58227816	0.54080658	0.5715376775
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.65846312	0.51176446	0.59282294	0.52188817	0.5712346725
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	0.64657440	0.50149538	0.61393232	0.52172072	0.570930705
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.61018609	0.60300647	0.62882392	0.44134580	0.57084057
REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	0.59354004	0.58222669	0.63379580	0.47284921	0.570602935
BIOCARTA_PTEN_PATHWAY	0.68374283	0.48653172	0.61199872	0.49969353	0.5704917
BIOCARTA_TPO_PATHWAY	0.65800209	0.56543620	0.59149440	0.46610615	0.57025971
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	0.64951523	0.47898796	0.62653135	0.52379060	0.569706285
BIOCARTA_PDGF_PATHWAY	0.69026832	0.50179724	0.61659374	0.46900699	0.5694165725
BIOCARTA_FCER1_PATHWAY	0.67892955	0.49411821	0.63622926	0.46626260	0.568884905
BIOCARTA_HDAC_PATHWAY	0.67554724	0.46912006	0.59187092	0.53687775	0.5683539925
PID_REELINPATHWAY	0.66689096	0.46022349	0.61215676	0.53357266	0.5682109675
REACTOME_SIGNALING_BY_RHO_GTPASES	0.60514296	0.59379645	0.58661363	0.48663528	0.56804708
PID_FANCONI_PATHWAY	0.56334194	0.59466235	0.56098240	0.55296713	0.567988455
PID_ECADHERIN_KERATINOCYTE_PATHWAY	0.69287067	0.45516636	0.62664511	0.49489463	0.5673941925
SA_PTEN_PATHWAY	0.67266219	0.48538797	0.61597413	0.49344841	0.566868175
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.65418822	0.48311040	0.59601150	0.53334413	0.5666635625
PID_IL3_PATHWAY	0.64994866	0.50009327	0.60010146	0.51363806	0.5659453625
BIOCARTA_IL7_PATHWAY	0.65456063	0.50177172	0.59505101	0.51216227	0.5658864075
KEGG_CALCIUM_SIGNALING_PATHWAY	0.56787675	0.63389741	0.60881258	0.45228926	0.565719
REACTOME_TIE2_SIGNALING	0.64494097	0.47940390	0.59853358	0.53865058	0.5653822575
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.58262878	0.59207874	0.62096401	0.46435248	0.5650060025
REACTOME_DNA_REPAIR	0.56702211	0.61655607	0.56440742	0.51097650	0.564740525
REACTOME_INNATE_IMMUNE_SYSTEM	0.61173516	0.52211744	0.60741078	0.51705681	0.5645800475
BIOCARTA_LONGEVITY_PATHWAY	0.67326423	0.44458919	0.60970173	0.53052349	0.56451966
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.66698332	0.47545918	0.61766080	0.49787988	0.564495795
BIOCARTA_TCR_PATHWAY	0.68901771	0.46269387	0.62165117	0.48462016	0.5644957275
BIOCARTA_ECM_PATHWAY	0.63863838	0.57762463	0.59483821	0.44436324	0.563866115
BIOCARTA_ERK5_PATHWAY	0.67401722	0.45349858	0.61198208	0.51565692	0.5637887
PID_NEPHRIN_NEPH1_PATHWAY	0.67761694	0.48723660	0.62098608	0.46850136	0.563585245
BIOCARTA_MET_PATHWAY	0.65388136	0.54919662	0.59619228	0.45475924	0.563507375
BIOCARTA_IL2RB_PATHWAY	0.66855695	0.47781667	0.59766126	0.50974963	0.5634461275
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	0.65931455	0.44280012	0.59839379	0.55237713	0.5632213975
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	0.67347007	0.44955630	0.61438178	0.51532790	0.5631840125
BIOCARTA_TRKA_PATHWAY	0.67691830	0.45863983	0.60829424	0.50657849	0.562607715
BIOCARTA_IGF1R_PATHWAY	0.66486220	0.45767800	0.61910822	0.50868856	0.562584245
PID_IL5_PATHWAY	0.65214938	0.49295390	0.60790190	0.49573113	0.5621840775
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	0.66603206	0.52729541	0.61104672	0.44379573	0.56204248
PID_VEGFR1_PATHWAY	0.66329627	0.47312042	0.60004481	0.51089432	0.561838955
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	0.66893113	0.48360868	0.60835637	0.48537628	0.561568115
PID_IGF1_PATHWAY	0.66728894	0.47343353	0.59885328	0.50592611	0.561375465
BIOCARTA_EIF4_PATHWAY	0.68977243	0.48723886	0.61249830	0.45563998	0.5612873925
REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR	0.66232839	0.45246607	0.59910191	0.53075153	0.561161975
REACTOME_SIGNALING_BY_SCF_KIT	0.65365249	0.46847428	0.61109783	0.51001361	0.5608095525
REACTOME_DOWNSTREAM_TCR_SIGNALING	0.66355239	0.51051427	0.58967262	0.47853535	0.5605686575
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	0.66656581	0.45766620	0.60897885	0.50880117	0.5605030075
PID_BCR_5PATHWAY	0.69027741	0.44004683	0.61979817	0.49180844	0.5604827125
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	0.65608340	0.45787300	0.60245447	0.52378576	0.5600491575
PID_PI3KPLCTRKPATHWAY	0.66679260	0.45253591	0.61618703	0.50445066	0.55999155
BIOCARTA_HCMV_PATHWAY	0.68494237	0.44132976	0.63382484	0.47949861	0.559898895
REACTOME_PI3K_AKT_ACTIVATION	0.66610325	0.46611080	0.61247272	0.49283150	0.5593795675
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.66730099	0.49158651	0.61644775	0.46199509	0.559332585
SA_TRKA_RECEPTOR	0.65138980	0.48666204	0.59698049	0.50204284	0.5592687925
ST_ADRENERGIC	0.64018444	0.52556463	0.61904464	0.45112926	0.5589807425
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	0.63904181	0.43810751	0.60822167	0.54977728	0.5587870675
PID_CXCR3PATHWAY	0.67401497	0.46977056	0.62200936	0.46872076	0.5586289125
BIOCARTA_TFF_PATHWAY	0.67499802	0.43833569	0.62231938	0.49851990	0.5585432475
BIOCARTA_EGF_PATHWAY	0.70213338	0.43207381	0.62678329	0.47139748	0.55809699
REACTOME_SIGNALING_BY_ERBB4	0.66660178	0.51495017	0.60506616	0.44482710	0.5578613025
PID_ERBB4_PATHWAY	0.65378674	0.46405567	0.60027018	0.51301106	0.5577809125
PID_ERBB2ERBB3PATHWAY	0.66424792	0.49132179	0.60771238	0.46784141	0.557780875
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	0.60661997	0.53384453	0.60872749	0.48190421	0.55777405
BIOCARTA_EDG1_PATHWAY	0.67139202	0.50183064	0.60869970	0.44834504	0.55756685
PID_ANGIOPOIETINRECEPTOR_PATHWAY	0.66951998	0.48865708	0.60441048	0.46691274	0.55737507
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.66489950	0.45155605	0.59159594	0.52140405	0.557363885
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	0.66429350	0.47488166	0.61203751	0.47619790	0.5568526425
BIOCARTA_HER2_PATHWAY	0.65775604	0.47424114	0.58049306	0.51443632	0.55673164
BIOCARTA_RAS_PATHWAY	0.66929068	0.47076231	0.61227759	0.47458645	0.5567292575
SIG_CD40PATHWAYMAP	0.66112322	0.45715857	0.61227362	0.49451653	0.556267985
PID_ECADHERIN_NASCENTAJ_PATHWAY	0.69527819	0.45814529	0.63065502	0.43691335	0.5552479625
REACTOME_SIGNALLING_BY_NGF	0.68624898	0.41704652	0.61839110	0.49808163	0.5549420575
REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS	0.66078684	0.49292695	0.59439457	0.47146854	0.554894225
PID_THROMBIN_PAR1_PATHWAY	0.64475637	0.47533358	0.59042143	0.50867232	0.554795925
BIOCARTA_IGF1_PATHWAY	0.66132892	0.45098843	0.59038190	0.51555075	0.5545625
PID_FGF_PATHWAY	0.69985331	0.42355589	0.64182410	0.45267041	0.5544759275
ST_INTERLEUKIN_4_PATHWAY	0.66682251	0.48293613	0.60204978	0.46388550	0.55392348
KEGG_VEGF_SIGNALING_PATHWAY	0.65865835	0.45484712	0.61285074	0.48844581	0.553700505
PID_NFKAPPABATYPICALPATHWAY	0.64894316	0.51004367	0.59102918	0.46474825	0.553691065
BIOCARTA_GSK3_PATHWAY	0.66385955	0.46536959	0.59665281	0.48812999	0.553502985
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.67347088	0.43698886	0.67000820	0.43344245	0.5534775975
REACTOME_CD28_CO_STIMULATION	0.65854828	0.47277452	0.61710187	0.46416350	0.5531470425
PID_TCPTP_PATHWAY	0.64574400	0.49414900	0.59449093	0.47782140	0.5530513325
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	0.67252932	0.47055680	0.61253240	0.45628229	0.5529752025
KEGG_DILATED_CARDIOMYOPATHY	0.62632772	0.49761781	0.57260781	0.51485776	0.552852775
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	0.58813485	0.49665668	0.57649161	0.54978033	0.5527658675
BIOCARTA_GH_PATHWAY	0.66666227	0.49233664	0.59325581	0.45854326	0.552699495
PID_IL6_7PATHWAY	0.65475823	0.45161788	0.61970619	0.48337026	0.55236314
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	0.67967432	0.45469415	0.61637779	0.45824393	0.5522475475
REACTOME_NEPHRIN_INTERACTIONS	0.63716457	0.51911163	0.58841572	0.46323583	0.5519819375
PID_IL2_1PATHWAY	0.64905936	0.50052648	0.57188326	0.48612013	0.5518973075
BIOCARTA_CDC42RAC_PATHWAY	0.64930819	0.49982536	0.59417986	0.46307128	0.5515961725
PID_VEGFR1_2_PATHWAY	0.65456776	0.47665593	0.59961729	0.47547482	0.55157895
PID_ERBB1_DOWNSTREAM_PATHWAY	0.69775438	0.44153557	0.62096625	0.44605152	0.55157693
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	0.65183582	0.44459910	0.60236198	0.50674688	0.551385945
BIOCARTA_NKCELLS_PATHWAY	0.64654346	0.44414712	0.59514441	0.51948344	0.5513296075
BIOCARTA_GCR_PATHWAY	0.66695870	0.45408044	0.62251690	0.46057966	0.551033925
REACTOME_PI_METABOLISM	0.64513724	0.45140322	0.60106115	0.50645879	0.5510151
REACTOME_SIGNALING_BY_ERBB2	0.64766804	0.50442150	0.59434276	0.45570527	0.5505343925
REACTOME_IL_RECEPTOR_SHC_SIGNALING	0.64360972	0.44813278	0.59696365	0.51302480	0.5504327375
BIOCARTA_RACCYCD_PATHWAY	0.66275911	0.46799431	0.61275142	0.45816978	0.550418655
BIOCARTA_BAD_PATHWAY	0.67189535	0.46151529	0.60539612	0.46198806	0.550198705
PID_IL2_PI3KPATHWAY	0.67216590	0.45228273	0.61489061	0.45895917	0.5495746025
PID_NETRIN_PATHWAY	0.65607160	0.48367841	0.59937631	0.45858207	0.5494270975
BIOCARTA_CTLA4_PATHWAY	0.65212971	0.44167183	0.59970660	0.50282534	0.54908337
BIOCARTA_CREB_PATHWAY	0.66522485	0.44510657	0.61822460	0.46705417	0.5489025475
BIOCARTA_PAR1_PATHWAY	0.65731477	0.47381894	0.60605102	0.45753516	0.5486799725
REACTOME_CELL_CYCLE_MITOTIC	0.52890190	0.60738404	0.60907592	0.44920576	0.548641905
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	0.61914310	0.42901974	0.59184000	0.55247155	0.5481185975
BIOCARTA_IGF1MTOR_PATHWAY	0.68183749	0.45557230	0.60544903	0.44662308	0.547370475
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.53729404	0.58983160	0.58613836	0.47574186	0.547251465
PID_AVB3_INTEGRIN_PATHWAY	0.65511191	0.45276309	0.61031285	0.47039398	0.5471454575
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.64556347	0.45523446	0.59051778	0.49702840	0.5470860275
REACTOME_L1CAM_INTERACTIONS	0.58554541	0.44177448	0.57717136	0.58331849	0.546952435
PID_P73PATHWAY	0.57156940	0.49893227	0.58007580	0.53684454	0.5468555025
REACTOME_GPCR_LIGAND_BINDING	0.61368738	0.43692015	0.58928980	0.54660941	0.546626685
BIOCARTA_CXCR4_PATHWAY	0.64688252	0.47027881	0.60034726	0.46877744	0.5465715075
BIOCARTA_ACH_PATHWAY	0.66395833	0.46572841	0.59629856	0.45845421	0.5461098775
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.63789323	0.48135624	0.59042611	0.47401166	0.54592181
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.65879508	0.44736152	0.59093547	0.48595682	0.5457622225
PID_IL1PATHWAY	0.63861799	0.44678799	0.58980217	0.50719272	0.5456002175
