Gene Set	BLCA	BRCA	COAD	GBM	HNSC	KIRC	LAML	LUAD	LUSC	OV	READ	UCEC	Average p-value
BIOCARTA_HER2_PATHWAY	0.13	0.19	0.08	0.53	0.27	0.83	0.21	0.02	0.62	0.06	0.16	0.38	0.29
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.14	0.45	0.07	0.64	0.15	0.76	0.92	0.10	0.15	0.06	0.04	0.00	0.29
REACTOME_MEMBRANE_TRAFFICKING	0.13	0.59	0.04	0.64	0.07	0.00	0.92	0.67	0.02	0.02	0.05	0.34	0.290833333333
BIOCARTA_STRESS_PATHWAY	0.85	0.13	0.05	0.34	0.75	0.38	0.21	0.09	0.27	0.03	0.27	0.12	0.290833333333
PID_HDAC_CLASSI_PATHWAY	0.04	0.02	0.18	0.72	0.61	0.15	0.81	0.15	0.11	0.00	0.27	0.44	0.291666666667
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.13	0.56	0.30	0.26	0.00	0.10	0.91	0.79	0.04	0.06	0.37	0.00	0.293333333333
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	0.22	0.01	0.64	0.94	0.07	0.26	0.26	0.03	0.05	0.29	0.22	0.57	0.296666666667
PID_P38ALPHABETADOWNSTREAMPATHWAY	0.25	0.30	0.00	0.28	0.31	0.45	0.67	0.62	0.31	0.00	0.32	0.06	0.2975
REACTOME_KINESINS	0.25	0.26	0.29	0.06	0.01	0.24	0.63	0.82	0.00	0.87	0.20	0.01	0.303333333333
SA_B_CELL_RECEPTOR_COMPLEXES	0.35	0.11	0.19	0.72	0.46	0.51	0.21	0.02	0.28	0.00	0.31	0.49	0.304166666667
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	0.31	0.69	0.09	0.75	0.12	0.47	0.31	0.36	0.04	0.02	0.20	0.30	0.305
REACTOME_SIGNALING_BY_NOTCH1	0.02	0.59	0.07	0.79	0.02	0.07	0.81	0.39	0.00	0.05	0.19	0.69	0.3075
BIOCARTA_DNAFRAGMENT_PATHWAY	0.21	0.17	0.08	0.67	0.30	0.17	0.34	0.59	0.20	0.27	0.20	0.50	0.308333333333
REACTOME_SIGNALING_BY_NOTCH	0.05	0.43	0.52	0.36	0.14	0.01	0.91	0.14	0.02	0.22	0.17	0.76	0.310833333333
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.61	0.06	0.14	0.46	0.11	0.01	0.67	0.19	0.18	0.42	0.35	0.54	0.311666666667
REACTOME_INTEGRATION_OF_PROVIRUS	0.33	0.30	0.04	0.77	0.53	0.27	0.79	0.61	0.04	0.01	0.04	0.02	0.3125
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.13	0.66	0.21	0.30	0.45	0.46	0.20	0.55	0.26	0.09	0.20	0.25	0.313333333333
PID_HDAC_CLASSIII_PATHWAY	0.06	0.43	0.07	0.65	0.43	0.41	0.65	0.40	0.13	0.01	0.39	0.16	0.315833333333
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	0.23	0.48	0.58	0.55	0.05	0.08	0.65	0.53	0.25	0.05	0.16	0.18	0.315833333333
REACTOME_SIGNALING_BY_ERBB2	0.05	0.06	0.50	0.23	0.27	0.10	0.91	0.35	0.06	0.34	0.01	0.93	0.3175
PID_ECADHERIN_KERATINOCYTE_PATHWAY	0.35	0.45	0.50	0.01	0.28	0.32	0.38	0.36	0.20	0.11	0.11	0.75	0.318333333333
PID_VEGFR1_2_PATHWAY	0.03	0.02	0.18	0.25	0.63	0.75	0.81	0.50	0.27	0.00	0.02	0.37	0.319166666667
BIOCARTA_CERAMIDE_PATHWAY	0.13	0.23	0.47	0.04	0.60	0.37	0.21	0.58	0.59	0.00	0.28	0.34	0.32
REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.45	0.42	0.23	0.60	0.52	0.22	0.17	0.66	0.09	0.18	0.17	0.13	0.32
PID_FOXOPATHWAY	0.11	0.28	0.07	0.99	0.10	0.70	0.67	0.24	0.13	0.53	0.01	0.04	0.3225
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	0.72	0.44	0.01	0.08	0.08	0.15	0.81	0.47	0.61	0.05	0.40	0.06	0.323333333333
KEGG_PROTEIN_EXPORT	0.34	0.46	0.39	0.87	0.06	0.38	0.67	0.44	0.13	0.00	0.11	0.03	0.323333333333
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	0.52	0.48	0.01	0.24	0.13	0.35	0.81	0.30	0.64	0.00	0.31	0.12	0.325833333333
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.32	0.01	0.39	0.40	0.42	0.01	0.81	0.03	0.64	0.03	0.45	0.41	0.326666666667
KEGG_SPHINGOLIPID_METABOLISM	0.49	0.27	0.06	0.07	0.58	0.17	0.77	0.05	0.17	0.70	0.47	0.12	0.326666666667
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	0.50	0.15	0.32	0.39	0.16	0.98	1.00	0.22	0.03	0.01	0.05	0.14	0.329166666667
PID_AJDISS_2PATHWAY	0.06	0.77	0.02	0.05	0.10	0.16	0.67	0.62	0.22	0.38	0.10	0.80	0.329166666667
PID_ECADHERIN_NASCENTAJ_PATHWAY	0.04	0.65	0.29	0.46	0.02	0.27	0.67	0.59	0.17	0.54	0.03	0.24	0.330833333333
KEGG_CELL_CYCLE	0.22	0.71	0.02	0.18	0.03	0.33	0.93	0.60	0.61	0.10	0.06	0.18	0.330833333333
KEGG_NOTCH_SIGNALING_PATHWAY	0.11	0.47	0.38	0.36	0.37	0.07	0.67	0.24	0.15	0.41	0.21	0.56	0.333333333333
REACTOME_DARPP_32_EVENTS	0.56	0.01	0.68	0.13	0.45	0.18	0.53	0.03	0.51	0.59	0.01	0.36	0.336666666667
REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	0.15	0.17	0.20	0.69	0.33	0.64	0.91	0.01	0.04	0.04	0.10	0.76	0.336666666667
BIOCARTA_RAS_PATHWAY	0.12	0.39	0.52	0.49	0.18	0.41	0.62	0.19	0.13	0.07	0.56	0.36	0.336666666667
REACTOME_RAF_MAP_KINASE_CASCADE	0.01	0.34	0.45	0.69	0.19	0.29	0.79	0.31	0.09	0.33	0.49	0.06	0.336666666667
PID_MET_PATHWAY	0.09	0.32	0.10	0.30	0.26	0.23	0.91	0.09	0.71	0.03	0.18	0.88	0.341666666667
PID_ERBB1_DOWNSTREAM_PATHWAY	0.22	0.20	0.07	0.63	0.23	0.27	0.93	0.04	0.23	0.16	0.38	0.76	0.343333333333
BIOCARTA_SPPA_PATHWAY	0.15	0.16	0.76	0.24	0.45	0.38	0.33	0.44	0.46	0.03	0.38	0.34	0.343333333333
PID_DELTANP63PATHWAY	0.10	0.00	0.62	0.54	0.09	0.68	0.67	0.20	0.00	0.08	0.77	0.39	0.345
PID_PRLSIGNALINGEVENTSPATHWAY	0.03	0.21	0.49	0.42	0.28	0.43	0.33	0.58	0.30	0.12	0.28	0.69	0.346666666667
REACTOME_CELL_CYCLE_MITOTIC	0.68	0.27	0.14	0.40	0.00	0.98	1.00	0.24	0.04	0.01	0.38	0.02	0.346666666667
BIOCARTA_NTHI_PATHWAY	0.33	0.47	0.04	0.90	0.63	0.11	0.66	0.12	0.46	0.07	0.15	0.23	0.3475
BIOCARTA_ECM_PATHWAY	0.13	0.62	0.61	0.00	0.27	0.58	0.21	0.21	0.13	0.14	0.63	0.64	0.3475
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	0.55	0.39	0.29	0.23	0.11	0.84	0.93	0.72	0.01	0.01	0.09	0.02	0.349166666667
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	0.38	0.24	0.24	0.74	0.32	0.31	0.81	0.93	0.00	0.00	0.02	0.22	0.350833333333
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	0.32	0.41	0.59	0.20	0.04	0.11	0.21	0.54	0.49	0.77	0.37	0.17	0.351666666667
REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS	0.21	0.15	0.16	0.72	0.35	0.64	0.24	0.25	0.25	0.25	0.18	0.83	0.3525
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS	0.16	0.82	0.04	0.06	0.48	0.14	0.70	0.60	0.27	0.39	0.48	0.10	0.353333333333
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.16	0.00	0.10	0.78	0.02	0.89	0.88	0.28	0.32	0.00	0.38	0.46	0.355833333333
PID_WNT_CANONICAL_PATHWAY	0.57	0.05	0.07	0.39	0.24	0.31	0.99	0.17	0.06	0.58	0.22	0.62	0.355833333333
BIOCARTA_TPO_PATHWAY	0.51	0.37	0.58	0.20	0.45	0.42	0.21	0.05	0.40	0.11	0.18	0.79	0.355833333333
ST_P38_MAPK_PATHWAY	0.26	0.29	0.00	0.86	0.21	0.07	0.67	0.82	0.54	0.03	0.42	0.11	0.356666666667
PID_ER_NONGENOMIC_PATHWAY	0.11	0.12	0.02	0.43	0.32	0.34	0.67	0.37	0.54	0.40	0.26	0.71	0.3575
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	0.13	0.04	0.10	0.28	0.38	0.46	0.67	0.19	0.28	0.79	0.17	0.82	0.359166666667
BIOCARTA_RANMS_PATHWAY	0.31	0.69	0.17	0.49	0.14	0.14	0.94	0.36	0.10	0.27	0.20	0.51	0.36
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.29	0.02	0.04	0.33	0.08	0.63	0.81	0.36	0.02	0.76	0.09	0.92	0.3625
REACTOME_SIGNALLING_BY_NGF	0.23	0.01	0.22	0.18	0.27	0.46	0.99	0.31	0.10	0.20	0.41	0.97	0.3625
BIOCARTA_SARS_PATHWAY	0.24	0.23	0.27	0.39	0.73	0.13	0.68	0.37	0.46	0.33	0.48	0.06	0.364166666667
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	0.22	0.02	0.39	0.15	0.36	0.03	0.93	0.59	0.39	0.35	0.06	0.90	0.365833333333
BIOCARTA_SKP2E2F_PATHWAY	0.20	0.34	0.38	0.70	0.48	0.19	0.40	0.55	0.23	0.42	0.22	0.29	0.366666666667
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.83	0.91	0.12	0.13	0.09	0.70	0.81	0.51	0.15	0.02	0.06	0.08	0.3675
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.26	0.13	0.04	0.12	0.17	0.05	0.91	0.07	0.41	0.84	0.73	0.70	0.369166666667
BIOCARTA_MTOR_PATHWAY	0.35	0.53	0.31	0.83	0.71	0.39	0.46	0.45	0.00	0.02	0.28	0.12	0.370833333333
PID_TAP63PATHWAY	0.04	0.17	0.72	0.38	0.50	0.52	0.81	0.03	0.07	0.20	0.05	0.96	0.370833333333
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.51	0.68	0.25	0.32	0.64	0.33	0.11	0.75	0.25	0.52	0.08	0.02	0.371666666667
BIOCARTA_RNA_PATHWAY	0.32	0.86	0.36	0.52	0.37	0.33	0.89	0.18	0.29	0.01	0.23	0.10	0.371666666667
PID_CDC42_PATHWAY	0.00	0.48	0.32	0.17	0.08	0.36	0.81	0.84	0.13	0.57	0.00	0.70	0.371666666667
BIOCARTA_PGC1A_PATHWAY	0.15	0.23	0.21	0.42	0.28	0.19	0.21	0.23	0.88	0.75	0.31	0.62	0.373333333333
PID_LYMPHANGIOGENESIS_PATHWAY	0.91	0.26	0.09	0.86	0.08	0.26	0.21	0.06	0.72	0.11	0.34	0.58	0.373333333333
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	0.13	0.21	0.68	0.32	0.04	0.55	0.65	0.09	0.29	0.82	0.37	0.36	0.375833333333
BIOCARTA_SODD_PATHWAY	0.55	0.14	0.61	0.05	0.48	0.31	0.31	0.53	0.46	0.09	0.50	0.50	0.3775
BIOCARTA_P38MAPK_PATHWAY	0.59	0.30	0.06	0.92	0.04	0.36	0.67	0.41	0.42	0.03	0.32	0.45	0.380833333333
PID_INTEGRIN_A9B1_PATHWAY	0.17	0.05	0.82	0.43	0.48	0.03	0.26	0.05	0.91	0.65	0.18	0.54	0.380833333333
REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY	0.17	0.23	0.84	0.23	0.44	0.27	0.66	0.40	0.02	0.04	0.76	0.54	0.383333333333
REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	0.66	0.00	0.71	0.96	0.27	0.07	1.00	0.07	0.18	0.11	0.38	0.19	0.383333333333
REACTOME_PLC_BETA_MEDIATED_EVENTS	0.30	0.04	0.07	0.36	0.22	0.07	0.67	0.14	0.60	0.92	0.38	0.84	0.384166666667
BIOCARTA_TGFB_PATHWAY	0.63	0.10	0.49	0.19	0.45	0.31	0.21	0.58	0.13	0.19	0.55	0.78	0.384166666667
PID_RAC1_PATHWAY	0.18	0.83	0.02	0.08	0.36	0.76	0.81	0.69	0.13	0.27	0.32	0.16	0.384166666667
PID_HES_HEYPATHWAY	0.00	0.48	0.01	0.34	0.45	0.92	0.67	0.14	0.21	0.46	0.70	0.24	0.385
PID_MYC_PATHWAY	0.22	0.68	0.51	0.35	0.57	0.49	0.79	0.70	0.08	0.02	0.00	0.21	0.385
REACTOME_HIV_LIFE_CYCLE	0.32	0.55	0.05	0.87	0.23	0.99	0.93	0.54	0.01	0.05	0.04	0.04	0.385
BIOCARTA_IGF1R_PATHWAY	0.24	0.10	0.53	0.53	0.52	0.49	0.38	0.03	0.56	0.19	0.42	0.64	0.385833333333
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	0.42	0.27	0.12	0.61	0.10	0.81	0.91	0.93	0.04	0.03	0.28	0.11	0.385833333333
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	0.67	0.26	0.51	0.28	0.10	0.32	0.21	0.92	0.27	0.48	0.28	0.34	0.386666666667
BIOCARTA_BARRESTIN_PATHWAY	0.42	0.12	0.27	0.69	0.12	0.58	0.77	0.18	0.16	0.83	0.32	0.18	0.386666666667
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.69	0.23	0.02	0.07	0.75	0.32	0.21	0.64	0.54	0.28	0.28	0.61	0.386666666667
REACTOME_METABOLISM_OF_MRNA	0.45	0.58	0.00	0.69	0.00	0.81	1.00	0.88	0.00	0.01	0.23	0.00	0.3875
BIOCARTA_KERATINOCYTE_PATHWAY	0.55	0.55	0.02	0.40	0.45	0.16	0.67	0.46	0.56	0.03	0.34	0.46	0.3875
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	0.35	0.13	0.68	0.94	0.13	0.37	0.36	0.09	0.08	0.48	0.46	0.59	0.388333333333
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	0.32	0.07	0.15	0.12	0.26	0.65	0.91	0.22	0.04	0.58	0.37	0.97	0.388333333333
REACTOME_MRNA_SPLICING	0.31	0.68	0.03	0.49	0.06	0.95	0.99	0.84	0.00	0.00	0.31	0.00	0.388333333333
REACTOME_MITOTIC_G2_G2_M_PHASES	0.27	0.64	0.51	0.13	0.12	0.97	0.81	0.20	0.27	0.06	0.35	0.35	0.39
REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION	0.02	0.64	0.03	0.22	0.31	0.38	0.26	0.86	0.39	0.41	0.31	0.87	0.391666666667
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.63	0.45	0.25	0.75	0.45	0.72	0.83	0.52	0.00	0.01	0.00	0.09	0.391666666667
BIOCARTA_GLEEVEC_PATHWAY	0.43	0.30	0.22	0.94	0.39	0.77	0.21	0.12	0.19	0.11	0.42	0.62	0.393333333333
REACTOME_METABOLISM_OF_RNA	0.54	0.68	0.00	0.40	0.00	0.87	1.00	0.86	0.00	0.00	0.35	0.02	0.393333333333
PID_HDAC_CLASSII_PATHWAY	0.29	0.59	0.25	0.72	0.46	0.51	0.67	0.52	0.01	0.21	0.10	0.39	0.393333333333
