Gene Set	Basal	Her2	LumA	LumB	Average p-value
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.35	0.47	0.58	0.25	0.4125
KEGG_DILATED_CARDIOMYOPATHY	0.38	0.48	0.30	0.50	0.415
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.02	0.48	0.92	0.25	0.4175
REACTOME_NCAM1_INTERACTIONS	0.78	0.04	0.18	0.67	0.4175
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.02	0.81	0.56	0.29	0.42
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	0.43	0.54	0.56	0.16	0.4225
REACTOME_COLLAGEN_FORMATION	0.33	0.79	0.01	0.56	0.4225
REACTOME_REGULATION_OF_COMPLEMENT_CASCADE	0.32	0.34	0.53	0.50	0.4225
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.22	0.53	0.20	0.74	0.4225
BIOCARTA_PLATELETAPP_PATHWAY	0.34	0.32	0.63	0.40	0.4225
REACTOME_PECAM1_INTERACTIONS	0.68	0.25	0.74	0.03	0.425
BIOCARTA_TH1TH2_PATHWAY	0.37	0.25	0.48	0.62	0.43
REACTOME_INSULIN_RECEPTOR_RECYCLING	0.73	0.40	0.26	0.33	0.43
REACTOME_GABA_RECEPTOR_ACTIVATION	0.79	0.41	0.24	0.29	0.4325
BIOCARTA_NKT_PATHWAY	0.04	0.06	0.88	0.76	0.435
REACTOME_LIPOPROTEIN_METABOLISM	0.09	0.82	0.70	0.13	0.435
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.17	0.14	0.56	0.88	0.4375
REACTOME_UNBLOCKING_OF_NMDA_RECEPTOR_GLUTAMATE_BINDING_AND_ACTIVATION	0.31	0.64	0.77	0.03	0.4375
REACTOME_COMMON_PATHWAY	0.16	0.28	0.48	0.84	0.44
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	0.64	0.50	0.23	0.40	0.4425
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE	0.34	0.68	0.39	0.36	0.4425
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	0.19	0.94	0.53	0.11	0.4425
REACTOME_SIGNALING_BY_PDGF	0.41	0.06	0.97	0.33	0.4425
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.48	0.28	0.71	0.31	0.445
REACTOME_BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS	0.38	0.26	0.30	0.84	0.445
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	0.59	0.14	0.81	0.24	0.445
REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN1_SIGNALING	0.40	0.25	0.30	0.84	0.4475
KEGG_HISTIDINE_METABOLISM	0.73	0.57	0.23	0.27	0.45
PID_IL27PATHWAY	0.24	0.31	0.49	0.76	0.45
PID_GLYPICAN_1PATHWAY	0.14	0.43	0.73	0.51	0.4525
PID_AMB2_NEUTROPHILS_PATHWAY	0.34	0.86	0.48	0.13	0.4525
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.18	0.63	0.34	0.66	0.4525
PID_UPA_UPAR_PATHWAY	0.26	0.23	0.67	0.66	0.455
KEGG_ASTHMA	0.04	0.90	0.58	0.30	0.455
KEGG_FOCAL_ADHESION	0.18	0.18	1.00	0.46	0.455
BIOCARTA_IL12_PATHWAY	0.59	0.60	0.48	0.15	0.455
REACTOME_GLUTATHIONE_CONJUGATION	0.79	0.43	0.10	0.51	0.4575
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.33	0.41	0.63	0.46	0.4575
REACTOME_LATENT_INFECTION_OF_HOMO_SAPIENS_WITH_MYCOBACTERIUM_TUBERCULOSIS	0.77	0.25	0.25	0.56	0.4575
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	0.42	0.32	0.53	0.57	0.46
KEGG_STARCH_AND_SUCROSE_METABOLISM	0.13	0.67	0.84	0.20	0.46
BIOCARTA_INTRINSIC_PATHWAY	0.31	0.41	0.59	0.53	0.46
REACTOME_INTERFERON_GAMMA_SIGNALING	0.06	0.90	0.69	0.19	0.46
BIOCARTA_COMP_PATHWAY	0.34	0.32	0.67	0.51	0.46
BIOCARTA_ERYTH_PATHWAY	0.19	0.73	0.69	0.24	0.4625
KEGG_PPAR_SIGNALING_PATHWAY	0.15	0.35	0.38	0.97	0.4625
BIOCARTA_VITCB_PATHWAY	0.33	0.60	0.63	0.30	0.465
KEGG_APOPTOSIS	0.57	0.84	0.09	0.36	0.465
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY	0.68	0.20	0.62	0.36	0.465
PID_LPA4_PATHWAY	0.46	0.34	0.82	0.26	0.47
BIOCARTA_ARAP_PATHWAY	0.24	0.84	0.63	0.18	0.4725
BIOCARTA_PITX2_PATHWAY	0.38	0.51	0.54	0.47	0.475
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	0.73	0.72	0.41	0.04	0.475
KEGG_PANCREATIC_CANCER	0.63	0.39	0.81	0.07	0.475
PID_PI3KPLCTRKPATHWAY	0.62	0.30	0.85	0.13	0.475
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.63	0.10	0.41	0.77	0.4775
REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL	0.75	0.85	0.15	0.16	0.4775
BIOCARTA_FEEDER_PATHWAY	0.41	0.33	1.00	0.18	0.48
PID_RET_PATHWAY	0.25	0.30	0.48	0.90	0.4825
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	0.23	0.57	0.97	0.17	0.485
KEGG_AXON_GUIDANCE	0.15	0.62	0.17	1.00	0.485
REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS	0.73	0.49	0.21	0.51	0.485
BIOCARTA_GCR_PATHWAY	0.45	0.62	0.36	0.52	0.4875
REACTOME_INTRINSIC_PATHWAY	0.46	0.73	0.58	0.18	0.4875
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	0.25	0.58	0.52	0.61	0.49
REACTOME_GAP_JUNCTION_TRAFFICKING	0.23	0.79	0.58	0.36	0.49
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.29	0.36	1.00	0.32	0.4925
PID_IL4_2PATHWAY	0.00	0.46	0.90	0.61	0.4925
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	0.24	0.98	0.48	0.28	0.495
BIOCARTA_DEATH_PATHWAY	0.86	0.52	0.02	0.58	0.495
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	0.44	0.41	0.56	0.59	0.5
REACTOME_POTASSIUM_CHANNELS	0.61	0.51	0.16	0.72	0.5
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	0.87	0.25	0.03	0.86	0.5025
KEGG_GALACTOSE_METABOLISM	0.65	0.25	0.60	0.51	0.5025
KEGG_MELANOGENESIS	0.41	0.95	0.56	0.10	0.505
KEGG_RETINOL_METABOLISM	0.22	0.57	0.63	0.61	0.5075
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	0.67	0.57	0.28	0.51	0.5075
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION	0.65	0.17	0.82	0.40	0.51
PID_DELTANP63PATHWAY	0.01	0.86	0.62	0.55	0.51
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1	0.46	0.85	0.51	0.24	0.515
PID_TCR_PATHWAY	0.69	0.16	0.96	0.25	0.515
PID_SYNDECAN_3_PATHWAY	0.76	0.21	0.41	0.68	0.515
REACTOME_P2Y_RECEPTORS	0.55	0.21	0.81	0.49	0.515
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.39	0.63	1.00	0.05	0.5175
BIOCARTA_ETC_PATHWAY	0.40	0.20	0.81	0.66	0.5175
BIOCARTA_CYTOKINE_PATHWAY	0.25	0.61	0.89	0.33	0.52
REACTOME_XENOBIOTICS	0.84	0.37	0.78	0.09	0.52
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.83	0.26	0.71	0.29	0.5225
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	0.61	0.78	0.38	0.32	0.5225
REACTOME_PLATELET_HOMEOSTASIS	0.76	0.24	0.34	0.76	0.525
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	0.73	0.93	0.16	0.28	0.525
REACTOME_CELL_CELL_COMMUNICATION	0.13	0.86	0.82	0.29	0.525
REACTOME_RAP1_SIGNALLING	0.88	0.20	0.04	0.99	0.5275
REACTOME_DSCAM_INTERACTIONS	0.31	0.90	0.30	0.61	0.53
REACTOME_PD1_SIGNALING	0.24	0.59	0.54	0.76	0.5325
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	0.78	0.18	0.71	0.46	0.5325
BIOCARTA_CTL_PATHWAY	0.25	0.25	0.71	0.93	0.535
REACTOME_CELL_JUNCTION_ORGANIZATION	0.40	0.57	0.87	0.30	0.535
PID_ANGIOPOIETINRECEPTOR_PATHWAY	0.55	0.22	1.00	0.37	0.535
REACTOME_THE_NLRP3_INFLAMMASOME	0.30	0.62	0.29	0.94	0.5375
ST_WNT_BETA_CATENIN_PATHWAY	0.44	0.67	0.88	0.17	0.54
BIOCARTA_LECTIN_PATHWAY	0.71	0.11	0.73	0.61	0.54
KEGG_PRIMARY_IMMUNODEFICIENCY	0.33	0.15	0.70	0.99	0.5425
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	0.63	0.62	0.88	0.04	0.5425
PID_AP1_PATHWAY	0.44	0.54	0.65	0.55	0.545
PID_INTEGRIN_CS_PATHWAY	0.47	0.90	0.56	0.25	0.545
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.52	0.90	0.38	0.39	0.5475
REACTOME_OLFACTORY_SIGNALING_PATHWAY	0.65	0.85	0.16	0.53	0.5475
PID_SYNDECAN_2_PATHWAY	0.25	0.48	0.64	0.82	0.5475
BIOCARTA_NUCLEARRS_PATHWAY	0.88	0.13	0.65	0.53	0.5475
BIOCARTA_NO1_PATHWAY	0.22	0.49	0.84	0.65	0.55
BIOCARTA_TOB1_PATHWAY	0.43	0.16	0.75	0.86	0.55
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING	0.31	0.43	0.69	0.77	0.55
BIOCARTA_ACH_PATHWAY	0.92	0.16	0.95	0.18	0.5525
REACTOME_OPSINS	0.78	0.17	0.52	0.74	0.5525
REACTOME_AMYLOIDS	0.07	0.79	0.51	0.84	0.5525
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.08	0.92	0.96	0.26	0.555
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	0.53	0.75	0.63	0.31	0.555
PID_THROMBIN_PAR4_PATHWAY	0.61	0.26	0.65	0.70	0.555
BIOCARTA_ACE2_PATHWAY	0.69	0.66	0.78	0.09	0.555
PID_HIF1_TFPATHWAY	0.30	0.15	0.88	0.90	0.5575
REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2	0.87	0.73	0.29	0.34	0.5575
REACTOME_SEMAPHORIN_INTERACTIONS	0.55	0.00	0.84	0.84	0.5575
BIOCARTA_IL22BP_PATHWAY	0.98	0.27	0.71	0.27	0.5575
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	0.46	0.63	0.99	0.16	0.56
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS	0.48	0.73	0.46	0.58	0.5625
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.81	0.23	0.50	0.72	0.565
REACTOME_REGULATION_OF_APOPTOSIS	0.91	0.60	0.20	0.55	0.565
PID_P73PATHWAY	0.37	0.95	0.39	0.56	0.5675
BIOCARTA_CASPASE_PATHWAY	0.41	0.71	0.23	0.92	0.5675
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	0.34	0.35	0.81	0.77	0.5675
REACTOME_HYALURONAN_METABOLISM	0.41	0.66	0.62	0.58	0.5675
BIOCARTA_CSK_PATHWAY	0.97	0.12	0.22	0.96	0.5675
REACTOME_SHC_MEDIATED_CASCADE	0.65	0.57	0.63	0.43	0.57
PID_BETACATENIN_NUC_PATHWAY	0.98	0.55	0.15	0.60	0.57
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.28	0.72	0.73	0.55	0.57
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	0.36	0.80	0.89	0.24	0.5725
REACTOME_SIGNAL_AMPLIFICATION	0.74	0.43	0.99	0.14	0.575
BIOCARTA_HSP27_PATHWAY	0.47	0.69	0.63	0.51	0.575
PID_IL23PATHWAY	0.23	0.38	0.80	0.89	0.575
REACTOME_DEVELOPMENTAL_BIOLOGY	0.39	0.00	0.91	1.00	0.575
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	0.63	0.34	0.96	0.37	0.575
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	0.45	0.92	0.85	0.09	0.5775
PID_TELOMERASEPATHWAY	0.98	0.45	0.52	0.36	0.5775
BIOCARTA_MCM_PATHWAY	0.93	0.34	0.09	0.95	0.5775
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.79	0.98	0.50	0.05	0.58
PID_NETRIN_PATHWAY	0.33	0.67	0.62	0.70	0.58
REACTOME_GLUCOSE_METABOLISM	0.54	0.57	0.85	0.36	0.58
REACTOME_L1CAM_INTERACTIONS	0.83	0.36	0.28	0.85	0.58
BIOCARTA_INFLAM_PATHWAY	0.20	0.80	0.84	0.48	0.58
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.96	0.26	0.55	0.56	0.5825
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.61	0.25	0.74	0.73	0.5825
