Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.30	0.00	0.05	0.43	0.54	0.264
PID_MYC_REPRESSPATHWAY	0.07	0.00	0.17	0.29	0.79	0.264
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	0.02	0.63	0.24	0.37	0.06	0.264
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	0.26	0.04	0.70	0.23	0.09	0.264
BIOCARTA_GSK3_PATHWAY	0.36	0.35	0.25	0.07	0.30	0.266
REACTOME_INFLUENZA_LIFE_CYCLE	0.23	0.07	0.23	0.57	0.24	0.268
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.20	0.09	0.45	0.47	0.13	0.268
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN	0.52	0.23	0.26	0.33	0.00	0.268
PID_LYMPHANGIOGENESIS_PATHWAY	0.25	0.10	0.70	0.27	0.02	0.268
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	0.69	0.36	0.06	0.00	0.24	0.27
REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK	0.20	0.18	0.41	0.42	0.15	0.272
BIOCARTA_IL10_PATHWAY	0.78	0.02	0.30	0.07	0.19	0.272
BIOCARTA_ATRBRCA_PATHWAY	0.58	0.35	0.12	0.11	0.26	0.284
PID_VEGFR1_PATHWAY	0.28	0.89	0.03	0.00	0.23	0.286
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.82	0.17	0.35	0.00	0.11	0.29
REACTOME_MTORC1_MEDIATED_SIGNALLING	0.05	0.33	0.72	0.23	0.13	0.292
KEGG_PARKINSONS_DISEASE	0.17	0.27	0.10	0.81	0.13	0.296
KEGG_P53_SIGNALING_PATHWAY	0.33	0.39	0.62	0.03	0.11	0.296
BIOCARTA_WNT_PATHWAY	0.25	0.17	0.02	0.18	0.87	0.298
BIOCARTA_CARM_ER_PATHWAY	0.31	0.03	0.19	0.01	0.96	0.3
REACTOME_SEMAPHORIN_INTERACTIONS	0.41	0.04	0.09	0.18	0.80	0.304
KEGG_MAPK_SIGNALING_PATHWAY	0.94	0.43	0.14	0.00	0.01	0.304
KEGG_LYSOSOME	0.36	0.64	0.12	0.11	0.30	0.306
PID_PDGFRBPATHWAY	0.10	0.77	0.35	0.03	0.28	0.306
REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION	0.34	0.09	0.31	0.26	0.54	0.308
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	0.57	0.30	0.28	0.31	0.08	0.308
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.28	0.21	0.48	0.32	0.25	0.308
ST_G_ALPHA_S_PATHWAY	0.10	0.31	0.50	0.30	0.33	0.308
BIOCARTA_NOS1_PATHWAY	0.41	0.60	0.22	0.26	0.06	0.31
PID_AR_TF_PATHWAY	0.06	0.48	0.12	0.19	0.70	0.31
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	0.22	0.04	0.73	0.41	0.15	0.31
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	0.57	0.00	0.14	0.81	0.03	0.31
BIOCARTA_RACCYCD_PATHWAY	0.24	0.40	0.47	0.18	0.28	0.314
BIOCARTA_BIOPEPTIDES_PATHWAY	0.33	0.13	0.25	0.17	0.70	0.316
REACTOME_PEPTIDE_CHAIN_ELONGATION	0.36	0.04	0.23	0.81	0.15	0.318
PID_PRLSIGNALINGEVENTSPATHWAY	0.17	0.35	0.59	0.47	0.01	0.318
PID_RB_1PATHWAY	0.36	0.09	0.14	0.58	0.43	0.32
PID_ERA_GENOMIC_PATHWAY	0.63	0.05	0.13	0.40	0.39	0.32
REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA	0.16	0.05	0.25	0.77	0.38	0.322
PID_E2F_PATHWAY	0.00	0.08	0.22	0.77	0.54	0.322
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	0.57	0.20	0.03	0.04	0.77	0.322
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.54	0.48	0.32	0.14	0.14	0.324
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.58	0.00	0.44	0.16	0.44	0.324
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.26	0.17	0.14	0.49	0.57	0.326
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	0.57	0.57	0.42	0.07	0.00	0.326
BIOCARTA_TPO_PATHWAY	0.37	0.18	0.45	0.22	0.42	0.328
KEGG_GLIOMA	0.05	0.76	0.77	0.03	0.03	0.328
REACTOME_SIGNALING_BY_FGFR	0.59	0.75	0.12	0.00	0.19	0.33
PID_HDAC_CLASSI_PATHWAY	0.81	0.38	0.16	0.18	0.12	0.33
KEGG_SELENOAMINO_ACID_METABOLISM	0.16	0.08	0.15	0.87	0.39	0.33
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	0.20	0.12	0.14	0.21	0.98	0.33
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.02	0.86	0.08	0.17	0.53	0.332
PID_P73PATHWAY	0.34	0.28	0.83	0.13	0.08	0.332
REACTOME_METABOLISM_OF_NUCLEOTIDES	0.34	0.11	0.07	0.62	0.52	0.332
BIOCARTA_RARRXR_PATHWAY	0.58	0.28	0.31	0.29	0.22	0.336
BIOCARTA_CHREBP2_PATHWAY	0.43	0.36	0.36	0.04	0.49	0.336
PID_KITPATHWAY	0.43	0.13	0.15	0.23	0.75	0.338
BIOCARTA_LEPTIN_PATHWAY	0.27	0.21	0.92	0.14	0.15	0.338
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	0.74	0.15	0.25	0.11	0.44	0.338
ST_INTEGRIN_SIGNALING_PATHWAY	0.12	0.02	0.37	0.84	0.34	0.338
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	0.53	0.17	0.51	0.44	0.04	0.338
KEGG_INSULIN_SIGNALING_PATHWAY	0.21	0.60	0.79	0.02	0.08	0.34
KEGG_FOCAL_ADHESION	0.70	0.05	0.16	0.29	0.50	0.34
BIOCARTA_STRESS_PATHWAY	0.10	0.05	0.50	0.46	0.59	0.34
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.79	0.10	0.14	0.40	0.27	0.34
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.43	0.13	0.63	0.45	0.07	0.342
ST_GA12_PATHWAY	0.43	0.36	0.34	0.42	0.16	0.342
REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS	0.17	0.35	0.44	0.26	0.49	0.342
PID_RHOA_PATHWAY	0.26	0.14	0.25	0.30	0.76	0.342
REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	0.37	0.08	0.51	0.70	0.06	0.344
REACTOME_MITOTIC_G1_G1_S_PHASES	0.01	0.07	0.20	0.68	0.76	0.344
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.58	0.36	0.30	0.35	0.13	0.344
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.37	0.09	0.31	0.75	0.21	0.346
PID_HES_HEYPATHWAY	0.84	0.30	0.04	0.35	0.20	0.346
BIOCARTA_BAD_PATHWAY	0.57	0.30	0.56	0.22	0.08	0.346
KEGG_CALCIUM_SIGNALING_PATHWAY	0.77	0.02	0.35	0.43	0.19	0.352
REACTOME_G_PROTEIN_ACTIVATION	0.57	0.44	0.36	0.33	0.07	0.354
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.36	0.30	0.88	0.10	0.13	0.354
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	0.52	0.04	0.40	0.65	0.17	0.356
REACTOME_TIE2_SIGNALING	0.62	0.00	0.34	0.35	0.47	0.356
BIOCARTA_IL22BP_PATHWAY	0.56	0.12	0.86	0.09	0.15	0.356
KEGG_FOLATE_BIOSYNTHESIS	0.15	0.33	0.01	0.54	0.76	0.358
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	0.26	0.89	0.52	0.08	0.04	0.358
REACTOME_S_PHASE	0.32	0.09	0.38	0.33	0.67	0.358
REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE	0.20	0.03	0.59	0.48	0.50	0.36
BIOCARTA_PGC1A_PATHWAY	0.74	0.10	0.25	0.65	0.07	0.362
PID_IL23PATHWAY	0.31	0.45	0.72	0.19	0.14	0.362
PID_ERBB4_PATHWAY	0.44	0.03	0.17	0.35	0.82	0.362
REACTOME_GABA_RECEPTOR_ACTIVATION	0.51	0.32	0.03	0.17	0.78	0.362
PID_PS1PATHWAY	0.35	0.07	0.54	0.04	0.82	0.364
BIOCARTA_GLEEVEC_PATHWAY	0.61	0.16	0.47	0.30	0.29	0.366
REACTOME_MEMBRANE_TRAFFICKING	0.46	0.81	0.20	0.01	0.35	0.366
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	0.73	0.10	0.14	0.87	0.01	0.37
BIOCARTA_SPRY_PATHWAY	0.58	0.55	0.28	0.01	0.43	0.37
PID_FOXM1PATHWAY	0.07	0.30	0.55	0.20	0.74	0.372
PID_TELOMERASEPATHWAY	0.33	0.33	0.51	0.03	0.67	0.374
PID_ERBB_NETWORK_PATHWAY	0.78	0.00	0.03	0.83	0.23	0.374
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR	0.82	0.64	0.10	0.00	0.32	0.376
BIOCARTA_IL7_PATHWAY	0.57	0.05	0.28	0.23	0.75	0.376
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.35	0.00	0.59	0.59	0.35	0.376
REACTOME_INNATE_IMMUNE_SYSTEM	0.86	0.82	0.07	0.13	0.01	0.378
REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS	0.51	0.18	0.10	0.37	0.73	0.378
REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING	0.54	0.40	0.39	0.26	0.31	0.38
PID_RETINOIC_ACID_PATHWAY	0.26	0.46	0.38	0.36	0.44	0.38
KEGG_PYRUVATE_METABOLISM	0.07	0.39	0.66	0.17	0.61	0.38
REACTOME_HEMOSTASIS	0.04	0.50	0.98	0.38	0.00	0.38
PID_ATF2_PATHWAY	1.00	0.10	0.37	0.09	0.34	0.38
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1	0.47	0.33	0.26	0.69	0.15	0.38
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.22	0.33	0.51	0.70	0.15	0.382
BIOCARTA_CHEMICAL_PATHWAY	0.96	0.63	0.26	0.00	0.06	0.382
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	0.56	0.81	0.04	0.08	0.42	0.382
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.23	0.09	0.06	0.61	0.93	0.384
KEGG_OXIDATIVE_PHOSPHORYLATION	0.02	0.13	0.03	0.89	0.85	0.384
PID_ECADHERIN_NASCENTAJ_PATHWAY	0.19	0.45	0.68	0.28	0.33	0.386
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.07	0.88	0.17	0.34	0.47	0.386
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	0.47	0.22	0.95	0.03	0.26	0.386
BIOCARTA_TH1TH2_PATHWAY	0.37	0.78	0.38	0.18	0.22	0.386
REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	0.28	0.04	0.51	0.84	0.27	0.388
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.40	0.30	0.22	0.58	0.44	0.388
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	0.28	0.38	0.82	0.02	0.44	0.388
PID_VEGFR1_2_PATHWAY	0.65	0.54	0.19	0.40	0.16	0.388
ST_TYPE_I_INTERFERON_PATHWAY	0.18	0.77	0.44	0.38	0.17	0.388
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.56	0.08	0.32	0.21	0.77	0.388
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12	0.73	0.67	0.28	0.27	0.00	0.39
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	0.14	0.83	0.53	0.12	0.33	0.39
BIOCARTA_INTEGRIN_PATHWAY	0.86	0.13	0.25	0.33	0.38	0.39
REACTOME_METAL_ION_SLC_TRANSPORTERS	0.25	0.82	0.40	0.29	0.19	0.39
REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS	0.88	0.17	0.80	0.01	0.09	0.39
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.70	0.03	0.94	0.14	0.14	0.39
PID_TRKRPATHWAY	0.93	0.33	0.61	0.03	0.05	0.39
REACTOME_MICRORNA_MIRNA_BIOGENESIS	0.30	0.54	0.28	0.27	0.56	0.39
BIOCARTA_IL2RB_PATHWAY	0.87	0.03	0.49	0.11	0.47	0.394
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	0.38	0.64	0.18	0.01	0.76	0.394
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.36	0.35	0.20	0.72	0.35	0.396
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	0.54	0.09	0.58	0.49	0.28	0.396
KEGG_PYRIMIDINE_METABOLISM	0.02	0.45	0.16	0.43	0.93	0.398
PID_P53REGULATIONPATHWAY	0.52	0.36	0.49	0.63	0.00	0.4
BIOCARTA_RNA_PATHWAY	0.65	0.06	0.26	0.72	0.31	0.4
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_	0.26	0.43	0.52	0.34	0.45	0.4
PID_ALK1PATHWAY	0.58	0.04	0.47	0.44	0.47	0.4
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.57	0.08	0.42	0.60	0.33	0.4
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	0.57	0.61	0.40	0.27	0.15	0.4
BIOCARTA_CDK5_PATHWAY	0.46	0.01	0.68	0.38	0.48	0.402
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.80	0.37	0.12	0.70	0.02	0.402
REACTOME_CTLA4_INHIBITORY_SIGNALING	0.26	0.82	0.14	0.09	0.70	0.402
REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX	0.42	0.32	0.06	0.57	0.64	0.402
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.01	0.70	0.06	0.75	0.49	0.402
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	0.71	0.38	0.71	0.00	0.21	0.402
REACTOME_MRNA_3_END_PROCESSING	0.53	0.64	0.32	0.09	0.44	0.404
PID_LKB1_PATHWAY	0.99	0.67	0.18	0.13	0.05	0.404
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.84	0.20	0.86	0.03	0.09	0.404
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.48	0.82	0.41	0.01	0.30	0.404
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	0.75	0.56	0.21	0.11	0.39	0.404
REACTOME_ZINC_TRANSPORTERS	0.22	0.70	0.70	0.21	0.19	0.404
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	0.41	0.05	0.52	0.60	0.44	0.404
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.78	0.63	0.38	0.05	0.19	0.406
BIOCARTA_HCMV_PATHWAY	0.57	0.15	0.96	0.07	0.29	0.408
REACTOME_TOLL_RECEPTOR_CASCADES	0.54	0.38	0.12	0.05	0.95	0.408
BIOCARTA_GABA_PATHWAY	0.43	0.21	0.39	0.40	0.61	0.408
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.26	0.74	0.32	0.29	0.44	0.41
ST_INTERLEUKIN_13_PATHWAY	0.17	0.97	0.39	0.42	0.10	0.41
ST_IL_13_PATHWAY	0.17	0.97	0.39	0.42	0.10	0.41
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.28	0.43	0.33	0.68	0.34	0.412
REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	0.63	0.26	0.17	0.18	0.82	0.412
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.58	0.48	0.34	0.51	0.15	0.412
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.35	0.29	0.44	0.89	0.09	0.412
REACTOME_SIGNALING_BY_ERBB4	0.74	0.09	0.31	0.10	0.82	0.412
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES	0.27	0.63	0.27	0.29	0.60	0.412
BIOCARTA_P27_PATHWAY	0.16	0.52	0.78	0.41	0.19	0.412
BIOCARTA_HIVNEF_PATHWAY	0.93	0.05	0.19	0.21	0.68	0.412
REACTOME_PURINE_CATABOLISM	0.63	0.68	0.11	0.47	0.17	0.412
REACTOME_METABOLISM_OF_MRNA	0.68	0.06	0.55	0.60	0.18	0.414
REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.01	0.77	0.20	0.39	0.70	0.414
REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE	0.35	0.30	0.38	0.22	0.82	0.414
REACTOME_CIRCADIAN_CLOCK	0.51	0.03	0.25	0.73	0.55	0.414
REACTOME_AMINE_DERIVED_HORMONES	0.96	0.00	0.76	0.09	0.26	0.414
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.53	0.51	0.25	0.51	0.28	0.416
BIOCARTA_NFKB_PATHWAY	0.63	0.04	0.36	0.48	0.57	0.416
BIOCARTA_RANMS_PATHWAY	0.96	0.18	0.41	0.23	0.30	0.416
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM	0.34	0.02	0.39	0.56	0.77	0.416
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.01	0.94	0.36	0.74	0.04	0.418
REACTOME_PI3K_CASCADE	0.51	0.47	0.63	0.28	0.20	0.418
BIOCARTA_UCALPAIN_PATHWAY	0.60	0.15	0.28	0.07	0.99	0.418
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	0.41	0.44	0.42	0.12	0.70	0.418
PID_CXCR3PATHWAY	0.35	0.45	0.91	0.35	0.04	0.42
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.64	0.20	0.47	0.50	0.29	0.42
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	0.48	0.76	0.38	0.01	0.48	0.422
KEGG_LONG_TERM_POTENTIATION	0.47	0.89	0.63	0.06	0.06	0.422
REACTOME_PHOSPHORYLATION_OF_THE_APC_C	0.36	0.08	0.51	0.64	0.52	0.422
PID_MET_PATHWAY	0.45	0.54	0.57	0.42	0.13	0.422
KEGG_ACUTE_MYELOID_LEUKEMIA	0.96	0.11	0.51	0.26	0.27	0.422
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	0.89	0.27	0.63	0.28	0.04	0.422
REACTOME_METABOLISM_OF_RNA	0.70	0.09	0.42	0.78	0.12	0.422
REACTOME_SIGNALING_BY_NOTCH	0.77	0.41	0.32	0.00	0.61	0.422
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.58	0.47	0.68	0.11	0.27	0.422
PID_HDAC_CLASSII_PATHWAY	0.70	0.32	0.07	0.18	0.84	0.422
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.73	0.67	0.53	0.04	0.14	0.422
PID_FOXOPATHWAY	0.36	0.12	0.15	0.59	0.89	0.422
KEGG_DILATED_CARDIOMYOPATHY	0.38	0.45	0.49	0.42	0.38	0.424
REACTOME_UNFOLDED_PROTEIN_RESPONSE	0.28	0.47	0.41	0.31	0.65	0.424
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	0.40	0.03	0.39	0.81	0.49	0.424
PID_FASPATHWAY	0.65	0.47	0.66	0.01	0.33	0.424
BIOCARTA_CBL_PATHWAY	0.57	0.72	0.47	0.12	0.24	0.424
BIOCARTA_PITX2_PATHWAY	0.56	0.10	0.50	0.94	0.03	0.426
BIOCARTA_CERAMIDE_PATHWAY	0.78	0.08	0.66	0.26	0.35	0.426
