Gene Set	p-value
REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.95
BIOCARTA_BARRESTIN_PATHWAY	0.95
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA	0.95
BIOCARTA_P35ALZHEIMERS_PATHWAY	0.95
BIOCARTA_SKP2E2F_PATHWAY	0.95
BIOCARTA_VITCB_PATHWAY	0.95
BIOCARTA_TCAPOPTOSIS_PATHWAY	0.95
REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK	0.95
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	0.95
MODULE_101	0.95
MODULE_528	0.95
BIOCARTA_PARKIN_PATHWAY	0.95
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	0.95
BIOCARTA_RNA_PATHWAY	0.95
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.95
REACTOME_DSCAM_INTERACTIONS	0.95
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.95
MODULE_264	0.95
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS	0.95
BIOCARTA_EPHA4_PATHWAY	0.95
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.95
BIOCARTA_FREE_PATHWAY	0.95
MODULE_465	0.95
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	0.95
REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS	0.95
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.95
REACTOME_SIGNALING_BY_NOTCH2	0.95
BIOCARTA_MONOCYTE_PATHWAY	0.95
BIOCARTA_LEPTIN_PATHWAY	0.95
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	0.95
REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN1_SIGNALING	0.95
ST_INTERFERON_GAMMA_PATHWAY	0.95
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	0.95
BIOCARTA_RANMS_PATHWAY	0.95
REACTOME_SIGNALING_BY_FGFR3_MUTANTS	0.95
BIOCARTA_GLYCOLYSIS_PATHWAY	0.95
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM	0.95
PID_INTEGRIN4_PATHWAY	0.95
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	0.95
REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS	0.95
REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1	0.95
REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS	0.95
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	0.95
REACTOME_GAP_JUNCTION_DEGRADATION	0.95
REACTOME_ACTIVATION_OF_CHAPERONES_BY_ATF6_ALPHA	0.95
ST_JAK_STAT_PATHWAY	0.95
REACTOME_PECAM1_INTERACTIONS	0.95
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	0.95
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	0.95
MODULE_65	0.95
REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS	0.95
REACTOME_RECEPTOR_LIGAND_BINDING_INITIATES_THE_SECOND_PROTEOLYTIC_CLEAVAGE_OF_NOTCH_RECEPTOR	0.95
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING	0.95
ST_IL_13_PATHWAY	0.95
REACTOME_ANDROGEN_BIOSYNTHESIS	0.95
SA_FAS_SIGNALING	0.95
MODULE_21	0.95
REACTOME_ZINC_TRANSPORTERS	0.95
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	0.95
PID_VEGF_VEGFR_PATHWAY	0.95
ST_TYPE_I_INTERFERON_PATHWAY	0.95
MODULE_457	0.95
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	0.95
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	0.95
REACTOME_P2Y_RECEPTORS	0.95
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GIP	0.95
BIOCARTA_SARS_PATHWAY	0.95
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES	0.95
MODULE_39	0.95
MODULE_454	0.95
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX	0.95
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1	0.95
SA_G2_AND_M_PHASES	0.95
REACTOME_RAF_MAP_KINASE_CASCADE	0.95
BIOCARTA_GABA_PATHWAY	0.95
BIOCARTA_ETC_PATHWAY	0.95
REACTOME_BETA_DEFENSINS	0.95
REACTOME_UNWINDING_OF_DNA	0.95
REACTOME_BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS	0.95
REACTOME_IL_6_SIGNALING	0.95
REACTOME_MEMBRANE_BINDING_AND_TARGETTING_OF_GAG_PROTEINS	0.95
MODULE_150	0.95
REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION	0.95
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE	0.95
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.95
BIOCARTA_SODD_PATHWAY	0.95
MODULE_429	0.95
MODULE_471	0.95
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS	0.95
REACTOME_PURINE_CATABOLISM	0.95
REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS	0.95
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	0.95
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	0.95
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	0.95
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	0.95
REACTOME_MTORC1_MEDIATED_SIGNALLING	0.95
BIOCARTA_IL5_PATHWAY	0.95
BIOCARTA_FEEDER_PATHWAY	0.95
KEGG_SULFUR_METABOLISM	0.95
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.95
REACTOME_PROSTANOID_LIGAND_RECEPTORS	0.95
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	0.95
REACTOME_ETHANOL_OXIDATION	0.99
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.99
BIOCARTA_LECTIN_PATHWAY	0.99
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	0.99
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	0.99
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION	0.99
REACTOME_TRYPTOPHAN_CATABOLISM	0.99
PID_ECADHERIN_NASCENTAJ_PATHWAY	1.0
MORF_THPO	1.0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	1.0
MODULE_160	1.0
REACTOME_SIGNALING_BY_RHO_GTPASES	1.0
REACTOME_PROTEOLYTIC_CLEAVAGE_OF_SNARE_COMPLEX_PROTEINS	1.0
MODULE_3	1.0
GNF2_MSN	1.0
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	1.0
MODULE_180	1.0
REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP	1.0
REACTOME_INFLUENZA_LIFE_CYCLE	1.0
BIOCARTA_CDK5_PATHWAY	1.0
GCM_TINF2	1.0
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	1.0
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	1.0
MODULE_284	1.0
REACTOME_METABOLISM_OF_MRNA	1.0
MODULE_342	1.0
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	1.0
MODULE_357	1.0
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	1.0
MODULE_280	1.0
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1.0
BIOCARTA_PITX2_PATHWAY	1.0
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	1.0
MODULE_244	1.0
PID_IL2_PI3KPATHWAY	1.0
REACTOME_DARPP_32_EVENTS	1.0
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	1.0
REACTOME_DOWNSTREAM_TCR_SIGNALING	1.0
MORF_TERF2IP	1.0
MODULE_402	1.0
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1.0
REACTOME_MRNA_3_END_PROCESSING	1.0
REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C	1.0
MORF_EI24	1.0
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1.0
REACTOME_LAGGING_STRAND_SYNTHESIS	1.0
MORF_DAP	1.0
MORF_NPM1	1.0
REACTOME_P75NTR_SIGNALS_VIA_NFKB	1.0
PID_ATM_PATHWAY	1.0
REACTOME_SMOOTH_MUSCLE_CONTRACTION	1.0
BIOCARTA_NO1_PATHWAY	1.0
MORF_DNMT1	1.0
MODULE_294	1.0
GNF2_RPA1	1.0
KEGG_PRION_DISEASES	1.0
GCM_RAP2A	1.0
GCM_CDH5	1.0
BIOCARTA_CD40_PATHWAY	1.0
REACTOME_REGULATION_OF_IFNG_SIGNALING	1.0
MODULE_356	1.0
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	1.0
MORF_MDM2	1.0
REACTOME_GLUTATHIONE_CONJUGATION	1.0
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	1.0
BIOCARTA_IGF1MTOR_PATHWAY	1.0
MORF_MAP3K14	1.0
MORF_RPA2	1.0
PID_RAS_PATHWAY	1.0
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	1.0
MORF_CNTN1	1.0
BIOCARTA_CACAM_PATHWAY	1.0
MODULE_236	1.0
BIOCARTA_CLASSIC_PATHWAY	1.0
MODULE_485	1.0
MORF_CDC16	1.0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1.0
MORF_TPR	1.0
PID_NCADHERINPATHWAY	1.0
MORF_RBM8A	1.0
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	1.0
MODULE_83	1.0
KEGG_GRAFT_VERSUS_HOST_DISEASE	1.0
BIOCARTA_FCER1_PATHWAY	1.0
MODULE_20	1.0
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	1.0
MORF_BUB1	1.0
REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION	1.0
MORF_XRCC5	1.0
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	1.0
MODULE_93	1.0
BIOCARTA_PAR1_PATHWAY	1.0
BIOCARTA_MYOSIN_PATHWAY	1.0
GNF2_MBD4	1.0
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	1.0
PID_MYC_ACTIVPATHWAY	1.0
MODULE_421	1.0
MODULE_362	1.0
PID_AR_PATHWAY	1.0
BIOCARTA_TOLL_PATHWAY	1.0
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1.0
REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	1.0
PID_UPA_UPAR_PATHWAY	1.0
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	1.0
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS	1.0
BIOCARTA_VIP_PATHWAY	1.0
MODULE_145	1.0
MODULE_404	1.0
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	1.0
REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1.0
GNF2_CCNA2	1.0
REACTOME_METABOLISM_OF_NON_CODING_RNA	1.0
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1.0
KEGG_HOMOLOGOUS_RECOMBINATION	1.0
MODULE_66	1.0
REACTOME_ER_PHAGOSOME_PATHWAY	1.0
REACTOME_GLUCONEOGENESIS	1.0
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	1.0
MODULE_215	1.0
MODULE_350	1.0
BIOCARTA_NTHI_PATHWAY	1.0
MORF_FLT1	1.0
MODULE_153	1.0
MODULE_116	1.0
MODULE_352	1.0
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	1.0
MORF_EPHA7	1.0
GNF2_RRM1	1.0
PID_HDAC_CLASSIII_PATHWAY	1.0
PID_NFAT_TFPATHWAY	1.0
REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING	1.0
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	1.0
BIOCARTA_RB_PATHWAY	1.0
KEGG_LYSOSOME	1.0
REACTOME_IRON_UPTAKE_AND_TRANSPORT	1.0
REACTOME_INSULIN_SYNTHESIS_AND_PROCESSING	1.0
MODULE_183	1.0
BIOCARTA_SALMONELLA_PATHWAY	1.0
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	1.0
REACTOME_SYNTHESIS_OF_PC	1.0
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	1.0
MODULE_489	1.0
REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA	1.0
KEGG_INSULIN_SIGNALING_PATHWAY	1.0
REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY	1.0
MODULE_340	1.0
BIOCARTA_GLEEVEC_PATHWAY	1.0
REACTOME_DNA_REPLICATION	1.0
MODULE_557	1.0
REACTOME_DNA_STRAND_ELONGATION	1.0
PID_CXCR3PATHWAY	1.0
PID_ALK2PATHWAY	1.0
MODULE_200	1.0
KEGG_ASTHMA	1.0
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1	1.0
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12	1.0
REACTOME_REGULATION_OF_INSULIN_SECRETION	1.0
GCM_HDAC1	1.0
GNF2_CYP2B6	1.0
MORF_IL9	1.0
ST_JNK_MAPK_PATHWAY	1.0
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	1.0
GNF2_PRDX2	1.0
REACTOME_REGULATION_OF_IFNA_SIGNALING	1.0
GCM_MSN	1.0
REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX	1.0
MORF_PRKAR1A	1.0
SA_MMP_CYTOKINE_CONNECTION	1.0
PID_NETRIN_PATHWAY	1.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	1.0
MODULE_146	1.0
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	1.0
REACTOME_ION_CHANNEL_TRANSPORT	1.0
PID_P73PATHWAY	1.0
KEGG_PROTEASOME	1.0
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	1.0
MODULE_410	1.0
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1.0
BIOCARTA_P53HYPOXIA_PATHWAY	1.0
PID_ARF_3PATHWAY	1.0
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1.0
BIOCARTA_NO2IL12_PATHWAY	1.0
KEGG_DILATED_CARDIOMYOPATHY	1.0
REACTOME_GABA_A_RECEPTOR_ACTIVATION	1.0
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	1.0
GNF2_HCK	1.0
GNF2_GSTM1	1.0
BIOCARTA_TID_PATHWAY	1.0
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1.0
BIOCARTA_TCYTOTOXIC_PATHWAY	1.0
MODULE_112	1.0
PID_ECADHERIN_KERATINOCYTE_PATHWAY	1.0
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1.0
MORF_LTK	1.0
REACTOME_METABOLISM_OF_CARBOHYDRATES	1.0
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	1.0
GCM_HBP1	1.0
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	1.0
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1.0
MODULE_135	1.0
GNF2_IGFBP1	1.0
REACTOME_COLLAGEN_FORMATION	1.0
MODULE_35	1.0
PID_PTP1BPATHWAY	1.0
GNF2_FBL	1.0
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1.0
REACTOME_SIGNAL_AMPLIFICATION	1.0
PID_HIF1APATHWAY	1.0
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1.0
GNF2_PA2G4	1.0
MODULE_136	1.0
GCM_BCL2L1	1.0
MODULE_114	1.0
MODULE_287	1.0
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE	1.0
ST_WNT_BETA_CATENIN_PATHWAY	1.0
PID_P53REGULATIONPATHWAY	1.0
PID_IL12_STAT4PATHWAY	1.0
BIOCARTA_NFAT_PATHWAY	1.0
GNF2_EIF3S6	1.0
PID_RETINOIC_ACID_PATHWAY	1.0
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	1.0
REACTOME_PD1_SIGNALING	1.0
BIOCARTA_CFTR_PATHWAY	1.0
MODULE_488	1.0
MODULE_303	1.0
MODULE_182	1.0
BIOCARTA_EDG1_PATHWAY	1.0
REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT	1.0
MODULE_16	1.0
MORF_RAD21	1.0
BIOCARTA_BARR_MAPK_PATHWAY	1.0
MORF_FOSL1	1.0
REACTOME_SIGNALING_BY_FGFR	1.0
MORF_PHB	1.0
BIOCARTA_HIF_PATHWAY	1.0
BIOCARTA_TNFR1_PATHWAY	1.0
PID_AVB3_OPN_PATHWAY	1.0
MODULE_162	1.0
GNF2_XRCC5	1.0
BIOCARTA_TOB1_PATHWAY	1.0
MODULE_77	1.0
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	1.0
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	1.0
MORF_USP5	1.0
REACTOME_SIGNALING_BY_ILS	1.0
BIOCARTA_ATRBRCA_PATHWAY	1.0
GNF2_ITGAL	1.0
KEGG_BASAL_CELL_CARCINOMA	1.0
PID_P38_MK2PATHWAY	1.0
MODULE_277	1.0
MODULE_414	1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	1.0
MODULE_330	1.0
MODULE_45	1.0
REACTOME_PURINE_METABOLISM	1.0
BIOCARTA_KERATINOCYTE_PATHWAY	1.0
MODULE_313	1.0
REACTOME_PLATELET_HOMEOSTASIS	1.0
MORF_MTA1	1.0
GCM_CSNK1A1	1.0
GCM_MAPK10	1.0
PID_PDGFRBPATHWAY	1.0
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	1.0
MODULE_412	1.0
REACTOME_SIGNALING_BY_FGFR_MUTANTS	1.0
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1.0
BIOCARTA_CARM1_PATHWAY	1.0
BIOCARTA_MTOR_PATHWAY	1.0
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1.0
PID_TCR_PATHWAY	1.0
GNF2_MLF1	1.0
BIOCARTA_ARAP_PATHWAY	1.0
GNF2_TYK2	1.0
MODULE_274	1.0
MORF_ANP32B	1.0
PID_IL8CXCR2_PATHWAY	1.0
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1.0
GCM_CALM1	1.0
GNF2_RTN1	1.0
PID_S1P_S1P1_PATHWAY	1.0
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	1.0
REACTOME_REGULATION_OF_COMPLEMENT_CASCADE	1.0
REACTOME_UNFOLDED_PROTEIN_RESPONSE	1.0
KEGG_CARDIAC_MUSCLE_CONTRACTION	1.0
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	1.0
PID_HIF1_TFPATHWAY	1.0
GNF2_PTPN6	1.0
REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0	1.0
MODULE_97	1.0
REACTOME_PI_METABOLISM	1.0
GCM_NCAM1	1.0
MODULE_331	1.0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	1.0
REACTOME_PACKAGING_OF_TELOMERE_ENDS	1.0
PID_AP1_PATHWAY	1.0
GNF2_INPP5D	1.0
MODULE_275	1.0
PID_WNT_CANONICAL_PATHWAY	1.0
GNF2_RAN	1.0
MODULE_210	1.0
REACTOME_SIGNALING_BY_NOTCH1	1.0
MORF_PTPN11	1.0
MODULE_464	1.0
PID_IL12_2PATHWAY	1.0
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	1.0
REACTOME_CTLA4_INHIBITORY_SIGNALING	1.0
MODULE_86	1.0
BIOCARTA_SRCRPTP_PATHWAY	1.0
REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR	1.0
BIOCARTA_TEL_PATHWAY	1.0
MODULE_91	1.0
GNF2_MSH6	1.0
MODULE_387	1.0
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1.0
BIOCARTA_MEF2D_PATHWAY	1.0
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	1.0
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	1.0
MODULE_278	1.0
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	1.0
MODULE_368	1.0
MODULE_418	1.0
REACTOME_SHC_RELATED_EVENTS	1.0
KEGG_RNA_POLYMERASE	1.0
MODULE_462	1.0
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	1.0
PID_INTEGRIN2_PATHWAY	1.0
REACTOME_INNATE_IMMUNE_SYSTEM	1.0
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	1.0
PID_BARD1PATHWAY	1.0
MORF_ETV3	1.0
KEGG_RENIN_ANGIOTENSIN_SYSTEM	1.0
PID_WNT_NONCANONICAL_PATHWAY	1.0
BIOCARTA_NOS1_PATHWAY	1.0
GNF2_ICAM3	1.0
GCM_MAP1B	1.0
REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	1.0
BIOCARTA_HER2_PATHWAY	1.0
MODULE_491	1.0
MORF_PSMC2	1.0
MODULE_156	1.0
MODULE_562	1.0
REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS	1.0
PID_RHOA_REG_PATHWAY	1.0
MORF_IL13	1.0
PID_PLK1_PATHWAY	1.0
MODULE_281	1.0
MODULE_253	1.0
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	1.0
MODULE_568	1.0
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	1.0
REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX	1.0
MODULE_373	1.0
MORF_RAB11A	1.0
REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING	1.0
GCM_UBE2N	1.0
MORF_MYC	1.0
BIOCARTA_AGR_PATHWAY	1.0
REACTOME_MEIOTIC_RECOMBINATION	1.0
MODULE_209	1.0
MODULE_115	1.0
GNF2_RRM2	1.0
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	1.0
MODULE_235	1.0
MORF_DEK	1.0
REACTOME_DEADENYLATION_OF_MRNA	1.0
REACTOME_CD28_CO_STIMULATION	1.0
