Gene Set	p-value
REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS	0.58
REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS	0.58
REACTOME_GAP_JUNCTION_DEGRADATION	0.58
REACTOME_ACTIVATION_OF_CHAPERONES_BY_ATF6_ALPHA	0.58
ST_JAK_STAT_PATHWAY	0.58
REACTOME_PECAM1_INTERACTIONS	0.58
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	0.58
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	0.58
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING	0.58
SA_FAS_SIGNALING	0.58
MODULE_21	0.58
PID_VEGF_VEGFR_PATHWAY	0.58
ST_TYPE_I_INTERFERON_PATHWAY	0.58
MODULE_457	0.58
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	0.58
BIOCARTA_SARS_PATHWAY	0.58
MODULE_39	0.58
MODULE_454	0.58
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1	0.58
REACTOME_RAF_MAP_KINASE_CASCADE	0.58
BIOCARTA_GABA_PATHWAY	0.58
REACTOME_BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS	0.58
REACTOME_IL_6_SIGNALING	0.58
REACTOME_MEMBRANE_BINDING_AND_TARGETTING_OF_GAG_PROTEINS	0.58
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE	0.58
BIOCARTA_SODD_PATHWAY	0.58
MODULE_471	0.58
REACTOME_REGULATION_OF_THE_FANCONI_ANEMIA_PATHWAY	0.58
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS	0.58
REACTOME_PURINE_CATABOLISM	0.58
REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS	0.58
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	0.58
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	0.58
REACTOME_MTORC1_MEDIATED_SIGNALLING	0.58
BIOCARTA_IL5_PATHWAY	0.58
BIOCARTA_FEEDER_PATHWAY	0.58
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	0.58
REACTOME_GLYCOPROTEIN_HORMONES	0.69
ST_PAC1_RECEPTOR_PATHWAY	0.69
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE	0.69
KEGG_LIMONENE_AND_PINENE_DEGRADATION	0.69
MODULE_101	0.69
BIOCARTA_FREE_PATHWAY	0.69
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION	0.69
SA_G2_AND_M_PHASES	0.69
BIOCARTA_ETC_PATHWAY	0.69
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.69
REACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION	0.73
KEGG_FOLATE_BIOSYNTHESIS	0.77
ST_INTERLEUKIN_13_PATHWAY	0.77
BIOCARTA_BARRESTIN_PATHWAY	0.77
BIOCARTA_MONOCYTE_PATHWAY	0.77
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	0.77
ST_IL_13_PATHWAY	0.77
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	0.77
MODULE_514	0.82
REACTOME_PROSTANOID_LIGAND_RECEPTORS	0.84
BIOCARTA_EPHA4_PATHWAY	0.86
REACTOME_ANDROGEN_BIOSYNTHESIS	0.86
MODULE_293	0.88
MODULE_65	0.88
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.89
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.89
REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN1_SIGNALING	0.9
REACTOME_GLUCURONIDATION	0.93
BIOCARTA_LECTIN_PATHWAY	0.93
REACTOME_OPSINS	0.93
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.93
BIOCARTA_TCAPOPTOSIS_PATHWAY	0.94
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	0.94
BIOCARTA_NEUROTRANSMITTERS_PATHWAY	0.97
MODULE_160	0.99
REACTOME_PROTEOLYTIC_CLEAVAGE_OF_SNARE_COMPLEX_PROTEINS	0.99
GNF2_MSN	0.99
REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP	0.99
BIOCARTA_CDK5_PATHWAY	0.99
REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES	0.99
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	0.99
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.99
BIOCARTA_PITX2_PATHWAY	0.99
REACTOME_DARPP_32_EVENTS	0.99
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	0.99
REACTOME_LAGGING_STRAND_SYNTHESIS	0.99
REACTOME_P75NTR_SIGNALS_VIA_NFKB	0.99
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	0.99
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.99
MODULE_294	0.99
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.99
BIOCARTA_CD40_PATHWAY	0.99
REACTOME_REGULATION_OF_IFNG_SIGNALING	0.99
REACTOME_GLUTATHIONE_CONJUGATION	0.99
REACTOME_SIGNALING_BY_NOTCH3	0.99
BIOCARTA_IGF1MTOR_PATHWAY	0.99
BIOCARTA_CACAM_PATHWAY	0.99
MODULE_236	0.99
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.99
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	0.99
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	0.99
GNF2_MBD4	0.99
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	0.99
MODULE_421	0.99
MODULE_362	0.99
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS	0.99
BIOCARTA_VIP_PATHWAY	0.99
REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.99
MODULE_215	0.99
BIOCARTA_NTHI_PATHWAY	0.99
MODULE_352	0.99
PID_HDAC_CLASSIII_PATHWAY	0.99
BIOCARTA_RB_PATHWAY	0.99
REACTOME_INSULIN_SYNTHESIS_AND_PROCESSING	0.99
BIOCARTA_SALMONELLA_PATHWAY	0.99
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.99
REACTOME_SYNTHESIS_OF_PC	0.99
REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA	0.99
REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY	0.99
MODULE_340	0.99
BIOCARTA_GLEEVEC_PATHWAY	0.99
MODULE_557	0.99
PID_ALK2PATHWAY	0.99
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1	0.99
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12	0.99
REACTOME_REGULATION_OF_IFNA_SIGNALING	0.99
REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX	0.99
SA_MMP_CYTOKINE_CONNECTION	0.99
MODULE_560	0.99
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.99
BIOCARTA_P53HYPOXIA_PATHWAY	0.99
PID_ARF_3PATHWAY	0.99
BIOCARTA_NO2IL12_PATHWAY	0.99
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.99
BIOCARTA_TID_PATHWAY	0.99
BIOCARTA_TCYTOTOXIC_PATHWAY	0.99
PID_ECADHERIN_KERATINOCYTE_PATHWAY	0.99
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.99
MODULE_135	0.99
MODULE_35	0.99
PID_HIF1APATHWAY	0.99
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.99
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.99
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE	0.99
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	0.99
REACTOME_PD1_SIGNALING	0.99
BIOCARTA_CFTR_PATHWAY	0.99
BIOCARTA_BARR_MAPK_PATHWAY	0.99
BIOCARTA_HIF_PATHWAY	0.99
MODULE_162	0.99
BIOCARTA_TOB1_PATHWAY	0.99
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	0.99
BIOCARTA_ATRBRCA_PATHWAY	0.99
PID_P38_MK2PATHWAY	0.99
MODULE_414	0.99
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	0.99
MODULE_313	0.99
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	0.99
MODULE_412	0.99
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.99
BIOCARTA_CARM1_PATHWAY	0.99
BIOCARTA_MTOR_PATHWAY	0.99
BIOCARTA_ARAP_PATHWAY	0.99
PID_S1P_S1P1_PATHWAY	0.99
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.99
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS	0.99
REACTOME_REGULATION_OF_COMPLEMENT_CASCADE	0.99
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	0.99
PID_P38GAMMADELTAPATHWAY	0.99
MODULE_275	0.99
PID_WNT_CANONICAL_PATHWAY	0.99
MODULE_464	0.99
REACTOME_CTLA4_INHIBITORY_SIGNALING	0.99
BIOCARTA_SRCRPTP_PATHWAY	0.99
REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR	0.99
BIOCARTA_TEL_PATHWAY	0.99
BIOCARTA_MEF2D_PATHWAY	0.99
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	0.99
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	0.99
MODULE_368	0.99
REACTOME_SHC_RELATED_EVENTS	0.99
MODULE_462	0.99
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	0.99
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.99
BIOCARTA_NOS1_PATHWAY	0.99
BIOCARTA_HER2_PATHWAY	0.99
MODULE_156	0.99
MODULE_562	0.99
MODULE_253	0.99
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	0.99
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	0.99
REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX	0.99
MODULE_373	0.99
MODULE_115	0.99
REACTOME_DEADENYLATION_OF_MRNA	0.99
REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE	0.99
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.99
REACTOME_THE_NLRP3_INFLAMMASOME	0.99
REACTOME_SEROTONIN_RECEPTORS	0.99
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	0.99
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION	0.99
REACTOME_HDL_MEDIATED_LIPID_TRANSPORT	0.99
MODULE_547	0.99
BIOCARTA_PGC1A_PATHWAY	0.99
MODULE_240	0.99
PID_SYNDECAN_3_PATHWAY	0.99
BIOCARTA_GATA3_PATHWAY	0.99
MODULE_501	0.99
BIOCARTA_ERYTH_PATHWAY	0.99
MODULE_82	0.99
BIOCARTA_CERAMIDE_PATHWAY	0.99
BIOCARTA_EIF2_PATHWAY	0.99
REACTOME_PHOSPHORYLATION_OF_THE_APC_C	0.99
KEGG_BETA_ALANINE_METABOLISM	0.99
ST_WNT_CA2_CYCLIC_GMP_PATHWAY	0.99
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	0.99
REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN	0.99
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN	0.99
PID_CIRCADIANPATHWAY	0.99
MODULE_509	0.99
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	0.99
MODULE_400	0.99
REACTOME_ACTIVATION_OF_GENES_BY_ATF4	0.99
MODULE_478	0.99
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	0.99
MODULE_440	0.99
BIOCARTA_GRANULOCYTES_PATHWAY	0.99
BIOCARTA_RARRXR_PATHWAY	0.99
PID_EPHA2_FWDPATHWAY	0.99
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.99
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.99
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	0.99
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE	0.99
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE	0.99
MODULE_388	0.99
REACTOME_CTNNB1_PHOSPHORYLATION_CASCADE	0.99
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	0.99
REACTOME_EGFR_DOWNREGULATION	0.99
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	0.99
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	0.99
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.99
MODULE_401	0.99
BIOCARTA_GCR_PATHWAY	0.99
REACTOME_HS_GAG_DEGRADATION	0.99
REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS	0.99
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.99
REACTOME_SIGNALING_BY_BMP	0.99
REACTOME_METABOLISM_OF_PORPHYRINS	0.99
MODULE_396	0.99
BIOCARTA_CELL2CELL_PATHWAY	0.99
BIOCARTA_RAC1_PATHWAY	0.99
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0.99
BIOCARTA_TPO_PATHWAY	0.99
MODULE_173	0.99
MODULE_417	0.99
PID_TOLL_ENDOGENOUS_PATHWAY	0.99
PID_ANTHRAXPATHWAY	0.99
BIOCARTA_CHEMICAL_PATHWAY	0.99
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.99
MODULE_14	0.99
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	0.99
MODULE_89	0.99
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0.99
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	0.99
REACTOME_PYRIMIDINE_CATABOLISM	0.99
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	0.99
BIOCARTA_DC_PATHWAY	0.99
MODULE_505	0.99
MODULE_346	0.99
REACTOME_REGULATORY_RNA_PATHWAYS	0.99
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	0.99
BIOCARTA_ATM_PATHWAY	0.99
REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION	0.99
MODULE_141	0.99
REACTOME_G0_AND_EARLY_G1	0.99
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY	0.99
BIOCARTA_HSP27_PATHWAY	0.99
REACTOME_SIGNALING_BY_NOTCH4	0.99
MODULE_222	0.99
REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10	0.99
PID_DNAPK_PATHWAY	0.99
MODULE_552	0.99
REACTOME_METAL_ION_SLC_TRANSPORTERS	0.99
BIOCARTA_CCR3_PATHWAY	0.99
MODULE_470	0.99
MODULE_189	0.99
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR	0.99
BIOCARTA_ASBCELL_PATHWAY	0.99
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.99
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	0.99
REACTOME_SIGNALING_BY_HIPPO	0.99
REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS	0.99
MODULE_272	0.99
REACTOME_BOTULINUM_NEUROTOXICITY	0.99
MODULE_110	0.99
BIOCARTA_MCALPAIN_PATHWAY	0.99
MODULE_78	0.99
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION	0.99
PID_PRLSIGNALINGEVENTSPATHWAY	0.99
BIOCARTA_TNFR2_PATHWAY	0.99
MODULE_58	0.99
BIOCARTA_PTC1_PATHWAY	0.99
BIOCARTA_TH1TH2_PATHWAY	0.99
MODULE_431	0.99
ST_GA12_PATHWAY	0.99
REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2	0.99
BIOCARTA_CDC42RAC_PATHWAY	0.99
REACTOME_PYRIMIDINE_METABOLISM	0.99
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	0.99
BIOCARTA_CXCR4_PATHWAY	0.99
MODULE_395	0.99
REACTOME_SIGNALING_BY_NODAL	0.99
REACTOME_RNA_POL_I_TRANSCRIPTION_INITIATION	0.99
BIOCARTA_EPONFKB_PATHWAY	0.99
MODULE_168	0.99
REACTOME_DEFENSINS	0.99
REACTOME_PLATELET_SENSITIZATION_BY_LDL	0.99
REACTOME_ERK_MAPK_TARGETS	0.99
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	0.99
MODULE_102	0.99
GNF2_SPRR1B	0.99
BIOCARTA_P35ALZHEIMERS_PATHWAY	0.99
MODULE_563	0.99
PID_S1P_S1P4_PATHWAY	0.99
REACTOME_CGMP_EFFECTS	0.99
BIOCARTA_CASPASE_PATHWAY	0.99
BIOCARTA_EPO_PATHWAY	0.99
REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	0.99
BIOCARTA_VITCB_PATHWAY	0.99
BIOCARTA_CCR5_PATHWAY	0.99
BIOCARTA_AGPCR_PATHWAY	0.99
BIOCARTA_IGF1R_PATHWAY	0.99
BIOCARTA_ACH_PATHWAY	0.99
MODULE_103	0.99
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	0.99
BIOCARTA_ACTINY_PATHWAY	0.99
KEGG_SELENOAMINO_ACID_METABOLISM	0.99
MODULE_545	0.99
MODULE_343	0.99
PID_MYC_PATHWAY	0.99
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.99
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	0.99
BIOCARTA_ECM_PATHWAY	0.99
MODULE_516	0.99
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.99
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA	0.99
BIOCARTA_CDMAC_PATHWAY	0.99
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	0.99
REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS	0.99
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	0.99
KEGG_NITROGEN_METABOLISM	0.99
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	0.99
MODULE_190	0.99
GNF2_SPINK1	0.99
MODULE_310	0.99
KEGG_OTHER_GLYCAN_DEGRADATION	0.99
REACTOME_SIGNAL_ATTENUATION	0.99
MODULE_178	0.99
REACTOME_INSULIN_RECEPTOR_RECYCLING	0.99
BIOCARTA_THELPER_PATHWAY	0.99
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.99
BIOCARTA_SET_PATHWAY	0.99
MODULE_528	0.99
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.99
BIOCARTA_PARKIN_PATHWAY	0.99
KEGG_RIBOFLAVIN_METABOLISM	0.99
KEGG_LINOLEIC_ACID_METABOLISM	0.99
MODULE_106	0.99
MODULE_130	0.99
KEGG_NON_HOMOLOGOUS_END_JOINING	0.99
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS	0.99
BIOCARTA_IL17_PATHWAY	0.99
CAR_MYST2	0.99
GNF2_CASP4	0.99
REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS	0.99
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	0.99
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.99
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	0.99
REACTOME_OXYGEN_DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA_INDUCIBLE_FACTOR_ALPHA	0.99
MODULE_575	0.99
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	0.99
MODULE_127	0.99
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.99
GNF2_GLTSCR2	0.99
BIOCARTA_INSULIN_PATHWAY	0.99
MODULE_320	0.99
REACTOME_DSCAM_INTERACTIONS	0.99
REACTOME_CALNEXIN_CALRETICULIN_CYCLE	0.99
MODULE_416	0.99
BIOCARTA_IL12_PATHWAY	0.99
BIOCARTA_CTLA4_PATHWAY	0.99
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS	0.99
BIOCARTA_MTA3_PATHWAY	0.99
BIOCARTA_CALCINEURIN_PATHWAY	0.99
MODULE_267	0.99
BIOCARTA_EGFR_SMRTE_PATHWAY	0.99
REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS	0.99
BIOCARTA_PML_PATHWAY	0.99
BIOCARTA_IL4_PATHWAY	0.99
REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	0.99
BIOCARTA_AKAP95_PATHWAY	0.99
BIOCARTA_LAIR_PATHWAY	0.99
REACTOME_BASE_EXCISION_REPAIR	0.99
MODULE_4	0.99
MODULE_492	0.99
REACTOME_FANCONI_ANEMIA_PATHWAY	0.99
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_	0.99
MODULE_465	0.99
BIOCARTA_IL7_PATHWAY	0.99
BIOCARTA_IGF1_PATHWAY	0.99
MODULE_73	0.99
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	0.99
GNF2_SMC1L1	0.99
PID_ARF6DOWNSTREAMPATHWAY	0.99
GNF2_BUB1	0.99
MODULE_495	0.99
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	0.99
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.99
BIOCARTA_NFKB_PATHWAY	0.99
BIOCARTA_VDR_PATHWAY	0.99
REACTOME_SIGNALING_BY_NOTCH2	0.99
MODULE_445	0.99
REACTOME_PYRUVATE_METABOLISM	0.99
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	0.99
REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION	0.99
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	0.99
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	0.99
BIOCARTA_ETS_PATHWAY	0.99
REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY	0.99
KEGG_PHENYLALANINE_METABOLISM	0.99
BIOCARTA_RACCYCD_PATHWAY	0.99
BIOCARTA_LEPTIN_PATHWAY	0.99
GNF2_IGF1	0.99
BIOCARTA_UCALPAIN_PATHWAY	0.99
MODULE_371	0.99
REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS	0.99
BIOCARTA_TRKA_PATHWAY	0.99
