Gene Set	Basal	Her2	LumA	LumB	Average p-value
PID_ERBB4_PATHWAY	0.60	0.01	0.07	0.07	0.1875
PID_ERBB2ERBB3PATHWAY	0.70	0.00	0.05	0.00	0.1875
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	0.34	0.09	0.26	0.07	0.19
KEGG_MTOR_SIGNALING_PATHWAY	0.20	0.27	0.29	0.02	0.195
REACTOME_PERK_REGULATED_GENE_EXPRESSION	0.13	0.22	0.07	0.36	0.195
REACTOME_MYOGENESIS	0.28	0.37	0.10	0.04	0.1975
BIOCARTA_CARM_ER_PATHWAY	0.16	0.08	0.52	0.04	0.2
REACTOME_INFLUENZA_LIFE_CYCLE	0.04	0.15	0.26	0.37	0.205
PID_PRLSIGNALINGEVENTSPATHWAY	0.09	0.45	0.20	0.09	0.2075
BIOCARTA_PPARA_PATHWAY	0.63	0.18	0.00	0.04	0.2125
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	0.54	0.00	0.29	0.03	0.215
KEGG_FOLATE_BIOSYNTHESIS	0.15	0.27	0.02	0.44	0.22
BIOCARTA_P53HYPOXIA_PATHWAY	0.29	0.34	0.18	0.07	0.22
BIOCARTA_PYK2_PATHWAY	0.23	0.51	0.13	0.02	0.2225
REACTOME_SIGNALING_BY_PDGF	0.76	0.02	0.08	0.03	0.2225
PID_IL2_1PATHWAY	0.78	0.02	0.05	0.07	0.23
REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.02	0.33	0.20	0.37	0.23
REACTOME_CELL_CYCLE	0.36	0.26	0.20	0.10	0.23
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	0.18	0.65	0.08	0.01	0.23
PID_FOXOPATHWAY	0.24	0.13	0.08	0.47	0.23
KEGG_PATHWAYS_IN_CANCER	0.90	0.04	0.00	0.01	0.2375
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.12	0.18	0.06	0.60	0.24
PID_VEGFR1_PATHWAY	0.28	0.69	0.00	0.00	0.2425
REACTOME_MTORC1_MEDIATED_SIGNALLING	0.03	0.12	0.59	0.23	0.2425
KEGG_ADHERENS_JUNCTION	0.28	0.01	0.05	0.64	0.245
ST_INTERLEUKIN_4_PATHWAY	0.07	0.56	0.24	0.11	0.245
REACTOME_REGULATORY_RNA_PATHWAYS	0.21	0.63	0.12	0.04	0.25
BIOCARTA_BIOPEPTIDES_PATHWAY	0.67	0.18	0.06	0.10	0.2525
REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE	0.44	0.17	0.36	0.04	0.2525
BIOCARTA_CHREBP2_PATHWAY	0.56	0.12	0.06	0.28	0.255
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.56	0.02	0.41	0.05	0.26
ST_INTEGRIN_SIGNALING_PATHWAY	0.16	0.01	0.05	0.82	0.26
PID_IGF1_PATHWAY	0.11	0.62	0.23	0.08	0.26
BIOCARTA_CDK5_PATHWAY	0.21	0.00	0.54	0.31	0.265
PID_HDAC_CLASSI_PATHWAY	0.36	0.53	0.06	0.11	0.265
KEGG_PYRIMIDINE_METABOLISM	0.06	0.27	0.35	0.38	0.265
PID_SMAD2_3PATHWAY	0.20	0.05	0.43	0.38	0.265
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	0.29	0.07	0.37	0.34	0.2675
REACTOME_SEMAPHORIN_INTERACTIONS	0.85	0.02	0.01	0.19	0.2675
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.66	0.19	0.04	0.19	0.27
REACTOME_MRNA_PROCESSING	0.49	0.22	0.02	0.36	0.2725
REACTOME_UNFOLDED_PROTEIN_RESPONSE	0.22	0.35	0.30	0.23	0.275
BIOCARTA_SKP2E2F_PATHWAY	0.06	0.42	0.32	0.30	0.275
BIOCARTA_ERK_PATHWAY	0.46	0.16	0.19	0.29	0.275
PID_ECADHERIN_NASCENTAJ_PATHWAY	0.11	0.37	0.61	0.02	0.2775
BIOCARTA_KERATINOCYTE_PATHWAY	0.53	0.03	0.10	0.47	0.2825
PID_ATM_PATHWAY	0.60	0.09	0.35	0.10	0.285
PID_AR_TF_PATHWAY	0.23	0.70	0.09	0.12	0.285
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.84	0.17	0.13	0.00	0.285
REACTOME_SIGNALING_BY_ERBB4	0.68	0.09	0.11	0.26	0.285
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.07	0.09	0.46	0.53	0.2875
BIOCARTA_IGF1MTOR_PATHWAY	0.19	0.46	0.15	0.35	0.2875
REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING	0.44	0.35	0.29	0.07	0.2875
PID_KITPATHWAY	0.52	0.33	0.08	0.22	0.2875
PID_PS1PATHWAY	0.59	0.18	0.34	0.04	0.2875
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	0.57	0.44	0.14	0.01	0.29
BIOCARTA_RACCYCD_PATHWAY	0.29	0.27	0.51	0.09	0.29
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	0.66	0.25	0.24	0.01	0.29
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	0.48	0.30	0.36	0.02	0.29
PID_NFAT_3PATHWAY	0.79	0.11	0.16	0.10	0.29
REACTOME_CTLA4_INHIBITORY_SIGNALING	0.15	0.62	0.18	0.22	0.2925
REACTOME_GAP_JUNCTION_DEGRADATION	0.48	0.17	0.30	0.23	0.295
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.15	0.31	0.32	0.41	0.2975
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.05	0.68	0.09	0.37	0.2975
REACTOME_CELL_CYCLE_MITOTIC	0.40	0.24	0.18	0.37	0.2975
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	0.55	0.01	0.15	0.49	0.3
ST_TYPE_I_INTERFERON_PATHWAY	0.22	0.56	0.31	0.11	0.3
KEGG_GLIOMA	0.06	0.89	0.26	0.00	0.3025
REACTOME_L1CAM_INTERACTIONS	0.44	0.63	0.08	0.06	0.3025
BIOCARTA_AKT_PATHWAY	0.29	0.35	0.38	0.19	0.3025
REACTOME_METABOLISM_OF_NUCLEOTIDES	0.37	0.15	0.14	0.55	0.3025
BIOCARTA_GSK3_PATHWAY	0.17	0.56	0.46	0.02	0.3025
BIOCARTA_MTOR_PATHWAY	0.00	0.22	0.66	0.34	0.305
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM	0.33	0.06	0.37	0.46	0.305
KEGG_OXIDATIVE_PHOSPHORYLATION	0.02	0.21	0.07	0.92	0.305
REACTOME_AXON_GUIDANCE	0.82	0.08	0.07	0.26	0.3075
REACTOME_METABOLISM_OF_RNA	0.42	0.11	0.23	0.47	0.3075
PID_FANCONI_PATHWAY	0.24	0.73	0.26	0.00	0.3075
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	0.42	0.04	0.51	0.27	0.31
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	0.81	0.12	0.14	0.17	0.31
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	0.81	0.25	0.10	0.09	0.3125
REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX	0.31	0.31	0.28	0.35	0.3125
BIOCARTA_TOB1_PATHWAY	0.54	0.17	0.20	0.35	0.315
REACTOME_SULFUR_AMINO_ACID_METABOLISM	0.61	0.21	0.15	0.29	0.315
BIOCARTA_IL2RB_PATHWAY	0.79	0.03	0.09	0.35	0.315
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES	0.34	0.67	0.10	0.15	0.315
PID_AR_NONGENOMIC_PATHWAY	0.25	0.51	0.42	0.08	0.315
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	0.07	0.70	0.29	0.21	0.3175
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.06	0.95	0.12	0.14	0.3175
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.04	0.86	0.07	0.31	0.32
REACTOME_ACTIVATION_OF_GENES_BY_ATF4	0.15	0.31	0.27	0.55	0.32
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.08	0.31	0.26	0.63	0.32
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.48	0.23	0.33	0.24	0.32
KEGG_CALCIUM_SIGNALING_PATHWAY	0.68	0.08	0.30	0.22	0.32
REACTOME_TOLL_RECEPTOR_CASCADES	0.61	0.47	0.19	0.01	0.32
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.49	0.67	0.10	0.02	0.32
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.57	0.07	0.35	0.30	0.3225
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.29	0.18	0.31	0.51	0.3225
PID_ANGIOPOIETINRECEPTOR_PATHWAY	0.83	0.01	0.17	0.30	0.3275
REACTOME_MRNA_SPLICING	0.63	0.17	0.08	0.44	0.33
KEGG_P53_SIGNALING_PATHWAY	0.22	0.43	0.58	0.09	0.33
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.79	0.31	0.13	0.10	0.3325
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.44	0.07	0.48	0.34	0.3325
PID_HDAC_CLASSII_PATHWAY	0.70	0.18	0.38	0.07	0.3325
KEGG_WNT_SIGNALING_PATHWAY	0.74	0.46	0.02	0.11	0.3325
REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE	0.12	0.03	0.66	0.52	0.3325
BIOCARTA_GABA_PATHWAY	0.46	0.14	0.52	0.21	0.3325
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.47	0.19	0.37	0.31	0.335
REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS	0.50	0.36	0.14	0.34	0.335
PID_ERBB_NETWORK_PATHWAY	0.83	0.00	0.04	0.47	0.335
REACTOME_MUSCLE_CONTRACTION	0.39	0.01	0.08	0.87	0.3375
KEGG_VIBRIO_CHOLERAE_INFECTION	0.45	0.82	0.04	0.04	0.3375
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	0.23	0.85	0.28	0.00	0.34
PID_RETINOIC_ACID_PATHWAY	0.24	0.50	0.41	0.21	0.34
BIOCARTA_INTEGRIN_PATHWAY	0.84	0.31	0.07	0.14	0.34
PID_FRA_PATHWAY	0.15	0.50	0.39	0.34	0.345
REACTOME_MEMBRANE_TRAFFICKING	0.58	0.54	0.20	0.07	0.3475
BIOCARTA_P35ALZHEIMERS_PATHWAY	0.42	0.11	0.04	0.82	0.3475
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.53	0.01	0.47	0.38	0.3475
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.00	0.31	0.27	0.82	0.35
PID_P53REGULATIONPATHWAY	0.47	0.42	0.50	0.02	0.3525
BIOCARTA_PTC1_PATHWAY	0.16	0.53	0.30	0.42	0.3525
PID_MET_PATHWAY	0.30	0.52	0.35	0.24	0.3525
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.28	0.29	0.44	0.40	0.3525
ST_G_ALPHA_S_PATHWAY	0.06	0.49	0.21	0.66	0.355
KEGG_DILATED_CARDIOMYOPATHY	0.69	0.26	0.35	0.13	0.3575
BIOCARTA_TPO_PATHWAY	0.40	0.41	0.54	0.08	0.3575
PID_BETACATENIN_NUC_PATHWAY	0.41	0.65	0.36	0.01	0.3575
PID_TELOMERASEPATHWAY	0.57	0.32	0.52	0.02	0.3575
KEGG_SELENOAMINO_ACID_METABOLISM	0.11	0.23	0.19	0.90	0.3575
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.34	0.41	0.64	0.04	0.3575
PID_REG_GR_PATHWAY	0.87	0.21	0.27	0.08	0.3575
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	0.67	0.40	0.02	0.34	0.3575
REACTOME_G0_AND_EARLY_G1	0.40	0.28	0.54	0.22	0.36
BIOCARTA_CXCR4_PATHWAY	0.32	0.29	0.15	0.68	0.36
REACTOME_ERK_MAPK_TARGETS	0.52	0.08	0.35	0.49	0.36
REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES	0.53	0.58	0.12	0.21	0.36
BIOCARTA_LEPTIN_PATHWAY	0.36	0.13	0.57	0.39	0.3625
KEGG_ALZHEIMERS_DISEASE	0.32	0.29	0.46	0.38	0.3625
KEGG_MELANOMA	0.24	0.67	0.51	0.03	0.3625
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	0.79	0.40	0.24	0.02	0.3625
PID_CXCR3PATHWAY	0.22	0.44	0.69	0.11	0.365
REACTOME_G1_PHASE	0.13	1.00	0.29	0.04	0.365
PID_IFNGPATHWAY	0.34	0.07	0.88	0.18	0.3675
REACTOME_BASIGIN_INTERACTIONS	0.72	0.14	0.32	0.29	0.3675
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	0.89	0.51	0.06	0.01	0.3675
BIOCARTA_HIVNEF_PATHWAY	0.79	0.09	0.29	0.30	0.3675
BIOCARTA_ATRBRCA_PATHWAY	0.53	0.41	0.52	0.02	0.37
PID_AP1_PATHWAY	0.40	0.67	0.35	0.06	0.37
PID_ATR_PATHWAY	0.15	0.82	0.41	0.10	0.37
PID_PTP1BPATHWAY	0.55	0.14	0.41	0.39	0.3725
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.33	0.38	0.44	0.34	0.3725
BIOCARTA_CK1_PATHWAY	0.84	0.02	0.54	0.09	0.3725
PID_P73PATHWAY	0.39	0.19	0.73	0.19	0.375
PID_VEGFR1_2_PATHWAY	0.73	0.42	0.20	0.15	0.375
BIOCARTA_UCALPAIN_PATHWAY	0.78	0.24	0.42	0.06	0.375
REACTOME_MICRORNA_MIRNA_BIOGENESIS	0.43	0.76	0.24	0.07	0.375
PID_SMAD2_3NUCLEARPATHWAY	0.28	0.38	0.69	0.15	0.375
BIOCARTA_HER2_PATHWAY	0.29	0.14	0.65	0.43	0.3775
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	0.13	0.54	0.44	0.40	0.3775
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.87	0.29	0.23	0.12	0.3775
PID_ATF2_PATHWAY	0.92	0.12	0.37	0.10	0.3775
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.55	0.33	0.26	0.38	0.38
BIOCARTA_EDG1_PATHWAY	0.52	0.13	0.79	0.09	0.3825
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	0.42	0.61	0.27	0.23	0.3825
REACTOME_PEPTIDE_CHAIN_ELONGATION	0.24	0.09	0.56	0.64	0.3825
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	0.50	0.40	0.56	0.07	0.3825
REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX	0.51	0.51	0.20	0.32	0.385
REACTOME_S_PHASE	0.64	0.07	0.70	0.13	0.385
REACTOME_MITOTIC_G2_G2_M_PHASES	0.61	0.62	0.07	0.24	0.385
PID_ERA_GENOMIC_PATHWAY	0.67	0.07	0.48	0.32	0.385
BIOCARTA_RARRXR_PATHWAY	0.42	0.47	0.55	0.11	0.3875
REACTOME_PI3K_CASCADE	0.57	0.50	0.33	0.15	0.3875
BIOCARTA_IL4_PATHWAY	0.12	0.76	0.65	0.02	0.3875
BIOCARTA_IL7_PATHWAY	0.52	0.11	0.43	0.49	0.3875
BIOCARTA_CELLCYCLE_PATHWAY	0.15	0.82	0.53	0.05	0.3875
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.71	0.56	0.26	0.02	0.3875
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.87	0.08	0.53	0.07	0.3875
KEGG_LYSOSOME	0.55	0.63	0.35	0.03	0.39
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.73	0.30	0.14	0.39	0.39
REACTOME_G_PROTEIN_ACTIVATION	0.42	0.52	0.28	0.34	0.39
REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	0.79	0.35	0.40	0.02	0.39
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	0.14	1.00	0.36	0.06	0.39
ST_B_CELL_ANTIGEN_RECEPTOR	0.53	0.50	0.46	0.07	0.39
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	0.08	0.56	0.52	0.42	0.395
BIOCARTA_BARR_MAPK_PATHWAY	0.85	0.06	0.59	0.08	0.395
PID_IL8CXCR2_PATHWAY	0.79	0.37	0.35	0.07	0.395
KEGG_FOCAL_ADHESION	0.84	0.06	0.45	0.23	0.395
PID_RHOA_PATHWAY	0.56	0.44	0.34	0.24	0.395
PID_AMB2_NEUTROPHILS_PATHWAY	0.67	0.34	0.29	0.28	0.395
SA_G2_AND_M_PHASES	0.34	0.52	0.41	0.31	0.395
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	0.01	0.42	0.48	0.68	0.3975
REACTOME_RNA_POL_II_PRE_TRANSCRIPTION_EVENTS	0.41	0.15	0.57	0.46	0.3975
KEGG_MAPK_SIGNALING_PATHWAY	0.98	0.49	0.12	0.00	0.3975
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	0.63	0.26	0.65	0.06	0.4
PID_MTOR_4PATHWAY	0.16	0.30	0.66	0.48	0.4
REACTOME_TRIF_MEDIATED_TLR3_SIGNALING	0.57	0.41	0.58	0.04	0.4
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12	0.50	0.54	0.15	0.42	0.4025
BIOCARTA_IL10_PATHWAY	0.66	0.05	0.83	0.07	0.4025
BIOCARTA_CREB_PATHWAY	0.33	0.30	0.69	0.29	0.4025
BIOCARTA_RANMS_PATHWAY	0.94	0.02	0.58	0.08	0.405
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.26	0.10	0.67	0.60	0.4075
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.36	0.59	0.68	0.00	0.4075
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.72	0.02	0.52	0.38	0.41
REACTOME_PYRIMIDINE_METABOLISM	0.18	0.62	0.39	0.45	0.41
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	0.59	0.35	0.66	0.04	0.41
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	0.08	0.13	0.56	0.87	0.41
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.44	0.56	0.18	0.47	0.4125
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	0.67	0.11	0.18	0.69	0.4125
BIOCARTA_EPONFKB_PATHWAY	0.55	0.29	0.50	0.31	0.4125
BIOCARTA_ECM_PATHWAY	0.60	0.24	0.45	0.36	0.4125
KEGG_TIGHT_JUNCTION	0.02	0.90	0.43	0.30	0.4125
BIOCARTA_EGF_PATHWAY	0.71	0.58	0.32	0.04	0.4125
REACTOME_INTEGRATION_OF_PROVIRUS	0.21	0.57	0.37	0.51	0.415
REACTOME_SIGNALING_BY_NOTCH	0.87	0.44	0.33	0.02	0.415
KEGG_PURINE_METABOLISM	0.65	0.44	0.32	0.25	0.415
REACTOME_DEVELOPMENTAL_BIOLOGY	0.94	0.04	0.34	0.34	0.415
PID_TRKRPATHWAY	0.91	0.22	0.53	0.00	0.415
REACTOME_MRNA_SPLICING_MINOR_PATHWAY	0.96	0.09	0.26	0.36	0.4175
REACTOME_DIABETES_PATHWAYS	0.34	0.20	0.51	0.62	0.4175
REACTOME_G1_S_TRANSITION	0.22	0.07	0.43	0.96	0.42
REACTOME_GLUCOSE_TRANSPORT	0.59	0.15	0.85	0.10	0.4225
REACTOME_DEADENYLATION_OF_MRNA	0.50	0.51	0.24	0.45	0.425
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	0.79	0.18	0.52	0.21	0.425
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	0.28	0.83	0.35	0.24	0.425
PID_CMYB_PATHWAY	0.01	0.94	0.69	0.06	0.425
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.24	0.66	0.59	0.21	0.425
BIOCARTA_SPRY_PATHWAY	0.70	0.76	0.24	0.00	0.425
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION	0.74	0.41	0.52	0.04	0.4275
PID_P53DOWNSTREAMPATHWAY	0.74	0.34	0.22	0.41	0.4275
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	0.36	0.52	0.62	0.21	0.4275
REACTOME_TIE2_SIGNALING	0.80	0.05	0.57	0.29	0.4275
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	0.71	0.41	0.54	0.05	0.4275
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	0.37	0.69	0.55	0.10	0.4275
PID_RAC1_PATHWAY	0.11	0.82	0.57	0.21	0.4275
REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK	0.15	0.14	0.62	0.81	0.43
ST_INTERFERON_GAMMA_PATHWAY	0.49	0.64	0.51	0.08	0.43
PID_RHODOPSIN_PATHWAY	0.32	0.51	0.55	0.34	0.43
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	0.78	0.22	0.54	0.19	0.4325
KEGG_PARKINSONS_DISEASE	0.08	0.17	0.53	0.95	0.4325
REACTOME_METAL_ION_SLC_TRANSPORTERS	0.22	0.90	0.52	0.09	0.4325
PID_CD8TCRPATHWAY	1.00	0.61	0.10	0.02	0.4325
KEGG_PYRUVATE_METABOLISM	0.07	0.67	0.67	0.32	0.4325
KEGG_PANCREATIC_CANCER	0.95	0.02	0.60	0.16	0.4325
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	0.29	0.41	0.04	0.99	0.4325
PID_PDGFRBPATHWAY	0.54	0.65	0.49	0.06	0.435
REACTOME_ACTIVATED_TLR4_SIGNALLING	0.89	0.52	0.33	0.00	0.435
REACTOME_INNATE_IMMUNE_SYSTEM	0.57	0.83	0.29	0.06	0.4375
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.34	0.80	0.18	0.43	0.4375
PID_AVB3_INTEGRIN_PATHWAY	0.78	0.12	0.36	0.49	0.4375
KEGG_NITROGEN_METABOLISM	0.21	0.81	0.54	0.19	0.4375
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.46	0.47	0.18	0.64	0.4375
PID_HNF3APATHWAY	0.84	0.09	0.29	0.53	0.4375
BIOCARTA_HCMV_PATHWAY	0.57	0.19	0.94	0.05	0.4375
KEGG_SPLICEOSOME	0.66	0.26	0.18	0.65	0.4375
BIOCARTA_PTDINS_PATHWAY	0.21	0.65	0.67	0.22	0.4375
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GIP	0.80	0.14	0.47	0.34	0.4375
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	0.05	0.96	0.55	0.19	0.4375
REACTOME_MITOTIC_M_M_G1_PHASES	0.70	0.23	0.28	0.55	0.44
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	0.36	0.18	0.40	0.82	0.44
BIOCARTA_IL22BP_PATHWAY	0.58	0.22	0.87	0.09	0.44
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.07	0.82	0.11	0.77	0.4425
