Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.03	0.44	0.24	0.04	0.19	0.188
PID_ECADHERIN_STABILIZATION_PATHWAY	0.02	0.25	0.48	0.14	0.05	0.188
BIOCARTA_DNAFRAGMENT_PATHWAY	0.50	0.30	0.04	0.08	0.07	0.198
KEGG_GLUTATHIONE_METABOLISM	0.33	0.04	0.07	0.12	0.43	0.198
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.08	0.00	0.47	0.07	0.40	0.204
REACTOME_SIGNALING_BY_NOTCH	0.17	0.11	0.38	0.28	0.09	0.206
PID_ILK_PATHWAY	0.18	0.62	0.04	0.00	0.20	0.208
SA_G2_AND_M_PHASES	0.27	0.19	0.00	0.20	0.38	0.208
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.14	0.05	0.27	0.51	0.07	0.208
BIOCARTA_G1_PATHWAY	0.10	0.00	0.00	0.24	0.70	0.208
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.28	0.12	0.00	0.01	0.64	0.21
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	0.73	0.23	0.00	0.02	0.08	0.212
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	0.03	0.05	0.00	0.02	0.97	0.214
PID_PRLSIGNALINGEVENTSPATHWAY	0.35	0.20	0.04	0.04	0.44	0.214
REACTOME_PYRIMIDINE_METABOLISM	0.19	0.13	0.04	0.45	0.26	0.214
BIOCARTA_ATRBRCA_PATHWAY	0.27	0.41	0.00	0.04	0.36	0.216
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.17	0.02	0.20	0.26	0.43	0.216
SIG_CHEMOTAXIS	0.07	0.06	0.05	0.00	0.90	0.216
REACTOME_METABOLISM_OF_NUCLEOTIDES	0.03	0.18	0.00	0.10	0.78	0.218
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.14	0.15	0.02	0.01	0.78	0.22
PID_BARD1PATHWAY	0.61	0.22	0.04	0.08	0.17	0.224
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.01	0.02	0.42	0.34	0.33	0.224
REACTOME_CIRCADIAN_CLOCK	0.15	0.26	0.48	0.05	0.18	0.224
BIOCARTA_CASPASE_PATHWAY	0.33	0.48	0.04	0.23	0.05	0.226
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	0.24	0.04	0.00	0.10	0.75	0.226
PID_HEDGEHOG_2PATHWAY	0.10	0.05	0.01	0.03	0.94	0.226
REACTOME_PROTEIN_FOLDING	0.69	0.21	0.09	0.12	0.02	0.226
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	0.01	0.26	0.09	0.10	0.68	0.228
PID_MYC_PATHWAY	0.12	0.72	0.08	0.16	0.07	0.23
PID_MYC_REPRESSPATHWAY	0.02	0.14	0.43	0.14	0.43	0.232
PID_HDAC_CLASSII_PATHWAY	0.37	0.15	0.30	0.04	0.31	0.234
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.09	0.09	0.00	0.04	0.96	0.236
REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK	0.01	0.06	0.12	0.16	0.84	0.238
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.57	0.18	0.15	0.25	0.04	0.238
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	0.83	0.13	0.05	0.05	0.15	0.242
REACTOME_HEMOSTASIS	0.06	0.61	0.02	0.40	0.13	0.244
ST_INTERFERON_GAMMA_PATHWAY	0.27	0.01	0.08	0.10	0.76	0.244
KEGG_PURINE_METABOLISM	0.62	0.30	0.00	0.28	0.03	0.246
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.06	0.18	0.38	0.03	0.58	0.246
REACTOME_MEMBRANE_BINDING_AND_TARGETTING_OF_GAG_PROTEINS	0.05	0.00	0.74	0.36	0.08	0.246
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.64	0.02	0.00	0.01	0.57	0.248
BIOCARTA_RANMS_PATHWAY	0.10	0.05	0.00	0.12	0.97	0.248
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	0.07	0.08	0.15	0.23	0.71	0.248
BIOCARTA_FEEDER_PATHWAY	0.08	0.38	0.09	0.52	0.17	0.248
PID_RB_1PATHWAY	0.29	0.61	0.00	0.00	0.35	0.25
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.15	0.09	0.00	0.06	0.95	0.25
PID_TAP63PATHWAY	0.30	0.00	0.36	0.00	0.61	0.254
REACTOME_IL_6_SIGNALING	0.35	0.04	0.09	0.30	0.49	0.254
BIOCARTA_MCM_PATHWAY	0.15	0.14	0.01	0.22	0.76	0.256
REACTOME_PECAM1_INTERACTIONS	0.01	0.73	0.26	0.25	0.03	0.256
PID_CIRCADIANPATHWAY	0.15	0.58	0.01	0.03	0.52	0.258
BIOCARTA_MTA3_PATHWAY	0.38	0.00	0.41	0.23	0.27	0.258
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.12	0.70	0.26	0.14	0.07	0.258
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.35	0.12	0.03	0.10	0.71	0.262
REACTOME_BASIGIN_INTERACTIONS	0.10	0.35	0.25	0.18	0.43	0.262
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	0.67	0.13	0.15	0.35	0.03	0.266
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	0.55	0.22	0.32	0.21	0.03	0.266
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	0.08	0.05	0.09	0.14	0.98	0.268
REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC	0.56	0.27	0.19	0.16	0.16	0.268
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.85	0.21	0.01	0.27	0.01	0.27
REACTOME_SOS_MEDIATED_SIGNALLING	0.58	0.10	0.01	0.06	0.60	0.27
REACTOME_MITOTIC_G2_G2_M_PHASES	0.50	0.26	0.00	0.01	0.58	0.27
REACTOME_G2_M_CHECKPOINTS	0.69	0.04	0.00	0.07	0.56	0.272
BIOCARTA_CARM_ER_PATHWAY	0.51	0.21	0.43	0.13	0.08	0.272
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	0.50	0.05	0.00	0.24	0.57	0.272
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	0.11	0.23	0.42	0.30	0.31	0.274
KEGG_TIGHT_JUNCTION	0.16	0.08	0.79	0.24	0.11	0.276
PID_AR_PATHWAY	0.09	0.24	0.64	0.26	0.16	0.278
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	0.19	0.40	0.01	0.24	0.55	0.278
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.44	0.10	0.00	0.06	0.80	0.28
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.62	0.17	0.00	0.03	0.58	0.28
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.18	0.00	0.53	0.68	0.01	0.28
KEGG_BLADDER_CANCER	0.70	0.00	0.38	0.30	0.02	0.28
BIOCARTA_HIVNEF_PATHWAY	0.19	0.20	0.08	0.10	0.85	0.284
PID_INSULIN_PATHWAY	0.29	0.06	0.76	0.13	0.19	0.286
BIOCARTA_IL2RB_PATHWAY	0.79	0.30	0.06	0.29	0.00	0.288
PID_P53REGULATIONPATHWAY	0.30	0.54	0.02	0.16	0.43	0.29
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION	0.08	0.19	0.66	0.32	0.20	0.29
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.34	0.07	0.36	0.38	0.30	0.29
REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN	0.10	0.10	0.81	0.11	0.34	0.292
KEGG_MISMATCH_REPAIR	0.35	0.23	0.00	0.09	0.80	0.294
REACTOME_PROSTANOID_LIGAND_RECEPTORS	0.61	0.05	0.26	0.52	0.04	0.296
REACTOME_CTLA4_INHIBITORY_SIGNALING	0.01	0.09	0.24	0.44	0.71	0.298
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.22	0.09	0.00	0.23	0.95	0.298
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.42	0.10	0.01	0.19	0.77	0.298
REACTOME_CELL_CYCLE_MITOTIC	0.96	0.07	0.00	0.14	0.32	0.298
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	0.57	0.35	0.02	0.25	0.32	0.302
PID_MTOR_4PATHWAY	0.47	0.11	0.48	0.02	0.43	0.302
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE	0.01	0.13	0.74	0.48	0.16	0.304
REACTOME_SIGNALING_BY_SCF_KIT	0.28	0.00	0.24	0.10	0.90	0.304
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	0.10	0.12	0.63	0.16	0.51	0.304
REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION	0.21	0.05	0.25	0.30	0.71	0.304
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	0.04	0.76	0.54	0.10	0.08	0.304
ST_INTEGRIN_SIGNALING_PATHWAY	0.14	0.10	0.61	0.66	0.01	0.304
REACTOME_G0_AND_EARLY_G1	0.38	0.10	0.00	0.16	0.89	0.306
REACTOME_KINESINS	0.35	0.25	0.00	0.04	0.89	0.306
PID_ATM_PATHWAY	0.40	0.18	0.04	0.07	0.85	0.308
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.07	0.64	0.39	0.11	0.33	0.308
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.54	0.11	0.23	0.12	0.54	0.308
REACTOME_CELL_CYCLE	1.00	0.15	0.00	0.12	0.27	0.308
PID_FAK_PATHWAY	0.12	0.18	0.81	0.18	0.25	0.308
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.48	0.06	0.34	0.25	0.42	0.31
WNT_SIGNALING	0.01	0.05	0.73	0.74	0.02	0.31
REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE	0.38	0.35	0.02	0.33	0.47	0.31
REACTOME_DNA_REPLICATION	1.00	0.07	0.00	0.07	0.42	0.312
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.49	0.10	0.00	0.03	0.94	0.312
REACTOME_G1_S_TRANSITION	0.76	0.06	0.01	0.27	0.46	0.312
KEGG_SMALL_CELL_LUNG_CANCER	0.31	0.22	0.11	0.50	0.42	0.312
ST_FAS_SIGNALING_PATHWAY	0.35	0.77	0.19	0.00	0.26	0.314
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.43	0.34	0.17	0.10	0.53	0.314
KEGG_DILATED_CARDIOMYOPATHY	0.23	0.05	0.77	0.29	0.24	0.316
REACTOME_CELL_CYCLE_CHECKPOINTS	0.78	0.12	0.00	0.12	0.57	0.318
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.85	0.05	0.00	0.22	0.47	0.318
BIOCARTA_G2_PATHWAY	0.68	0.14	0.00	0.01	0.76	0.318
PID_RHOA_REG_PATHWAY	0.36	0.13	0.17	0.76	0.18	0.32
BIOCARTA_TPO_PATHWAY	0.44	0.41	0.25	0.45	0.05	0.32
REACTOME_MITOTIC_M_M_G1_PHASES	1.00	0.07	0.00	0.11	0.42	0.32
REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS	0.23	0.01	0.22	0.76	0.38	0.32
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.27	0.01	0.28	0.54	0.50	0.32
REACTOME_INTEGRATION_OF_PROVIRUS	0.11	0.12	0.09	0.76	0.53	0.322
REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES	0.99	0.47	0.00	0.06	0.09	0.322
BIOCARTA_TNFR1_PATHWAY	0.73	0.58	0.09	0.08	0.14	0.324
BIOCARTA_PGC1A_PATHWAY	0.51	0.04	0.33	0.35	0.39	0.324
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	0.33	0.02	0.47	0.74	0.06	0.324
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.51	0.43	0.01	0.05	0.62	0.324
BIOCARTA_BARRESTIN_PATHWAY	0.08	0.35	0.50	0.21	0.49	0.326
REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE	0.42	0.75	0.30	0.09	0.07	0.326
REACTOME_RAF_MAP_KINASE_CASCADE	0.59	0.08	0.03	0.14	0.79	0.326
REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION	0.05	0.13	0.41	0.23	0.82	0.328
BIOCARTA_FAS_PATHWAY	0.27	0.62	0.08	0.20	0.47	0.328
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.07	0.19	0.76	0.61	0.02	0.33
REACTOME_HIV_LIFE_CYCLE	0.63	0.61	0.12	0.27	0.03	0.332
PID_EPHBFWDPATHWAY	0.27	0.02	0.78	0.39	0.20	0.332
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	0.35	0.20	0.22	0.83	0.06	0.332
PID_ECADHERIN_NASCENTAJ_PATHWAY	0.03	0.33	0.65	0.58	0.08	0.334
PID_E2F_PATHWAY	0.86	0.01	0.00	0.03	0.77	0.334
PID_CDC42_PATHWAY	0.73	0.74	0.01	0.14	0.05	0.334
BIOCARTA_P53_PATHWAY	0.64	0.19	0.03	0.07	0.74	0.334
PID_TELOMERASEPATHWAY	0.15	0.01	0.00	0.65	0.87	0.336
KEGG_ADHERENS_JUNCTION	0.11	0.01	0.80	0.60	0.16	0.336
SA_G1_AND_S_PHASES	0.57	0.34	0.00	0.04	0.73	0.336
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	0.67	0.12	0.09	0.19	0.62	0.338
KEGG_NITROGEN_METABOLISM	0.06	0.09	0.44	0.58	0.53	0.34
PID_IL2_STAT5PATHWAY	0.07	0.44	0.05	0.82	0.32	0.34
BIOCARTA_IL10_PATHWAY	0.46	0.10	0.34	0.39	0.41	0.34
PID_TNFPATHWAY	0.39	0.42	0.65	0.12	0.12	0.34
PID_EPOPATHWAY	0.03	0.26	0.43	0.94	0.05	0.342
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.10	0.09	0.62	0.85	0.05	0.342
BIOCARTA_IL6_PATHWAY	0.21	0.39	0.36	0.69	0.06	0.342
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.27	0.29	0.84	0.32	0.00	0.344
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	0.11	0.79	0.25	0.43	0.14	0.344
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.02	0.35	0.31	0.13	0.92	0.346
REACTOME_SIGNALING_BY_BMP	0.34	0.12	0.56	0.35	0.36	0.346
REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE	0.15	0.85	0.36	0.03	0.34	0.346
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.06	0.20	0.19	0.85	0.44	0.348
BIOCARTA_P27_PATHWAY	0.21	0.54	0.01	0.04	0.94	0.348
KEGG_LYSINE_DEGRADATION	0.51	0.22	0.19	0.28	0.55	0.35
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.26	0.18	0.12	0.30	0.89	0.35
REACTOME_SEMAPHORIN_INTERACTIONS	0.11	0.04	0.80	0.33	0.48	0.352
KEGG_RENAL_CELL_CARCINOMA	0.12	0.12	0.94	0.58	0.00	0.352
PID_SMAD2_3NUCLEARPATHWAY	0.40	0.02	0.54	0.69	0.11	0.352
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	0.58	0.52	0.18	0.07	0.42	0.354
REACTOME_HIV_INFECTION	0.41	0.46	0.37	0.51	0.02	0.354
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	0.44	0.38	0.82	0.10	0.03	0.354
REACTOME_G_ALPHA1213_SIGNALLING_EVENTS	0.00	0.28	0.14	0.57	0.78	0.354
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION	0.03	0.92	0.36	0.04	0.43	0.356
BIOCARTA_EPHA4_PATHWAY	0.01	0.21	0.86	0.14	0.56	0.356
BIOCARTA_MITOCHONDRIA_PATHWAY	0.12	0.09	0.32	0.63	0.62	0.356
KEGG_NON_HOMOLOGOUS_END_JOINING	0.64	0.23	0.04	0.61	0.27	0.358
REACTOME_PEROXISOMAL_LIPID_METABOLISM	0.14	0.04	0.33	0.66	0.62	0.358
REACTOME_PLC_BETA_MEDIATED_EVENTS	0.71	0.41	0.10	0.08	0.50	0.36
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	0.57	0.10	0.27	0.66	0.20	0.36
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.05	0.21	0.85	0.44	0.25	0.36
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	0.35	0.17	0.60	0.31	0.38	0.362
KEGG_PROSTATE_CANCER	0.08	0.00	0.32	0.50	0.91	0.362
BIOCARTA_PTC1_PATHWAY	0.38	0.67	0.00	0.06	0.70	0.362
PID_SMAD2_3PATHWAY	0.21	0.18	0.18	0.68	0.56	0.362
REACTOME_M_G1_TRANSITION	0.95	0.28	0.00	0.06	0.53	0.364
SA_CASPASE_CASCADE	0.44	0.23	0.38	0.73	0.04	0.364
KEGG_ENDOCYTOSIS	0.43	0.08	0.80	0.34	0.17	0.364
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	0.59	0.15	0.03	0.34	0.72	0.366
REACTOME_INFLAMMASOMES	0.58	0.12	0.30	0.76	0.08	0.368
PID_LYSOPHOSPHOLIPID_PATHWAY	0.80	0.12	0.55	0.15	0.22	0.368
SA_B_CELL_RECEPTOR_COMPLEXES	0.08	0.33	0.38	0.76	0.30	0.37
REACTOME_SIGNALING_BY_NOTCH1	0.17	0.54	0.76	0.33	0.06	0.372
PID_LKB1_PATHWAY	0.22	0.00	0.65	0.40	0.59	0.372
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.31	0.11	0.69	0.19	0.56	0.372
PID_BETACATENIN_NUC_PATHWAY	0.06	0.82	0.24	0.53	0.22	0.374
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.29	0.72	0.15	0.25	0.46	0.374
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES	0.18	0.56	0.55	0.08	0.50	0.374
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	0.91	0.13	0.56	0.23	0.05	0.376
PID_CDC42_REG_PATHWAY	0.02	0.51	0.09	0.33	0.93	0.376
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA	0.00	0.54	0.29	0.72	0.33	0.376
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.02	0.19	0.95	0.09	0.63	0.376
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.17	0.48	0.36	0.43	0.45	0.378
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER	0.31	0.86	0.25	0.26	0.21	0.378
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.41	0.31	0.55	0.63	0.00	0.38
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.43	0.00	0.61	0.80	0.08	0.384
KEGG_SELENOAMINO_ACID_METABOLISM	0.74	0.29	0.56	0.13	0.20	0.384
PID_HNF3APATHWAY	0.01	0.32	0.68	0.29	0.62	0.384
REACTOME_ACTIVATION_OF_RAC	0.10	0.54	0.42	0.55	0.31	0.384
REACTOME_COPI_MEDIATED_TRANSPORT	0.22	0.52	0.42	0.47	0.30	0.386
REACTOME_DEVELOPMENTAL_BIOLOGY	0.36	0.00	0.36	0.61	0.60	0.386
BIOCARTA_GLYCOLYSIS_PATHWAY	0.33	0.02	0.41	0.46	0.72	0.388
PID_HIF2PATHWAY	0.02	0.17	0.79	0.90	0.06	0.388
PID_P38ALPHABETADOWNSTREAMPATHWAY	0.22	0.38	0.67	0.17	0.51	0.39
PID_RHOA_PATHWAY	0.46	0.68	0.48	0.04	0.29	0.39
PID_IL2_PI3KPATHWAY	0.83	0.35	0.09	0.28	0.41	0.392
SA_PTEN_PATHWAY	0.25	0.20	0.63	0.85	0.03	0.392
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	0.15	0.58	0.09	0.60	0.55	0.394
REACTOME_METABOLISM_OF_NON_CODING_RNA	0.68	0.89	0.26	0.12	0.02	0.394
PID_BMPPATHWAY	0.05	0.22	0.48	0.25	0.97	0.394
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	0.13	0.30	0.33	0.73	0.48	0.394
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.76	0.65	0.00	0.18	0.39	0.396
REACTOME_MITOTIC_PROMETAPHASE	1.00	0.29	0.00	0.08	0.61	0.396
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.60	0.12	0.68	0.28	0.30	0.396
BIOCARTA_CERAMIDE_PATHWAY	0.61	0.09	0.14	0.81	0.34	0.398
BIOCARTA_STRESS_PATHWAY	0.24	0.35	0.51	0.56	0.33	0.398
REACTOME_ENOS_ACTIVATION_AND_REGULATION	0.78	0.05	0.15	0.07	0.94	0.398
REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN	0.96	0.13	0.14	0.55	0.21	0.398
PID_ERBB_NETWORK_PATHWAY	0.09	0.14	0.88	0.84	0.05	0.4
PID_FRA_PATHWAY	0.92	0.44	0.28	0.12	0.24	0.4
REACTOME_REGULATION_OF_THE_FANCONI_ANEMIA_PATHWAY	0.17	0.75	0.07	0.04	0.97	0.4
PID_RAC1_PATHWAY	0.79	0.74	0.02	0.02	0.43	0.4
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.02	0.00	0.96	0.86	0.17	0.402
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.63	0.41	0.76	0.08	0.13	0.402
BIOCARTA_PS1_PATHWAY	0.20	0.66	0.51	0.44	0.21	0.404
BIOCARTA_SODD_PATHWAY	0.67	0.21	0.76	0.31	0.07	0.404
PID_ERBB4_PATHWAY	0.07	0.05	0.78	0.79	0.34	0.406
