Gene Set	Basal	Her2	LumA	LumB	Average p-value
PID_MYC_REPRESSPATHWAY	0.56	0.00	0.60	0.23	0.3475
PID_ER_NONGENOMIC_PATHWAY	0.11	0.39	0.53	0.36	0.3475
REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN	0.26	0.03	0.54	0.57	0.35
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	0.02	0.92	0.14	0.33	0.3525
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1.00	0.31	0.01	0.11	0.3575
KEGG_SMALL_CELL_LUNG_CANCER	0.83	0.35	0.11	0.14	0.3575
REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES	0.05	0.39	0.50	0.51	0.3625
BIOCARTA_SET_PATHWAY	0.61	0.31	0.14	0.39	0.3625
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.42	0.84	0.13	0.07	0.365
REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS	0.36	0.31	0.71	0.08	0.365
REACTOME_ENOS_ACTIVATION_AND_REGULATION	0.60	0.35	0.21	0.30	0.365
REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION	0.36	0.16	0.48	0.46	0.365
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.41	0.56	0.48	0.04	0.3725
REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	0.69	0.73	0.01	0.07	0.375
PID_RET_PATHWAY	0.19	0.00	0.89	0.42	0.375
KEGG_NITROGEN_METABOLISM	0.21	0.03	0.55	0.72	0.3775
REACTOME_MUSCLE_CONTRACTION	0.78	0.05	0.53	0.16	0.38
REACTOME_METABOLISM_OF_NUCLEOTIDES	0.73	0.49	0.01	0.29	0.38
PID_CASPASE_PATHWAY	0.37	0.65	0.27	0.24	0.3825
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	0.27	0.48	0.32	0.47	0.385
REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION	0.69	0.00	0.50	0.35	0.385
BIOCARTA_TRKA_PATHWAY	0.33	0.55	0.47	0.20	0.3875
BIOCARTA_TFF_PATHWAY	0.27	0.60	0.54	0.14	0.3875
REACTOME_CIRCADIAN_CLOCK	0.01	0.34	0.59	0.61	0.3875
REACTOME_ADP_SIGNALLING_THROUGH_P2RY1	0.20	0.54	0.43	0.38	0.3875
REACTOME_M_G1_TRANSITION	0.77	0.11	0.23	0.45	0.39
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	0.86	0.26	0.09	0.35	0.39
REACTOME_G1_PHASE	0.66	0.65	0.08	0.17	0.39
REACTOME_STRIATED_MUSCLE_CONTRACTION	0.87	0.04	0.60	0.05	0.39
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	0.83	0.37	0.18	0.18	0.39
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.68	0.34	0.37	0.18	0.3925
KEGG_LYSINE_DEGRADATION	0.52	0.55	0.38	0.12	0.3925
SA_FAS_SIGNALING	0.71	0.03	0.18	0.65	0.3925
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.11	0.33	0.53	0.61	0.395
BIOCARTA_P27_PATHWAY	0.78	0.60	0.05	0.15	0.395
PID_MYC_ACTIVPATHWAY	0.79	0.50	0.15	0.15	0.3975
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.58	0.07	0.58	0.36	0.3975
PID_INTEGRIN_CS_PATHWAY	0.17	0.43	0.73	0.26	0.3975
REACTOME_G1_S_TRANSITION	0.71	0.44	0.09	0.36	0.4
BIOCARTA_G2_PATHWAY	0.86	0.66	0.01	0.07	0.4
PID_BMPPATHWAY	0.08	0.41	0.76	0.36	0.4025
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.44	0.26	0.50	0.41	0.4025
BIOCARTA_GLYCOLYSIS_PATHWAY	0.51	0.08	0.43	0.60	0.405
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	0.44	0.02	0.43	0.73	0.405
REACTOME_MEMBRANE_BINDING_AND_TARGETTING_OF_GAG_PROTEINS	0.20	0.03	0.74	0.65	0.405
BIOCARTA_CDK5_PATHWAY	0.71	0.59	0.17	0.16	0.4075
REACTOME_CELL_CYCLE_CHECKPOINTS	0.83	0.33	0.21	0.26	0.4075
PID_ERBB2ERBB3PATHWAY	0.57	0.19	0.58	0.29	0.4075
PID_E2F_PATHWAY	0.99	0.50	0.00	0.15	0.41
PID_MYC_PATHWAY	0.28	0.64	0.30	0.42	0.41
KEGG_CELL_CYCLE	0.84	0.56	0.03	0.21	0.41
REACTOME_GABA_RECEPTOR_ACTIVATION	0.01	0.35	0.77	0.52	0.4125
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.25	0.01	0.73	0.67	0.415
REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION	0.21	0.13	0.75	0.57	0.415
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.60	0.11	0.77	0.18	0.415
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	0.28	0.43	0.77	0.18	0.415
ST_GAQ_PATHWAY	0.28	0.44	0.38	0.57	0.4175
BIOCARTA_TPO_PATHWAY	0.78	0.37	0.31	0.22	0.42
REACTOME_AXON_GUIDANCE	0.81	0.22	0.31	0.34	0.42
PID_IL2_STAT5PATHWAY	0.69	0.63	0.12	0.24	0.42
REACTOME_LAGGING_STRAND_SYNTHESIS	0.51	0.93	0.10	0.15	0.4225
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.51	0.30	0.23	0.66	0.425
BIOCARTA_IGF1MTOR_PATHWAY	0.69	0.03	0.33	0.66	0.4275
PID_CMYB_PATHWAY	0.52	0.91	0.24	0.04	0.4275
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	0.24	0.63	0.30	0.55	0.43
REACTOME_EXTENSION_OF_TELOMERES	0.59	0.91	0.09	0.14	0.4325
BIOCARTA_IGF1_PATHWAY	0.78	0.25	0.37	0.33	0.4325
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.77	0.17	0.35	0.44	0.4325
REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC	0.32	0.89	0.32	0.20	0.4325
KEGG_GLUTATHIONE_METABOLISM	0.94	0.16	0.25	0.39	0.435
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.11	0.63	0.76	0.24	0.435
KEGG_ECM_RECEPTOR_INTERACTION	0.20	0.49	0.71	0.34	0.435
KEGG_DILATED_CARDIOMYOPATHY	0.20	0.53	0.83	0.19	0.4375
BIOCARTA_NEUROTRANSMITTERS_PATHWAY	0.57	0.00	0.35	0.83	0.4375
PID_HDAC_CLASSII_PATHWAY	0.87	0.22	0.41	0.25	0.4375
BIOCARTA_IL6_PATHWAY	0.56	0.48	0.33	0.38	0.4375
REACTOME_PEROXISOMAL_LIPID_METABOLISM	0.13	0.07	0.60	0.95	0.4375
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.61	0.11	0.45	0.59	0.44
BIOCARTA_ATM_PATHWAY	0.88	0.48	0.04	0.36	0.44
BIOCARTA_PGC1A_PATHWAY	0.61	0.26	0.52	0.38	0.4425
KEGG_TYROSINE_METABOLISM	0.77	0.01	0.34	0.65	0.4425
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.11	0.98	0.57	0.11	0.4425
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.43	0.42	0.80	0.12	0.4425
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.99	0.65	0.07	0.06	0.4425
BIOCARTA_CARM_ER_PATHWAY	0.72	0.35	0.49	0.22	0.445
BIOCARTA_P53_PATHWAY	0.90	0.66	0.10	0.13	0.4475
REACTOME_EGFR_DOWNREGULATION	0.26	0.59	0.70	0.25	0.45
REACTOME_SIGNALING_BY_SCF_KIT	0.83	0.15	0.50	0.32	0.45
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.20	0.00	0.73	0.88	0.4525
REACTOME_TRYPTOPHAN_CATABOLISM	0.46	0.13	0.66	0.56	0.4525
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.43	0.56	0.37	0.45	0.4525
PID_ILK_PATHWAY	0.78	0.77	0.20	0.07	0.455
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND	0.42	0.97	0.28	0.15	0.455
KEGG_MELANOMA	0.50	0.10	0.49	0.73	0.455
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.15	0.41	0.87	0.39	0.455
REACTOME_PKB_MEDIATED_EVENTS	0.36	0.38	0.75	0.33	0.455
KEGG_PYRIMIDINE_METABOLISM	0.49	0.93	0.04	0.39	0.4625
KEGG_MELANOGENESIS	0.50	0.03	0.73	0.59	0.4625
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	0.84	0.42	0.27	0.32	0.4625
SA_G1_AND_S_PHASES	0.80	0.54	0.08	0.43	0.4625
PID_FOXOPATHWAY	0.72	0.72	0.08	0.33	0.4625
PID_ATM_PATHWAY	0.94	0.46	0.17	0.29	0.465
REACTOME_PYRUVATE_METABOLISM	0.20	0.13	0.71	0.82	0.465
BIOCARTA_MITOCHONDRIA_PATHWAY	0.11	0.12	0.69	0.95	0.4675
REACTOME_METABOLISM_OF_POLYAMINES	0.60	0.12	0.67	0.50	0.4725
KEGG_PHENYLALANINE_METABOLISM	0.87	0.08	0.29	0.67	0.4775
BIOCARTA_G1_PATHWAY	0.94	0.77	0.12	0.08	0.4775
KEGG_ABC_TRANSPORTERS	0.36	0.05	0.64	0.87	0.48
BIOCARTA_CTCF_PATHWAY	0.31	0.10	0.96	0.55	0.48
REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS	0.90	0.54	0.10	0.39	0.4825
REACTOME_HEMOSTASIS	0.95	0.65	0.11	0.22	0.4825
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.82	0.99	0.03	0.09	0.4825
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	0.79	0.00	0.70	0.44	0.4825
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE	0.21	0.52	0.51	0.70	0.485
REACTOME_SIGNALING_BY_BMP	0.26	0.48	0.77	0.43	0.485
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.85	0.50	0.46	0.13	0.485
PID_RB_1PATHWAY	0.86	0.73	0.22	0.13	0.485
ST_FAS_SIGNALING_PATHWAY	0.70	0.82	0.11	0.32	0.4875
PID_FRA_PATHWAY	0.97	0.33	0.38	0.27	0.4875
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	0.57	0.35	0.67	0.36	0.4875
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	0.83	0.16	0.67	0.30	0.49
KEGG_GALACTOSE_METABOLISM	0.28	0.16	0.57	0.95	0.49
PID_BARD1PATHWAY	0.86	0.65	0.22	0.25	0.495
PID_AURORA_B_PATHWAY	0.93	0.99	0.00	0.06	0.495
REACTOME_REGULATION_OF_THE_FANCONI_ANEMIA_PATHWAY	0.49	0.72	0.14	0.63	0.495
REACTOME_SIGNALING_BY_FGFR_MUTANTS	0.98	0.01	0.64	0.36	0.4975
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	0.05	0.24	0.97	0.73	0.4975
ST_G_ALPHA_I_PATHWAY	0.61	0.44	0.57	0.37	0.4975
BIOCARTA_SARS_PATHWAY	0.06	0.51	0.51	0.91	0.4975
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	0.83	0.29	0.27	0.61	0.5
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.48	0.68	0.26	0.58	0.5
REACTOME_POL_SWITCHING	0.77	1.00	0.10	0.13	0.5
REACTOME_SHC_MEDIATED_CASCADE	0.90	0.00	0.65	0.46	0.5025
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	0.78	0.54	0.47	0.22	0.5025
PID_P38_MK2PATHWAY	0.61	0.63	0.21	0.57	0.505
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.79	0.35	0.31	0.57	0.505
REACTOME_MITOTIC_G2_G2_M_PHASES	0.96	0.95	0.09	0.02	0.505
PID_HIF1APATHWAY	0.42	0.13	0.88	0.60	0.5075
PID_LYSOPHOSPHOLIPID_PATHWAY	0.88	0.28	0.51	0.36	0.5075
REACTOME_SIGNALING_BY_FGFR3_MUTANTS	0.65	0.24	0.74	0.41	0.51
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	0.20	0.87	0.53	0.44	0.51
BIOCARTA_GLEEVEC_PATHWAY	0.84	0.51	0.37	0.33	0.5125
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE	0.80	0.01	0.63	0.61	0.5125
REACTOME_MYOGENESIS	0.84	0.14	0.88	0.19	0.5125
KEGG_ERBB_SIGNALING_PATHWAY	0.61	0.13	0.87	0.44	0.5125
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.94	0.63	0.10	0.38	0.5125
REACTOME_SEMAPHORIN_INTERACTIONS	0.43	0.03	0.93	0.66	0.5125
ST_INTEGRIN_SIGNALING_PATHWAY	0.43	0.14	0.89	0.59	0.5125
REACTOME_GAP_JUNCTION_DEGRADATION	0.60	0.40	0.41	0.65	0.515
PID_EPHBFWDPATHWAY	0.50	0.03	0.77	0.76	0.515
REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	0.85	0.42	0.27	0.53	0.5175
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	0.36	0.56	0.71	0.44	0.5175
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.48	0.03	0.89	0.68	0.52
PID_P38GAMMADELTAPATHWAY	0.81	0.72	0.30	0.25	0.52
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	0.43	0.56	0.60	0.49	0.52
REACTOME_METAL_ION_SLC_TRANSPORTERS	0.13	0.12	0.88	0.95	0.52
REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS	0.49	0.01	0.64	0.94	0.52
BIOCARTA_HSP27_PATHWAY	0.90	0.23	0.44	0.52	0.5225
REACTOME_ERK_MAPK_TARGETS	0.36	0.44	0.57	0.72	0.5225
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.93	0.99	0.02	0.16	0.525
BIOCARTA_AKAP95_PATHWAY	0.90	0.98	0.10	0.12	0.525
PID_PS1PATHWAY	0.72	0.19	0.63	0.56	0.525
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	0.90	0.48	0.23	0.49	0.525
BIOCARTA_SPRY_PATHWAY	0.43	0.81	0.62	0.24	0.525
PID_IL2_PI3KPATHWAY	0.78	0.33	0.50	0.50	0.5275
BIOCARTA_EDG1_PATHWAY	0.42	0.54	0.47	0.68	0.5275
BIOCARTA_IL2RB_PATHWAY	0.96	0.76	0.23	0.17	0.53
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	0.81	0.14	0.66	0.51	0.53
BIOCARTA_CHEMICAL_PATHWAY	0.52	0.36	0.32	0.93	0.5325
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.53	0.75	0.36	0.49	0.5325
PID_FGF_PATHWAY	0.85	0.03	0.80	0.45	0.5325
PID_IL3_PATHWAY	0.28	0.82	0.67	0.36	0.5325
PID_MTOR_4PATHWAY	0.32	0.42	0.67	0.73	0.535
REACTOME_S_PHASE	0.97	0.51	0.23	0.43	0.535
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	0.53	0.55	0.81	0.25	0.535
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	0.35	0.89	0.57	0.34	0.5375
PID_TCPTP_PATHWAY	0.94	0.42	0.52	0.27	0.5375
KEGG_ACUTE_MYELOID_LEUKEMIA	0.70	0.67	0.51	0.29	0.5425
REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX	0.85	0.35	0.36	0.61	0.5425
BIOCARTA_CXCR4_PATHWAY	0.83	0.72	0.30	0.33	0.545
REACTOME_SIGNALING_BY_NOTCH	0.50	0.06	0.72	0.90	0.545
