Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
PID_TELOMERASEPATHWAY	0.30	0.03	0.09	0.40	0.14	0.192
PID_DELTANP63PATHWAY	0.63	0.02	0.00	0.00	0.32	0.194
PID_RHOA_REG_PATHWAY	0.05	0.05	0.11	0.75	0.10	0.212
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	0.15	0.39	0.29	0.09	0.14	0.212
PID_ATR_PATHWAY	0.14	0.01	0.00	0.00	0.91	0.212
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.00	0.03	0.34	0.38	0.32	0.214
REACTOME_MEMBRANE_BINDING_AND_TARGETTING_OF_GAG_PROTEINS	0.25	0.02	0.37	0.31	0.12	0.214
PID_RB_1PATHWAY	0.40	0.36	0.13	0.00	0.21	0.22
REACTOME_METABOLISM_OF_NUCLEOTIDES	0.10	0.35	0.09	0.34	0.24	0.224
BIOCARTA_SKP2E2F_PATHWAY	0.01	0.22	0.05	0.01	0.85	0.228
REACTOME_REGULATION_OF_THE_FANCONI_ANEMIA_PATHWAY	0.30	0.68	0.08	0.02	0.06	0.228
PID_P73PATHWAY	0.71	0.39	0.00	0.02	0.03	0.23
KEGG_CELL_CYCLE	0.56	0.30	0.00	0.09	0.20	0.23
REACTOME_SIGNALING_BY_SCF_KIT	0.35	0.01	0.24	0.27	0.29	0.232
PID_HDAC_CLASSII_PATHWAY	0.33	0.12	0.53	0.08	0.10	0.232
PID_MTOR_4PATHWAY	0.28	0.15	0.68	0.01	0.05	0.234
ST_INTERFERON_GAMMA_PATHWAY	0.33	0.07	0.07	0.05	0.65	0.234
SIG_CHEMOTAXIS	0.08	0.21	0.03	0.00	0.85	0.234
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.10	0.34	0.12	0.05	0.57	0.236
BIOCARTA_ETS_PATHWAY	0.49	0.16	0.05	0.05	0.44	0.238
PID_P53REGULATIONPATHWAY	0.53	0.44	0.18	0.04	0.01	0.24
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.25	0.05	0.65	0.21	0.04	0.24
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.04	0.07	0.47	0.55	0.09	0.244
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.33	0.41	0.17	0.25	0.06	0.244
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.56	0.11	0.06	0.10	0.40	0.246
BIOCARTA_DNAFRAGMENT_PATHWAY	0.55	0.42	0.08	0.14	0.06	0.25
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	0.05	0.00	0.33	0.44	0.44	0.252
SA_FAS_SIGNALING	0.47	0.00	0.11	0.45	0.24	0.254
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.30	0.47	0.31	0.10	0.10	0.256
KEGG_P53_SIGNALING_PATHWAY	0.78	0.35	0.06	0.00	0.10	0.258
PID_CIRCADIANPATHWAY	0.03	0.44	0.11	0.01	0.71	0.26
REACTOME_KINESINS	0.37	0.44	0.00	0.05	0.44	0.26
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.27	0.34	0.10	0.37	0.23	0.262
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.22	0.05	0.02	0.05	0.98	0.264
REACTOME_IL_6_SIGNALING	0.20	0.11	0.12	0.41	0.48	0.264
BIOCARTA_EPHA4_PATHWAY	0.01	0.43	0.66	0.15	0.08	0.266
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.25	0.01	0.46	0.31	0.30	0.266
REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS	0.21	0.01	0.17	0.69	0.25	0.266
REACTOME_RAF_MAP_KINASE_CASCADE	0.67	0.18	0.08	0.26	0.16	0.27
PID_MYC_REPRESSPATHWAY	0.23	0.01	0.43	0.17	0.52	0.272
REACTOME_G1_PHASE	0.41	0.40	0.03	0.08	0.45	0.274
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	0.39	0.25	0.40	0.08	0.26	0.276
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.36	0.21	0.11	0.02	0.68	0.276
PID_ILK_PATHWAY	0.40	0.82	0.03	0.04	0.10	0.278
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	0.06	0.18	0.61	0.43	0.11	0.278
BIOCARTA_HIVNEF_PATHWAY	0.28	0.21	0.14	0.19	0.58	0.28
SA_G2_AND_M_PHASES	0.20	0.52	0.01	0.06	0.64	0.286
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.25	0.26	0.38	0.10	0.46	0.29
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	0.13	0.03	0.51	0.69	0.09	0.29
BIOCARTA_IL2RB_PATHWAY	0.81	0.10	0.10	0.15	0.30	0.292
KEGG_OOCYTE_MEIOSIS	0.36	0.03	0.04	0.03	1.00	0.292
REACTOME_INTEGRATION_OF_PROVIRUS	0.16	0.25	0.15	0.83	0.08	0.294
PID_P53DOWNSTREAMPATHWAY	0.85	0.17	0.30	0.02	0.13	0.294
PID_TAP63PATHWAY	0.44	0.05	0.49	0.00	0.50	0.296
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.63	0.30	0.13	0.19	0.23	0.296
PID_E2F_PATHWAY	0.68	0.26	0.00	0.15	0.40	0.298
REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.25	0.41	0.24	0.48	0.12	0.3
PID_AURORA_B_PATHWAY	0.65	0.77	0.00	0.01	0.07	0.3
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.34	0.19	0.00	0.05	0.94	0.304
PID_SMAD2_3PATHWAY	0.09	0.18	0.35	0.49	0.41	0.304
REACTOME_G2_M_CHECKPOINTS	0.39	0.09	0.00	0.10	0.95	0.306
REACTOME_SOS_MEDIATED_SIGNALLING	0.78	0.16	0.10	0.05	0.44	0.306
REACTOME_MITOTIC_G1_G1_S_PHASES	0.67	0.03	0.02	0.05	0.76	0.306
PID_FAK_PATHWAY	0.19	0.09	0.67	0.58	0.00	0.306
PID_SMAD2_3NUCLEARPATHWAY	0.10	0.06	0.38	0.89	0.11	0.308
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.04	0.47	0.43	0.17	0.44	0.31
REACTOME_PECAM1_INTERACTIONS	0.00	0.68	0.23	0.25	0.39	0.31
PID_ECADHERIN_STABILIZATION_PATHWAY	0.18	0.24	0.52	0.61	0.00	0.31
REACTOME_EGFR_DOWNREGULATION	0.09	0.75	0.49	0.15	0.08	0.312
PID_BARD1PATHWAY	0.33	0.24	0.31	0.19	0.50	0.314
PID_IL2_PI3KPATHWAY	0.42	0.20	0.13	0.15	0.69	0.318
REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN	0.33	0.03	0.86	0.36	0.01	0.318
REACTOME_HEMOSTASIS	0.12	0.34	0.01	0.38	0.74	0.318
PID_ERA_GENOMIC_PATHWAY	0.12	0.01	0.38	0.41	0.67	0.318
BIOCARTA_GLEEVEC_PATHWAY	0.37	0.11	0.23	0.71	0.18	0.32
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	0.48	0.56	0.15	0.15	0.26	0.32
KEGG_PATHWAYS_IN_CANCER	0.63	0.01	0.09	0.69	0.18	0.32
KEGG_PURINE_METABOLISM	0.94	0.09	0.00	0.18	0.40	0.322
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.23	0.12	0.64	0.11	0.52	0.324
BIOCARTA_P27_PATHWAY	0.25	0.30	0.20	0.02	0.85	0.324
REACTOME_SIGNALING_BY_NOTCH1	0.13	0.34	0.58	0.45	0.13	0.326
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	0.37	0.01	0.00	0.28	0.98	0.328
PID_RHOA_PATHWAY	0.15	0.76	0.40	0.17	0.16	0.328
BIOCARTA_FEEDER_PATHWAY	0.16	0.33	0.17	0.62	0.36	0.328
BIOCARTA_CTCF_PATHWAY	0.27	0.03	0.48	0.40	0.47	0.33
KEGG_PROSTATE_CANCER	0.53	0.01	0.51	0.51	0.10	0.332
ST_FAS_SIGNALING_PATHWAY	0.11	0.44	0.14	0.11	0.86	0.332
PID_CASPASE_PATHWAY	0.15	0.36	0.23	0.27	0.65	0.332
PID_HEDGEHOG_GLIPATHWAY	0.24	0.20	0.46	0.47	0.30	0.334
REACTOME_BASIGIN_INTERACTIONS	0.19	0.53	0.49	0.38	0.09	0.336
REACTOME_MITOTIC_G2_G2_M_PHASES	0.22	0.65	0.02	0.01	0.78	0.336
REACTOME_AXON_GUIDANCE	0.35	0.07	0.44	0.29	0.54	0.338
BIOCARTA_CASPASE_PATHWAY	0.40	0.34	0.08	0.15	0.72	0.338
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	0.19	0.30	0.71	0.25	0.25	0.34
PID_TNFPATHWAY	0.10	0.21	0.91	0.38	0.10	0.34
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.09	0.20	0.38	0.89	0.15	0.342
REACTOME_SIGNALING_BY_BMP	0.09	0.19	0.61	0.52	0.30	0.342
REACTOME_SEMAPHORIN_INTERACTIONS	0.04	0.15	0.80	0.65	0.07	0.342
REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION	0.00	0.34	0.53	0.44	0.41	0.344
REACTOME_SIGNALLING_BY_NGF	0.24	0.05	0.93	0.27	0.23	0.344
KEGG_SMALL_CELL_LUNG_CANCER	0.40	0.37	0.21	0.31	0.45	0.348
KEGG_BLADDER_CANCER	0.76	0.00	0.36	0.50	0.12	0.348
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	0.10	0.90	0.54	0.15	0.06	0.35
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION	0.18	0.85	0.42	0.21	0.10	0.352
REACTOME_G1_S_TRANSITION	0.58	0.06	0.08	0.07	0.98	0.354
REACTOME_BASE_EXCISION_REPAIR	0.71	0.53	0.10	0.06	0.37	0.354
PID_BMPPATHWAY	0.12	0.49	0.64	0.47	0.05	0.354
BIOCARTA_MCM_PATHWAY	0.15	0.44	0.23	0.07	0.88	0.354
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	0.76	0.11	0.23	0.10	0.57	0.354
BIOCARTA_TEL_PATHWAY	0.40	0.00	0.33	0.95	0.10	0.356
PID_ATF2_PATHWAY	0.20	0.35	0.23	0.56	0.44	0.356
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.03	0.08	0.59	0.40	0.68	0.356
BIOCARTA_HER2_PATHWAY	0.12	0.20	0.45	0.82	0.20	0.358
REACTOME_SIGNALING_BY_ROBO_RECEPTOR	0.17	0.59	0.07	0.64	0.32	0.358
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	0.73	0.21	0.52	0.01	0.32	0.358
REACTOME_G_ALPHA1213_SIGNALLING_EVENTS	0.00	0.37	0.18	0.57	0.67	0.358
REACTOME_CTLA4_INHIBITORY_SIGNALING	0.03	0.19	0.51	0.17	0.90	0.36
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	0.65	0.13	0.36	0.57	0.09	0.36
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	0.50	0.60	0.09	0.25	0.36	0.36
PID_PRLSIGNALINGEVENTSPATHWAY	0.40	0.44	0.23	0.05	0.69	0.362
BIOCARTA_PTC1_PATHWAY	0.39	0.69	0.00	0.05	0.68	0.362
BIOCARTA_G1_PATHWAY	0.54	0.02	0.04	0.27	0.94	0.362
BIOCARTA_IGF1MTOR_PATHWAY	0.58	0.17	0.42	0.44	0.21	0.364
REACTOME_PROSTANOID_LIGAND_RECEPTORS	0.63	0.03	0.37	0.74	0.06	0.366
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.42	0.80	0.22	0.10	0.30	0.368
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	0.11	0.25	0.62	0.43	0.44	0.37
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.20	0.03	0.73	0.73	0.16	0.37
BIOCARTA_TPO_PATHWAY	0.48	0.57	0.23	0.49	0.09	0.372
PID_IL2_1PATHWAY	0.87	0.33	0.18	0.27	0.22	0.374
BIOCARTA_MTA3_PATHWAY	0.49	0.03	0.34	0.16	0.85	0.374
REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE	0.38	0.85	0.40	0.10	0.14	0.374
BIOCARTA_RAC1_PATHWAY	0.50	0.43	0.66	0.10	0.19	0.376
PID_RAS_PATHWAY	0.23	0.40	0.57	0.47	0.22	0.378
PID_IL2_STAT5PATHWAY	0.09	0.49	0.06	0.50	0.75	0.378
REACTOME_MITOTIC_M_M_G1_PHASES	1.00	0.14	0.00	0.01	0.74	0.378
BIOCARTA_G2_PATHWAY	0.57	0.48	0.04	0.00	0.80	0.378
PID_PS1PATHWAY	0.57	0.07	0.48	0.63	0.15	0.38
REACTOME_ENOS_ACTIVATION_AND_REGULATION	0.85	0.19	0.26	0.16	0.44	0.38
KEGG_LYSINE_DEGRADATION	0.25	0.19	0.44	0.47	0.55	0.38
REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE	0.37	0.73	0.44	0.24	0.13	0.382
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.28	0.25	0.49	0.41	0.48	0.382
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.69	0.20	0.23	0.57	0.24	0.386
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	0.31	0.87	0.15	0.19	0.41	0.386
REACTOME_MITOTIC_PROMETAPHASE	1.00	0.53	0.01	0.04	0.36	0.388
SA_G1_AND_S_PHASES	0.45	0.47	0.04	0.07	0.92	0.39
BIOCARTA_STRESS_PATHWAY	0.32	0.41	0.53	0.44	0.26	0.392
REACTOME_CELL_CYCLE_MITOTIC	0.97	0.12	0.00	0.07	0.80	0.392
REACTOME_CELL_CYCLE_CHECKPOINTS	0.94	0.02	0.04	0.07	0.90	0.394
REACTOME_PHOSPHORYLATION_OF_THE_APC_C	0.79	0.34	0.10	0.28	0.47	0.396
PID_BETACATENIN_NUC_PATHWAY	0.36	0.25	0.71	0.61	0.05	0.396
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA	0.00	0.54	0.37	0.82	0.25	0.396
PID_HNF3APATHWAY	0.10	0.02	0.65	0.47	0.74	0.396
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	0.55	0.21	0.07	0.49	0.66	0.396
REACTOME_PURINE_CATABOLISM	0.52	0.44	0.17	0.73	0.12	0.396
PID_CDC42_REG_PATHWAY	0.00	0.63	0.26	0.19	0.91	0.398
REACTOME_TRIF_MEDIATED_TLR3_SIGNALING	0.33	0.86	0.44	0.17	0.19	0.398
KEGG_MISMATCH_REPAIR	0.48	0.34	0.10	0.16	0.94	0.404
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE	0.04	0.26	0.57	0.61	0.55	0.406
REACTOME_PHOSPHOLIPID_METABOLISM	0.23	0.28	0.51	0.71	0.30	0.406
PID_HIF1APATHWAY	0.35	0.38	0.71	0.50	0.10	0.408
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.65	0.61	0.12	0.10	0.56	0.408
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.22	0.54	0.53	0.65	0.11	0.41
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	0.71	0.06	0.26	0.23	0.79	0.41
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.72	0.45	0.02	0.03	0.84	0.412
REACTOME_DNA_REPAIR	0.84	0.57	0.04	0.25	0.37	0.414
REACTOME_SULFUR_AMINO_ACID_METABOLISM	0.39	0.23	0.40	0.20	0.86	0.416
REACTOME_ACTIVATED_TLR4_SIGNALLING	0.11	0.77	0.64	0.25	0.31	0.416
PID_LKB1_PATHWAY	0.39	0.01	0.82	0.50	0.37	0.418
REACTOME_CELL_CYCLE	1.00	0.55	0.00	0.09	0.45	0.418
REACTOME_CIRCADIAN_CLOCK	0.01	0.35	0.55	0.66	0.52	0.418
BIOCARTA_IL6_PATHWAY	0.19	0.54	0.33	0.55	0.48	0.418
BIOCARTA_KERATINOCYTE_PATHWAY	0.42	0.18	0.57	0.50	0.43	0.42
KEGG_RENAL_CELL_CARCINOMA	0.42	0.12	0.94	0.61	0.01	0.42
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	0.27	0.06	0.71	0.98	0.09	0.422
KEGG_NON_HOMOLOGOUS_END_JOINING	0.62	0.49	0.20	0.33	0.47	0.422
BIOCARTA_EIF4_PATHWAY	0.33	0.47	0.74	0.42	0.15	0.422
BIOCARTA_BARRESTIN_PATHWAY	0.05	0.64	0.49	0.41	0.53	0.424
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.70	0.18	0.02	0.24	0.98	0.424
REACTOME_DNA_REPLICATION	1.00	0.27	0.02	0.02	0.82	0.426
PID_AP1_PATHWAY	0.26	0.34	0.72	0.78	0.03	0.426
REACTOME_COPI_MEDIATED_TRANSPORT	0.25	0.61	0.45	0.76	0.06	0.426
REACTOME_SIGNALING_BY_ERBB4	0.87	0.03	0.50	0.39	0.35	0.428
BIOCARTA_IL10_PATHWAY	0.24	0.42	0.43	0.52	0.55	0.432
PID_P75NTRPATHWAY	0.23	0.63	0.38	0.53	0.40	0.434
BIOCARTA_GLYCOLYSIS_PATHWAY	0.42	0.22	0.41	0.60	0.52	0.434
PID_RAC1_PATHWAY	0.69	0.88	0.08	0.26	0.26	0.434
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	0.31	0.15	0.84	0.76	0.12	0.436
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.42	0.30	0.90	0.53	0.03	0.436
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.58	0.47	0.14	0.08	0.91	0.436
PID_NFAT_3PATHWAY	0.28	0.46	0.42	0.50	0.52	0.436
PID_AR_PATHWAY	0.46	0.30	0.83	0.52	0.08	0.438
REACTOME_CTNNB1_PHOSPHORYLATION_CASCADE	0.17	0.20	0.43	0.71	0.68	0.438
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	0.09	0.31	0.43	0.79	0.57	0.438
BIOCARTA_HSP27_PATHWAY	0.82	0.07	0.33	0.66	0.32	0.44
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.24	0.34	0.85	0.55	0.23	0.442
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	0.07	0.79	0.40	0.20	0.75	0.442
BIOCARTA_ARF_PATHWAY	0.88	0.44	0.29	0.17	0.44	0.444
REACTOME_APOPTOSIS	0.83	0.07	0.57	0.46	0.30	0.446
PID_CERAMIDE_PATHWAY	0.51	0.19	0.65	0.63	0.25	0.446
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.11	0.03	0.90	0.52	0.67	0.446
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.50	0.10	0.46	0.55	0.62	0.446
REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION	0.50	0.11	0.43	0.83	0.37	0.448
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.70	0.18	0.20	0.30	0.87	0.45
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.15	0.15	0.61	0.35	0.99	0.45
KEGG_SPHINGOLIPID_METABOLISM	0.36	0.20	0.58	0.99	0.12	0.45
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	0.52	0.01	0.98	0.28	0.46	0.45
PID_ERBB1_DOWNSTREAM_PATHWAY	0.47	0.83	0.49	0.43	0.03	0.45
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.47	0.83	0.48	0.29	0.18	0.45
REACTOME_TOLL_RECEPTOR_CASCADES	0.32	0.77	0.45	0.34	0.37	0.45
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	0.87	0.55	0.00	0.20	0.63	0.45
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.82	0.38	0.39	0.29	0.37	0.45
BIOCARTA_TNFR2_PATHWAY	0.67	0.53	0.74	0.30	0.02	0.452
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.67	0.65	0.09	0.27	0.58	0.452
BIOCARTA_RAS_PATHWAY	0.85	0.19	0.64	0.35	0.23	0.452
PID_CDC42_PATHWAY	0.68	0.74	0.07	0.27	0.51	0.454
PID_ANGIOPOIETINRECEPTOR_PATHWAY	0.52	0.01	0.80	0.93	0.01	0.454
PID_TOLL_ENDOGENOUS_PATHWAY	0.33	0.53	0.41	0.81	0.20	0.456
KEGG_COLORECTAL_CANCER	0.56	0.26	0.35	0.43	0.68	0.456
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	0.23	0.34	0.93	0.56	0.23	0.458
REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA	0.04	0.34	0.64	0.84	0.44	0.46
BIOCARTA_PGC1A_PATHWAY	0.57	0.03	0.36	0.48	0.86	0.46
KEGG_DILATED_CARDIOMYOPATHY	0.08	0.02	0.92	0.48	0.81	0.462
REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS	0.85	0.47	0.19	0.57	0.23	0.462
WNT_SIGNALING	0.02	0.06	0.92	0.69	0.62	0.462
REACTOME_M_G1_TRANSITION	0.96	0.18	0.18	0.04	0.96	0.464
PID_NOTCH_PATHWAY	0.28	0.42	0.85	0.67	0.10	0.464
BIOCARTA_ECM_PATHWAY	0.80	0.72	0.61	0.18	0.02	0.466
REACTOME_HIV_LIFE_CYCLE	0.65	0.79	0.32	0.30	0.27	0.466
REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS	0.94	0.26	0.47	0.66	0.00	0.466
PID_RAC1_REG_PATHWAY	0.24	0.53	0.11	0.54	0.91	0.466
BIOCARTA_PTDINS_PATHWAY	0.50	0.12	0.33	0.55	0.83	0.466
REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC	0.70	0.56	0.47	0.35	0.25	0.466
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	0.56	0.99	0.08	0.08	0.63	0.468
