Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
REACTOME_G1_PHASE	0.08	1.00	0.50	0.02	0.03	0.326
KEGG_FOLATE_BIOSYNTHESIS	0.23	0.52	0.00	0.36	0.53	0.328
REACTOME_G_PROTEIN_ACTIVATION	0.50	0.44	0.38	0.32	0.00	0.328
REACTOME_AXON_GUIDANCE	0.56	0.08	0.02	0.08	0.90	0.328
REACTOME_DEADENYLATION_OF_MRNA	0.41	0.30	0.18	0.33	0.43	0.33
BIOCARTA_PYK2_PATHWAY	0.26	0.68	0.10	0.09	0.52	0.33
PID_VEGFR1_PATHWAY	0.26	0.78	0.00	0.00	0.62	0.332
BIOCARTA_BIOPEPTIDES_PATHWAY	0.29	0.17	0.33	0.10	0.77	0.332
BIOCARTA_EPHA4_PATHWAY	0.50	0.53	0.35	0.20	0.08	0.332
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.34	0.01	0.10	0.33	0.89	0.334
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	0.57	0.57	0.10	0.00	0.43	0.334
PID_IGF1_PATHWAY	0.21	0.46	0.07	0.08	0.86	0.336
REACTOME_METABOLISM_OF_MRNA	0.41	0.06	0.32	0.40	0.50	0.338
BIOCARTA_CARM_ER_PATHWAY	0.16	0.11	0.42	0.04	0.96	0.338
KEGG_LYSOSOME	0.27	0.35	0.28	0.16	0.64	0.34
BIOCARTA_SET_PATHWAY	0.48	0.40	0.30	0.52	0.00	0.34
REACTOME_SEMAPHORIN_INTERACTIONS	0.85	0.03	0.06	0.21	0.56	0.342
BIOCARTA_LEPTIN_PATHWAY	0.31	0.25	0.57	0.22	0.37	0.344
ST_B_CELL_ANTIGEN_RECEPTOR	0.55	0.51	0.46	0.10	0.10	0.344
ST_G_ALPHA_S_PATHWAY	0.01	0.23	0.15	0.68	0.65	0.344
PID_E2F_PATHWAY	0.00	0.05	0.17	0.70	0.81	0.346
REACTOME_METABOLISM_OF_NUCLEOTIDES	0.52	0.07	0.37	0.70	0.07	0.346
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	0.03	0.67	0.18	0.31	0.55	0.348
REACTOME_MICRORNA_MIRNA_BIOGENESIS	0.33	0.66	0.29	0.13	0.33	0.348
REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.01	0.45	0.10	0.45	0.74	0.35
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	0.34	0.64	0.25	0.05	0.47	0.35
REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS	0.46	0.48	0.07	0.36	0.38	0.35
BIOCARTA_IL2RB_PATHWAY	0.78	0.03	0.16	0.18	0.60	0.35
REACTOME_METAL_ION_SLC_TRANSPORTERS	0.26	0.93	0.27	0.01	0.29	0.352
PID_P73PATHWAY	0.37	0.10	0.84	0.25	0.21	0.354
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.06	0.66	0.01	0.48	0.56	0.354
PID_ATF2_PATHWAY	0.77	0.05	0.51	0.15	0.29	0.354
REACTOME_TIE2_SIGNALING	0.75	0.02	0.47	0.36	0.17	0.354
KEGG_APOPTOSIS	0.33	0.41	0.45	0.31	0.28	0.356
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.50	0.16	0.34	0.27	0.51	0.356
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	0.04	0.33	0.30	0.58	0.54	0.358
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR	0.65	0.72	0.18	0.00	0.24	0.358
PID_KITPATHWAY	0.55	0.30	0.10	0.20	0.64	0.358
REACTOME_INFLUENZA_LIFE_CYCLE	0.00	0.08	0.45	0.51	0.76	0.36
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.42	0.05	0.17	0.26	0.90	0.36
REACTOME_METABOLISM_OF_RNA	0.52	0.14	0.10	0.52	0.52	0.36
PID_IL2_1PATHWAY	0.76	0.02	0.13	0.17	0.73	0.362
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	0.45	0.58	0.45	0.01	0.32	0.362
BIOCARTA_ETS_PATHWAY	0.71	0.23	0.36	0.41	0.10	0.362
PID_P38ALPHABETADOWNSTREAMPATHWAY	0.15	0.93	0.35	0.10	0.28	0.362
REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION	0.50	0.10	0.50	0.37	0.35	0.364
REACTOME_SIGNALING_BY_FGFR	0.44	0.85	0.09	0.00	0.44	0.364
BIOCARTA_HIVNEF_PATHWAY	0.86	0.05	0.36	0.40	0.15	0.364
PID_HDAC_CLASSI_PATHWAY	0.42	0.35	0.11	0.20	0.75	0.366
REACTOME_G0_AND_EARLY_G1	0.26	0.11	0.32	0.48	0.66	0.366
PID_IL8CXCR1_PATHWAY	0.94	0.44	0.25	0.04	0.16	0.366
REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	0.33	0.10	0.50	0.69	0.22	0.368
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.82	0.46	0.38	0.18	0.00	0.368
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	0.54	0.35	0.57	0.38	0.00	0.368
PID_HES_HEYPATHWAY	0.89	0.17	0.09	0.62	0.08	0.37
KEGG_HUNTINGTONS_DISEASE	0.03	0.32	0.47	0.35	0.68	0.37
KEGG_BETA_ALANINE_METABOLISM	0.19	0.30	0.25	0.92	0.20	0.372
PID_AR_NONGENOMIC_PATHWAY	0.28	0.25	0.27	0.12	0.94	0.372
PID_IL8CXCR2_PATHWAY	0.81	0.24	0.30	0.10	0.42	0.374
REACTOME_PEPTIDE_CHAIN_ELONGATION	0.19	0.05	0.49	0.74	0.40	0.374
BIOCARTA_P27_PATHWAY	0.19	0.39	0.64	0.17	0.48	0.374
REACTOME_MRNA_3_END_PROCESSING	0.54	0.71	0.32	0.04	0.27	0.376
BIOCARTA_EDG1_PATHWAY	0.50	0.14	0.57	0.13	0.54	0.376
REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	0.13	0.60	0.20	0.52	0.43	0.376
REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE	0.15	0.03	0.72	0.51	0.47	0.376
PID_RHOA_PATHWAY	0.36	0.73	0.29	0.19	0.31	0.376
BIOCARTA_INFLAM_PATHWAY	0.59	0.04	0.54	0.33	0.38	0.376
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.32	0.86	0.14	0.01	0.55	0.376
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	0.31	0.70	0.56	0.05	0.27	0.378
BIOCARTA_P53HYPOXIA_PATHWAY	0.38	0.16	0.25	0.17	0.93	0.378
REACTOME_INNATE_IMMUNE_SYSTEM	0.75	0.80	0.16	0.01	0.17	0.378
REACTOME_GAB1_SIGNALOSOME	0.59	0.45	0.73	0.10	0.02	0.378
BIOCARTA_TH1TH2_PATHWAY	0.47	0.76	0.16	0.01	0.49	0.378
REACTOME_DEVELOPMENTAL_BIOLOGY	0.53	0.04	0.04	0.28	1.00	0.378
PID_ECADHERIN_NASCENTAJ_PATHWAY	0.24	0.45	0.86	0.06	0.30	0.382
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12	0.75	0.47	0.36	0.33	0.00	0.382
REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS	0.90	0.22	0.79	0.00	0.00	0.382
BIOCARTA_RACCYCD_PATHWAY	0.17	0.25	0.52	0.16	0.81	0.382
PID_RAC1_PATHWAY	0.13	0.44	0.53	0.06	0.75	0.382
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	0.64	0.23	0.96	0.06	0.03	0.384
KEGG_SELENOAMINO_ACID_METABOLISM	0.26	0.14	0.07	0.84	0.61	0.384
BIOCARTA_CREB_PATHWAY	0.45	0.25	0.29	0.29	0.64	0.384
ST_INTEGRIN_SIGNALING_PATHWAY	0.09	0.00	0.30	0.92	0.61	0.384
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.08	0.24	0.26	0.72	0.64	0.388
REACTOME_PI3K_AKT_ACTIVATION	0.61	0.67	0.54	0.10	0.02	0.388
KEGG_GLIOMA	0.11	0.92	0.50	0.00	0.41	0.388
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.01	0.23	0.10	0.71	0.89	0.388
KEGG_PARKINSONS_DISEASE	0.27	0.28	0.27	0.91	0.22	0.39
ST_INTERFERON_GAMMA_PATHWAY	0.51	0.67	0.55	0.10	0.12	0.39
REACTOME_PI_3K_CASCADE	0.57	0.55	0.71	0.08	0.04	0.39
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.70	0.00	0.57	0.34	0.35	0.392
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	0.57	0.12	0.27	0.07	0.94	0.394
KEGG_ALZHEIMERS_DISEASE	0.45	0.30	0.43	0.52	0.27	0.394
REACTOME_GAP_JUNCTION_DEGRADATION	0.45	0.43	0.36	0.16	0.58	0.396
KEGG_RIBOSOME	0.38	0.10	0.61	0.67	0.22	0.396
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.38	0.34	0.86	0.13	0.28	0.398
BIOCARTA_CK1_PATHWAY	0.83	0.00	0.34	0.06	0.76	0.398
PID_IFNGPATHWAY	0.48	0.03	0.83	0.06	0.60	0.4
KEGG_P53_SIGNALING_PATHWAY	0.35	0.36	0.58	0.17	0.54	0.4
PID_SMAD2_3NUCLEARPATHWAY	0.28	0.44	0.37	0.08	0.84	0.402
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.34	0.69	0.30	0.54	0.15	0.404
KEGG_ADHERENS_JUNCTION	0.40	0.02	0.11	0.82	0.67	0.404
KEGG_PYRUVATE_METABOLISM	0.18	0.56	0.46	0.10	0.73	0.406
REACTOME_IMMUNE_SYSTEM	0.93	0.27	0.21	0.01	0.61	0.406
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.40	0.29	0.55	0.54	0.26	0.408
BIOCARTA_NOS1_PATHWAY	0.54	0.66	0.29	0.29	0.27	0.41
BIOCARTA_DC_PATHWAY	0.40	0.76	0.25	0.06	0.58	0.41
BIOCARTA_P35ALZHEIMERS_PATHWAY	0.39	0.05	0.06	0.69	0.86	0.41
PID_PS1PATHWAY	0.52	0.40	0.44	0.04	0.65	0.41
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	0.84	0.19	0.21	0.44	0.37	0.41
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.03	0.85	0.10	0.43	0.65	0.412
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.41	0.25	0.26	0.49	0.65	0.412
PID_HNF3BPATHWAY	0.00	0.07	0.41	0.69	0.89	0.412
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	0.40	0.50	0.65	0.04	0.47	0.412
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	0.36	0.08	0.46	0.33	0.83	0.412
REACTOME_NEURONAL_SYSTEM	0.79	0.48	0.38	0.08	0.33	0.412
BIOCARTA_PGC1A_PATHWAY	0.58	0.09	0.23	0.63	0.54	0.414
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.51	0.00	0.13	0.76	0.68	0.416
PID_ATM_PATHWAY	0.59	0.06	0.21	0.32	0.91	0.418
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.44	0.41	0.47	0.03	0.74	0.418
PID_LKB1_PATHWAY	0.88	0.73	0.01	0.19	0.28	0.418
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	0.45	0.48	0.57	0.08	0.51	0.418
PID_P53REGULATIONPATHWAY	0.60	0.35	0.30	0.09	0.76	0.42
BIOCARTA_INTEGRIN_PATHWAY	0.81	0.68	0.08	0.04	0.49	0.42
BIOCARTA_CXCR4_PATHWAY	0.48	0.31	0.18	0.50	0.63	0.42
REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE	0.48	0.21	0.25	0.18	0.98	0.42
BIOCARTA_ATRBRCA_PATHWAY	0.60	0.23	0.25	0.15	0.89	0.424
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.82	0.18	0.91	0.03	0.18	0.424
REACTOME_ERK_MAPK_TARGETS	0.55	0.14	0.18	0.34	0.91	0.424
BIOCARTA_SKP2E2F_PATHWAY	0.04	0.68	0.28	0.14	0.98	0.424
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	0.75	0.23	0.18	0.65	0.31	0.424
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.34	0.50	0.71	0.18	0.39	0.424
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.27	1.00	0.60	0.22	0.04	0.426
PID_AR_TF_PATHWAY	0.13	0.69	0.15	0.20	0.96	0.426
REACTOME_ZINC_TRANSPORTERS	0.45	0.94	0.61	0.13	0.00	0.426
PID_FANCONI_PATHWAY	0.45	0.62	0.06	0.02	0.98	0.426
BIOCARTA_GSK3_PATHWAY	0.21	0.69	0.26	0.08	0.89	0.426
PID_ATR_PATHWAY	0.09	0.84	0.19	0.04	0.98	0.428
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.09	0.33	0.33	0.63	0.77	0.43
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	0.84	0.46	0.46	0.39	0.00	0.43
BIOCARTA_IL22BP_PATHWAY	0.59	0.18	0.78	0.11	0.49	0.43
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.86	0.35	0.14	0.49	0.32	0.432
PID_NETRIN_PATHWAY	0.34	0.24	0.40	0.56	0.63	0.434
REACTOME_SCFSKP2_MEDIATED_DEGRADATION_OF_P27_P21	0.28	0.03	0.59	0.76	0.51	0.434
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.41	0.50	0.99	0.17	0.10	0.434
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	0.32	0.17	0.32	0.65	0.71	0.434
REACTOME_UNFOLDED_PROTEIN_RESPONSE	0.26	0.39	0.56	0.50	0.47	0.436
REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION	0.21	0.06	0.29	0.64	0.98	0.436
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	0.23	1.00	0.31	0.05	0.59	0.436
KEGG_NITROGEN_METABOLISM	0.23	0.84	0.36	0.09	0.66	0.436
PID_FOXOPATHWAY	0.34	0.07	0.11	0.68	0.98	0.436
ST_STAT3_PATHWAY	0.69	0.05	0.80	0.57	0.07	0.436
KEGG_INSULIN_SIGNALING_PATHWAY	0.29	0.78	0.28	0.05	0.79	0.438
PID_P53DOWNSTREAMPATHWAY	0.81	0.41	0.38	0.23	0.36	0.438
PID_MTOR_4PATHWAY	0.20	0.20	0.63	0.51	0.65	0.438
BIOCARTA_UCALPAIN_PATHWAY	0.75	0.25	0.35	0.12	0.72	0.438
BIOCARTA_RANMS_PATHWAY	0.93	0.03	0.51	0.21	0.51	0.438
PID_TRKRPATHWAY	0.86	0.22	0.69	0.08	0.34	0.438
PID_MET_PATHWAY	0.38	0.52	0.30	0.21	0.79	0.44
BIOCARTA_BAD_PATHWAY	0.69	0.39	0.47	0.11	0.54	0.44
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	0.82	0.40	0.15	0.12	0.71	0.44
REACTOME_S_PHASE	0.13	0.08	0.69	0.35	0.96	0.442
PID_ALPHASYNUCLEIN_PATHWAY	0.89	0.17	0.64	0.46	0.05	0.442
PID_REG_GR_PATHWAY	0.86	0.28	0.20	0.37	0.50	0.442
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS	0.62	0.78	0.77	0.04	0.00	0.442
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.13	0.94	0.34	0.21	0.60	0.444
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.60	0.58	0.08	0.09	0.87	0.444
BIOCARTA_CBL_PATHWAY	0.59	0.64	0.81	0.11	0.07	0.444
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	0.61	0.14	0.87	0.48	0.12	0.444
BIOCARTA_BARR_MAPK_PATHWAY	0.85	0.08	0.76	0.03	0.51	0.446
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.50	0.61	0.27	0.17	0.68	0.446
REACTOME_BASE_EXCISION_REPAIR	0.05	0.63	0.38	0.63	0.54	0.446
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM	0.40	0.08	0.57	0.65	0.53	0.446
KEGG_MELANOMA	0.09	0.80	0.79	0.02	0.53	0.446
REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX	0.20	0.23	0.15	0.65	1.00	0.446
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.22	0.51	0.45	0.62	0.44	0.448
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.69	0.08	0.83	0.62	0.02	0.448
REACTOME_METABOLISM_OF_PORPHYRINS	0.96	0.23	0.12	0.93	0.01	0.45
