Gene Set	Basal	Her2	LumA	LumB	Average p-value
REACTOME_GAP_JUNCTION_ASSEMBLY	0.04	0.65	0.05	0.23	0.2425
BIOCARTA_NEUROTRANSMITTERS_PATHWAY	0.39	0.09	0.45	0.05	0.245
PID_INTEGRIN3_PATHWAY	0.22	0.35	0.06	0.35	0.245
REACTOME_STRIATED_MUSCLE_CONTRACTION	0.35	0.11	0.27	0.25	0.245
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.38	0.05	0.02	0.55	0.25
KEGG_TASTE_TRANSDUCTION	0.23	0.24	0.22	0.31	0.25
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.05	0.12	0.49	0.35	0.2525
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.03	0.09	0.26	0.63	0.2525
REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS	0.46	0.14	0.37	0.05	0.255
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.16	0.24	0.50	0.12	0.255
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	0.29	0.15	0.32	0.27	0.2575
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.29	0.37	0.15	0.22	0.2575
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	0.20	0.13	0.18	0.52	0.2575
REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D	0.15	0.42	0.27	0.19	0.2575
KEGG_BLADDER_CANCER	0.56	0.00	0.46	0.03	0.2625
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	0.70	0.06	0.07	0.24	0.2675
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.06	0.38	0.09	0.56	0.2725
PID_TRAIL_PATHWAY	0.59	0.12	0.05	0.34	0.275
PID_SYNDECAN_1_PATHWAY	0.01	0.21	0.00	0.89	0.2775
REACTOME_TRYPTOPHAN_CATABOLISM	0.38	0.12	0.05	0.56	0.2775
BIOCARTA_EXTRINSIC_PATHWAY	0.15	0.25	0.32	0.39	0.2775
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.45	0.24	0.43	0.02	0.285
PID_INTEGRIN1_PATHWAY	0.01	0.79	0.22	0.12	0.285
KEGG_GLUTATHIONE_METABOLISM	0.79	0.27	0.03	0.06	0.2875
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	0.20	0.23	0.43	0.30	0.29
REACTOME_BIOLOGICAL_OXIDATIONS	0.21	0.23	0.17	0.56	0.2925
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.23	0.16	0.22	0.56	0.2925
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.05	0.40	0.17	0.60	0.305
KEGG_DILATED_CARDIOMYOPATHY	0.39	0.50	0.19	0.15	0.3075
REACTOME_MUSCLE_CONTRACTION	0.53	0.22	0.46	0.02	0.3075
REACTOME_AMINE_DERIVED_HORMONES	0.57	0.29	0.12	0.27	0.3125
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.16	0.50	0.37	0.23	0.315
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.14	0.22	0.26	0.64	0.315
REACTOME_ETHANOL_OXIDATION	0.13	0.33	0.07	0.74	0.3175
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	0.20	0.38	0.31	0.40	0.3225
BIOCARTA_AMI_PATHWAY	0.16	0.05	0.42	0.66	0.3225
PID_HNF3BPATHWAY	0.15	0.13	0.26	0.76	0.325
PID_P53DOWNSTREAMPATHWAY	0.05	0.74	0.22	0.31	0.33
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	0.33	0.42	0.43	0.14	0.33
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS	0.26	0.52	0.04	0.51	0.3325
REACTOME_GABA_RECEPTOR_ACTIVATION	0.49	0.35	0.29	0.20	0.3325
BIOCARTA_LAIR_PATHWAY	0.10	0.39	0.80	0.08	0.3425
KEGG_TYROSINE_METABOLISM	0.41	0.05	0.71	0.21	0.345
REACTOME_LIPOPROTEIN_METABOLISM	0.01	0.89	0.39	0.09	0.345
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.24	0.31	0.79	0.05	0.3475
BIOCARTA_FIBRINOLYSIS_PATHWAY	0.23	0.08	0.40	0.68	0.3475
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.29	0.55	0.26	0.29	0.3475
REACTOME_IRON_UPTAKE_AND_TRANSPORT	0.32	0.70	0.03	0.35	0.35
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.64	0.22	0.14	0.40	0.35
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	0.65	0.13	0.38	0.26	0.355
BIOCARTA_CLASSIC_PATHWAY	0.15	0.42	0.64	0.22	0.3575
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.04	0.50	0.37	0.52	0.3575
KEGG_FOCAL_ADHESION	0.14	0.05	1.00	0.25	0.36
REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT	0.02	0.76	0.37	0.29	0.36
REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS	0.60	0.39	0.20	0.27	0.365
REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS	0.72	0.42	0.06	0.27	0.3675
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	0.49	0.11	0.52	0.36	0.37
PID_INTEGRIN5_PATHWAY	0.33	0.42	0.49	0.24	0.37
PID_ANTHRAXPATHWAY	0.41	0.22	0.16	0.70	0.3725
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.09	0.70	0.01	0.70	0.375
REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	0.06	0.51	0.40	0.54	0.3775
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	0.45	0.52	0.54	0.01	0.38
BIOCARTA_IL5_PATHWAY	0.27	0.55	0.32	0.38	0.38
REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	0.46	0.11	0.53	0.43	0.3825
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	0.54	0.17	0.60	0.22	0.3825
PID_AVB3_INTEGRIN_PATHWAY	0.47	0.43	0.24	0.40	0.385
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.36	0.42	0.54	0.22	0.385
REACTOME_COMPLEMENT_CASCADE	0.16	0.39	0.56	0.44	0.3875
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.08	0.15	0.35	0.97	0.3875
REACTOME_SIGNALING_BY_NODAL	0.78	0.27	0.32	0.19	0.39
REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS	0.40	0.31	0.40	0.45	0.39
KEGG_HISTIDINE_METABOLISM	0.56	0.52	0.11	0.37	0.39
PID_AMB2_NEUTROPHILS_PATHWAY	0.26	0.70	0.36	0.25	0.3925
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.38	0.00	0.90	0.29	0.3925
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	0.25	0.52	0.56	0.25	0.395
REACTOME_GPCR_DOWNSTREAM_SIGNALING	0.01	0.13	0.53	0.91	0.395
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.24	0.63	0.45	0.26	0.395
REACTOME_PROSTANOID_LIGAND_RECEPTORS	0.20	0.24	0.35	0.79	0.395
PID_CD8TCRPATHWAY	0.40	0.11	0.93	0.15	0.3975
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.49	0.03	0.29	0.78	0.3975
REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	0.63	0.30	0.40	0.26	0.3975
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	0.38	0.43	0.30	0.49	0.4
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	0.16	0.93	0.46	0.05	0.4
PID_UPA_UPAR_PATHWAY	0.15	0.24	0.56	0.66	0.4025
REACTOME_PHASE_II_CONJUGATION	0.36	0.30	0.37	0.58	0.4025
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	0.27	0.34	0.37	0.63	0.4025
REACTOME_DEFENSINS	0.02	0.78	0.56	0.26	0.405
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS	0.57	0.36	0.16	0.54	0.4075
PID_SYNDECAN_4_PATHWAY	0.31	0.56	0.42	0.35	0.41
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.40	0.38	0.11	0.75	0.41
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN	0.27	0.82	0.32	0.24	0.4125
REACTOME_COMMON_PATHWAY	0.22	0.36	0.32	0.75	0.4125
REACTOME_NCAM1_INTERACTIONS	0.79	0.02	0.11	0.73	0.4125
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE	0.28	0.68	0.40	0.30	0.415
PID_IL5_PATHWAY	0.44	0.18	0.77	0.27	0.415
REACTOME_COLLAGEN_FORMATION	0.19	0.84	0.01	0.63	0.4175
REACTOME_CS_DS_DEGRADATION	0.26	0.82	0.43	0.16	0.4175
REACTOME_POTASSIUM_CHANNELS	0.39	0.52	0.09	0.67	0.4175
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	0.21	0.82	0.25	0.40	0.42
PID_IL4_2PATHWAY	0.00	0.38	0.87	0.45	0.425
REACTOME_LATENT_INFECTION_OF_HOMO_SAPIENS_WITH_MYCOBACTERIUM_TUBERCULOSIS	0.83	0.25	0.32	0.30	0.425
REACTOME_SIGNALING_BY_GPCR	0.05	0.15	0.79	0.72	0.4275
REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL	0.68	0.78	0.16	0.09	0.4275
REACTOME_BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS	0.45	0.23	0.25	0.78	0.4275
REACTOME_AXON_GUIDANCE	0.28	0.00	0.48	0.96	0.43
KEGG_PATHWAYS_IN_CANCER	0.19	0.28	1.00	0.25	0.43
BIOCARTA_INTRINSIC_PATHWAY	0.22	0.29	0.69	0.52	0.43
BIOCARTA_IL12_PATHWAY	0.46	0.62	0.54	0.11	0.4325
PID_PI3KPLCTRKPATHWAY	0.74	0.22	0.75	0.02	0.4325
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.33	0.18	1.00	0.22	0.4325
PID_IL12_STAT4PATHWAY	0.31	0.42	0.43	0.58	0.435
REACTOME_INTERFERON_GAMMA_SIGNALING	0.14	0.69	0.68	0.23	0.435
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY	0.64	0.25	0.54	0.31	0.435
REACTOME_PECAM1_INTERACTIONS	0.69	0.38	0.68	0.01	0.44
REACTOME_GPCR_LIGAND_BINDING	0.04	0.07	0.78	0.87	0.44
BIOCARTA_TH1TH2_PATHWAY	0.32	0.25	0.64	0.56	0.4425
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.28	0.27	0.68	0.55	0.445
PID_HIF1_TFPATHWAY	0.08	0.13	0.84	0.73	0.445
REACTOME_UNBLOCKING_OF_NMDA_RECEPTOR_GLUTAMATE_BINDING_AND_ACTIVATION	0.42	0.62	0.71	0.03	0.445
BIOCARTA_PLATELETAPP_PATHWAY	0.47	0.18	0.67	0.47	0.4475
REACTOME_P2Y_RECEPTORS	0.50	0.16	0.68	0.45	0.4475
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.99	0.00	0.80	0.00	0.4475
BIOCARTA_DC_PATHWAY	0.10	0.79	0.52	0.40	0.4525
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	0.09	0.93	0.22	0.58	0.455
REACTOME_INTRINSIC_PATHWAY	0.49	0.65	0.45	0.23	0.455
BIOCARTA_ASBCELL_PATHWAY	0.54	0.33	0.13	0.83	0.4575
PID_IL27PATHWAY	0.39	0.25	0.39	0.81	0.46
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.45	0.41	0.72	0.27	0.4625
BIOCARTA_COMP_PATHWAY	0.23	0.37	0.72	0.53	0.4625
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.09	0.89	0.60	0.27	0.4625
KEGG_AXON_GUIDANCE	0.18	0.62	0.15	0.92	0.4675
PID_BETACATENIN_NUC_PATHWAY	0.98	0.24	0.20	0.45	0.4675
REACTOME_SEMAPHORIN_INTERACTIONS	0.53	0.00	0.69	0.65	0.4675
KEGG_ASTHMA	0.16	0.97	0.56	0.19	0.47
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.42	0.88	0.28	0.30	0.47
PID_LPA4_PATHWAY	0.45	0.41	0.80	0.22	0.47
REACTOME_SIGNALING_BY_PDGF	0.61	0.02	0.97	0.28	0.47
BIOCARTA_FEEDER_PATHWAY	0.57	0.27	1.00	0.05	0.4725
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.16	0.16	0.72	0.86	0.475
KEGG_STARCH_AND_SUCROSE_METABOLISM	0.06	0.72	0.84	0.28	0.475
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	0.20	0.59	0.96	0.16	0.4775
BIOCARTA_NKT_PATHWAY	0.16	0.11	0.87	0.77	0.4775
BIOCARTA_VITCB_PATHWAY	0.29	0.55	0.67	0.40	0.4775
REACTOME_OPSINS	0.70	0.10	0.29	0.83	0.48
REACTOME_GLUTATHIONE_CONJUGATION	0.79	0.56	0.23	0.35	0.4825
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	0.22	0.98	0.43	0.30	0.4825
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	0.55	0.45	0.64	0.29	0.4825
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1	0.42	0.84	0.46	0.22	0.485
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.63	0.08	0.57	0.66	0.485
REACTOME_DSCAM_INTERACTIONS	0.26	0.90	0.29	0.49	0.485
REACTOME_MITOTIC_G1_G1_S_PHASES	1.00	0.27	0.11	0.56	0.485
REACTOME_REGULATION_OF_COMPLEMENT_CASCADE	0.31	0.43	0.65	0.56	0.4875
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	0.29	0.63	0.48	0.55	0.4875
PID_DELTANP63PATHWAY	0.01	0.80	0.61	0.53	0.4875
PID_GLYPICAN_1PATHWAY	0.16	0.51	0.72	0.56	0.4875
KEGG_COLORECTAL_CANCER	0.39	0.58	0.68	0.30	0.4875
PID_NETRIN_PATHWAY	0.50	0.52	0.43	0.51	0.49
PID_INTEGRIN_CS_PATHWAY	0.55	0.85	0.42	0.15	0.4925
KEGG_MELANOGENESIS	0.26	0.97	0.56	0.19	0.495
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	0.64	0.90	0.18	0.27	0.4975
PID_SYNDECAN_2_PATHWAY	0.27	0.38	0.62	0.72	0.4975
KEGG_PANCREATIC_CANCER	0.81	0.29	0.88	0.01	0.4975
REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN1_SIGNALING	0.52	0.41	0.36	0.70	0.4975
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	0.64	0.78	0.32	0.27	0.5025
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	0.64	0.69	0.32	0.36	0.5025
KEGG_ARACHIDONIC_ACID_METABOLISM	0.57	0.90	0.48	0.06	0.5025
BIOCARTA_ETC_PATHWAY	0.33	0.25	0.84	0.59	0.5025
PID_SYNDECAN_3_PATHWAY	0.74	0.28	0.39	0.61	0.505
BIOCARTA_ERYTH_PATHWAY	0.21	0.87	0.67	0.27	0.505
KEGG_RETINOL_METABOLISM	0.34	0.57	0.70	0.41	0.505
REACTOME_CELL_CELL_COMMUNICATION	0.17	0.83	0.77	0.25	0.505
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	0.78	0.17	0.67	0.40	0.505
REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS	0.38	0.76	0.78	0.11	0.5075
PID_TRKRPATHWAY	0.86	0.57	0.28	0.32	0.5075
REACTOME_PD1_SIGNALING	0.18	0.55	0.64	0.67	0.51
PID_IL23PATHWAY	0.15	0.40	0.73	0.76	0.51
KEGG_APOPTOSIS	0.56	0.82	0.29	0.37	0.51
KEGG_PPAR_SIGNALING_PATHWAY	0.13	0.29	0.64	0.98	0.51
BIOCARTA_ARAP_PATHWAY	0.33	0.82	0.68	0.22	0.5125
BIOCARTA_ACH_PATHWAY	0.91	0.10	0.90	0.14	0.5125
REACTOME_REGULATION_OF_APOPTOSIS	0.96	0.53	0.16	0.41	0.515
REACTOME_CELL_JUNCTION_ORGANIZATION	0.37	0.65	0.69	0.36	0.5175
REACTOME_INSULIN_RECEPTOR_RECYCLING	0.68	0.52	0.40	0.47	0.5175
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.25	0.60	0.46	0.76	0.5175
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.44	0.30	0.65	0.68	0.5175
BIOCARTA_PITX2_PATHWAY	0.49	0.39	0.65	0.55	0.52
REACTOME_GLUCONEOGENESIS	0.55	0.10	0.59	0.84	0.52
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	0.94	0.31	0.03	0.81	0.5225
REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.52	0.42	0.43	0.73	0.525
PID_TCR_PATHWAY	0.73	0.10	0.97	0.30	0.525
PID_TELOMERASEPATHWAY	0.91	0.25	0.56	0.38	0.525
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.39	0.59	0.72	0.40	0.525
BIOCARTA_NUCLEARRS_PATHWAY	0.90	0.10	0.69	0.41	0.525
BIOCARTA_DEATH_PATHWAY	0.81	0.55	0.06	0.68	0.525
KEGG_GALACTOSE_METABOLISM	0.67	0.25	0.55	0.64	0.5275
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION	0.63	0.22	0.83	0.44	0.53
BIOCARTA_LECTIN_PATHWAY	0.63	0.12	0.84	0.53	0.53
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR	0.44	0.25	0.65	0.78	0.53
REACTOME_RAP1_SIGNALLING	0.89	0.18	0.06	0.99	0.53
PID_FAK_PATHWAY	0.96	0.09	0.84	0.25	0.535
ST_WNT_BETA_CATENIN_PATHWAY	0.53	0.71	0.78	0.13	0.5375
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.84	0.59	0.29	0.43	0.5375
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	0.53	0.81	0.42	0.39	0.5375
KEGG_MELANOMA	0.88	0.24	0.98	0.05	0.5375
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.80	0.17	0.64	0.55	0.54
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	0.34	0.60	0.66	0.56	0.54
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE	0.57	0.50	0.58	0.51	0.54
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.13	0.39	0.75	0.91	0.545
REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1	0.48	0.46	0.72	0.52	0.545
REACTOME_THE_NLRP3_INFLAMMASOME	0.26	0.67	0.32	0.94	0.5475
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.53	0.35	0.68	0.64	0.55
PID_MYC_REPRESSPATHWAY	0.37	0.05	0.95	0.85	0.555
KEGG_PROSTATE_CANCER	1.00	0.07	0.88	0.27	0.555
PID_HNF3APATHWAY	0.44	0.89	0.47	0.42	0.555
REACTOME_SEROTONIN_RECEPTORS	0.80	0.74	0.05	0.64	0.5575
REACTOME_SHC_MEDIATED_CASCADE	0.60	0.52	0.59	0.52	0.5575
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING	0.33	0.42	0.65	0.83	0.5575
KEGG_PRIMARY_IMMUNODEFICIENCY	0.29	0.24	0.72	0.98	0.5575
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	0.33	0.58	0.69	0.64	0.56
PID_VEGF_VEGFR_PATHWAY	0.45	0.76	0.94	0.09	0.56
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	0.80	0.61	0.82	0.01	0.56
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.94	0.37	0.40	0.54	0.5625
REACTOME_OLFACTORY_SIGNALING_PATHWAY	0.70	0.84	0.06	0.66	0.565
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION	0.01	1.00	0.98	0.27	0.565
PID_RET_PATHWAY	0.44	0.34	0.59	0.89	0.565
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.53	0.63	1.00	0.11	0.5675
REACTOME_AMYLOIDS	0.09	0.81	0.47	0.90	0.5675
KEGG_LONG_TERM_POTENTIATION	0.46	0.84	0.91	0.07	0.57
PID_WNT_SIGNALING_PATHWAY	0.56	0.59	0.59	0.54	0.57
KEGG_NITROGEN_METABOLISM	0.94	0.34	0.27	0.74	0.5725
BIOCARTA_ACE2_PATHWAY	0.64	0.72	0.71	0.22	0.5725
REACTOME_STEROID_HORMONES	0.52	0.82	0.57	0.38	0.5725
REACTOME_SIGNAL_AMPLIFICATION	0.82	0.32	1.00	0.16	0.575
BIOCARTA_GCR_PATHWAY	0.55	0.78	0.36	0.61	0.575
REACTOME_OPIOID_SIGNALLING	0.91	0.20	0.88	0.32	0.5775
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	0.58	0.72	0.88	0.13	0.5775
PID_AP1_PATHWAY	0.39	0.60	0.70	0.63	0.58
PID_AURORA_B_PATHWAY	0.20	0.88	0.89	0.35	0.58
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	0.58	0.43	0.90	0.41	0.58
KEGG_PRION_DISEASES	0.34	0.71	0.59	0.69	0.5825
REACTOME_APOPTOSIS	0.58	0.85	0.09	0.81	0.5825
BIOCARTA_SODD_PATHWAY	0.82	0.27	0.69	0.55	0.5825
PID_P73PATHWAY	0.32	0.95	0.43	0.64	0.585
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.84	0.30	0.56	0.64	0.585
PID_THROMBIN_PAR4_PATHWAY	0.63	0.23	0.62	0.86	0.585
