Gene Set	BLCA	BRCA	COAD	GBM	HNSC	KIRC	LAML	LUAD	LUSC	OV	READ	UCEC	Average AUC
REACTOME_HIV_INFECTION	0.96774056	0.99439607	0.98809553	0.99464340	0.99272286	0.99350956	0.99494949	0.98792147	0.98135904	0.99479703	0.98177970	0.99458447	0.988874931667
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.97690590	0.99470388	0.98567047	0.99476584	0.99064525	0.99451966	0.99494949	0.98812064	0.97828283	0.99392316	0.98050986	0.99318879	0.988848814167
KEGG_WNT_SIGNALING_PATHWAY	0.97223285	0.99443347	0.98890388	0.99470462	0.99282166	0.99462712	0.99494949	0.98866126	0.97662994	0.99426480	0.97948081	0.99379457	0.988792039167
KEGG_PATHWAYS_IN_CANCER	0.97777778	0.99426019	0.98813779	0.99489008	0.99064801	0.99441221	0.99494949	0.98837672	0.97479339	0.99437915	0.97936508	0.99321711	0.98876725
REACTOME_AXON_GUIDANCE	0.97349282	0.99429782	0.98823730	0.99476584	0.99171552	0.99441221	0.99494949	0.98706786	0.97626263	0.99430433	0.98130832	0.99367214	0.98870719
REACTOME_SIGNALING_BY_EGFR_IN_CANCER	0.97626794	0.99456837	0.98778337	0.99494949	0.99275211	0.99473458	0.99494949	0.98536065	0.97369146	0.99415186	0.98112554	0.99272828	0.988588595
REACTOME_TOLL_RECEPTOR_CASCADES	0.97282828	0.99417471	0.98772611	0.99470822	0.99064580	0.99460563	0.99494949	0.98803528	0.97566575	0.99456832	0.98177008	0.99318879	0.988572205
KEGG_HUNTINGTONS_DISEASE	0.97457735	0.99405153	0.98814597	0.99482706	0.99189104	0.99426177	0.99494949	0.98558828	0.97653811	0.99472079	0.97838384	0.99464523	0.988548371667
KEGG_MAPK_SIGNALING_PATHWAY	0.97594896	0.99421137	0.98731444	0.99494949	0.99105371	0.99490651	0.99494949	0.98891734	0.97557392	0.99426339	0.97570948	0.99370868	0.988458898333
REACTOME_ACTIVATED_TLR4_SIGNALLING	0.97303562	0.99349758	0.98751619	0.99464700	0.99064635	0.99434773	0.99494949	0.98812064	0.97722681	0.99460644	0.97952862	0.99209143	0.988351158333
REACTOME_SIGNALING_BY_RHO_GTPASES	0.97267411	0.99442033	0.98809826	0.99488828	0.99151405	0.99479905	0.99494949	0.98746621	0.97699725	0.99370787	0.97805676	0.99260219	0.988347820833
REACTOME_HIV_LIFE_CYCLE	0.96785752	0.99339970	0.98888207	0.99445975	0.99182646	0.99230604	0.99494949	0.98516147	0.98044077	0.99460856	0.98132756	0.99440127	0.988301721667
REACTOME_TRANSCRIPTION	0.97820840	0.99350952	0.98758435	0.99409244	0.99095656	0.99166129	0.99494949	0.98479158	0.97194674	0.99487397	0.98202982	0.99491889	0.9882935875
KEGG_ALZHEIMERS_DISEASE	0.97456140	0.99442138	0.98885754	0.99489008	0.99055859	0.99462712	0.99489008	0.98635652	0.97401286	0.99441586	0.97873861	0.99309604	0.988285506667
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.97765550	0.99334162	0.98741804	0.99434632	0.99245957	0.99413282	0.99494949	0.98200313	0.97630854	0.99415821	0.97891294	0.99317965	0.988238819167
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	0.96878256	0.99416239	0.98820186	0.99482886	0.99255506	0.99389641	0.99494949	0.98590127	0.97796143	0.99460785	0.97902838	0.99382016	0.988224643333
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.97618820	0.99449439	0.98725037	0.99458219	0.98947839	0.99434773	0.99494949	0.98829136	0.97474747	0.99312200	0.97841270	0.99276711	0.988219283333
REACTOME_PHOSPHOLIPID_METABOLISM	0.96955875	0.99450798	0.98852765	0.99488828	0.99091516	0.99494949	0.99494949	0.99028311	0.97493113	0.99449209	0.97712362	0.99349716	0.988218659167
REACTOME_DNA_REPLICATION	0.96699096	0.99416187	0.98782971	0.99494949	0.99322018	0.99271438	0.99494949	0.98570209	0.97759412	0.99476032	0.98006734	0.99430990	0.988104154167
REACTOME_MRNA_PROCESSING	0.96431154	0.99342382	0.98883027	0.99476584	0.99258707	0.99312272	0.99494949	0.98413715	0.98117539	0.99479773	0.98032737	0.99476721	0.988099633333
REACTOME_SIGNALING_BY_NOTCH	0.97337586	0.99315438	0.98691912	0.99476584	0.99161616	0.99475607	0.99494949	0.98550292	0.97803332	0.99411516	0.97881674	0.99118000	0.988098755
PID_PDGFRBPATHWAY	0.97168527	0.99404018	0.98687414	0.99494949	0.99227632	0.99432624	0.99494949	0.98772229	0.97571166	0.99422880	0.97704666	0.99193838	0.987979076667
KEGG_SPLICEOSOME	0.97055290	0.99322755	0.98908518	0.99133942	0.99118287	0.99307973	0.99489008	0.98302746	0.98200184	0.99487326	0.97829726	0.99413127	0.987974068333
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	0.97621478	0.99183991	0.98787606	0.99344965	0.99401667	0.99065119	0.99459299	0.97625551	0.98512397	0.99491138	0.97615200	0.99449356	0.987964805833
PID_P53DOWNSTREAMPATHWAY	0.97297714	0.99410035	0.98830546	0.99494949	0.99080808	0.99387492	0.99494949	0.98834827	0.97079890	0.99437986	0.97896104	0.99254462	0.987916468333
PID_ERBB1_DOWNSTREAM_PATHWAY	0.97068049	0.99395343	0.98867896	0.99470642	0.99187503	0.99447668	0.99494949	0.98874662	0.97304867	0.99430292	0.97780664	0.99162955	0.987904575
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.97220627	0.99418681	0.98793468	0.99488828	0.98984655	0.99467011	0.99494949	0.98575900	0.97796143	0.99376998	0.97643098	0.99212797	0.987894295833
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.97582669	0.99411431	0.98856582	0.99489008	0.99002208	0.99471309	0.99494949	0.98823446	0.97079890	0.99437774	0.97546898	0.99233173	0.987857780833
KEGG_ENDOCYTOSIS	0.96581606	0.99421264	0.98524107	0.99489008	0.99145223	0.99482055	0.99494949	0.99016930	0.97350781	0.99441868	0.98080808	0.99382655	0.987842711667
REACTOME_INNATE_IMMUNE_SYSTEM	0.97654971	0.99459309	0.98425824	0.99441113	0.99105536	0.99447668	0.99494949	0.98789301	0.97658402	0.99369234	0.97317941	0.99219422	0.987819725
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.97287613	0.99437091	0.98652653	0.99494949	0.99145333	0.99484204	0.99494949	0.98399488	0.97433425	0.99437986	0.97800866	0.99312757	0.987817761667
REACTOME_MITOTIC_M_M_G1_PHASES	0.96476342	0.99410043	0.98757071	0.99494949	0.99298670	0.99282184	0.99494949	0.98456395	0.97860422	0.99479844	0.97935546	0.99434051	0.987817055
REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	0.96868155	0.99378053	0.98799193	0.99446515	0.99084617	0.99370299	0.99494949	0.98849054	0.97533438	0.99456832	0.97966330	0.99114574	0.987801674167
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	0.96297714	0.99364719	0.98778064	0.99488828	0.99245846	0.99359553	0.99494949	0.98419405	0.97892562	0.99487326	0.98020202	0.99452234	0.987751168333
REACTOME_SIGNALING_BY_ERBB2	0.97318979	0.99404100	0.98695320	0.99488828	0.99096263	0.99445519	0.99494949	0.98405179	0.97493113	0.99388504	0.98092352	0.98971762	0.987745723333
KEGG_CELL_CYCLE	0.97071770	0.99316431	0.98910018	0.99489008	0.99336351	0.99434773	0.99494949	0.98484848	0.96873278	0.99446244	0.98068302	0.99361000	0.987739143333
REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	0.97167996	0.99385376	0.98586404	0.99445975	0.99074957	0.99488502	0.99494949	0.98866126	0.97148760	0.99434245	0.97880712	0.99288452	0.987718711667
REACTOME_INTERFERON_SIGNALING	0.96604466	0.99321709	0.98654834	0.99489008	0.99129105	0.99475607	0.99494949	0.98860435	0.97741047	0.99494949	0.97605580	0.99330802	0.9876687425
KEGG_PURINE_METABOLISM	0.96846890	0.99438352	0.98952003	0.99483066	0.98978473	0.99434773	0.99494949	0.98851899	0.97341598	0.99396269	0.97503608	0.99470554	0.987660361667
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	0.97157895	0.99454411	0.98746848	0.99494949	0.99121267	0.99462712	0.99494949	0.98735240	0.97089073	0.99456903	0.97913420	0.99043122	0.987642324167
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.96933546	0.99284926	0.98751346	0.99482886	0.99371861	0.99445519	0.99494949	0.98157633	0.97603306	0.99442221	0.97740260	0.99428158	0.9876138425
KEGG_INSULIN_SIGNALING_PATHWAY	0.97257842	0.99415104	0.98735261	0.99494949	0.98972788	0.99462712	0.99494949	0.98755157	0.97052342	0.99426621	0.97762386	0.99248340	0.987565375833
REACTOME_MITOTIC_G1_G1_S_PHASES	0.96466773	0.99274818	0.98835862	0.99476944	0.99264393	0.99378895	0.99494949	0.98279983	0.97672176	0.99475891	0.97977874	0.99446249	0.987537339167
REACTOME_MRNA_SPLICING	0.96488038	0.99263791	0.98903338	0.99464520	0.99218634	0.99249946	0.99489008	0.98109262	0.98126722	0.99491138	0.97802790	0.99415868	0.9875192125
REACTOME_SIGNALING_BY_NOTCH1	0.97357257	0.99172815	0.98819368	0.99421488	0.99255285	0.99454116	0.99494949	0.98171859	0.97731864	0.99415327	0.97797018	0.98926625	0.987514975833
REACTOME_INFLUENZA_LIFE_CYCLE	0.96338650	0.99289883	0.98914380	0.99477124	0.99401888	0.99133892	0.99489008	0.97964149	0.98397612	0.99491208	0.97646946	0.99467630	0.987510308333
REACTOME_L1CAM_INTERACTIONS	0.96990431	0.99283747	0.98846631	0.99482706	0.99147596	0.99464861	0.99494949	0.98342581	0.97309458	0.99384763	0.97926888	0.99291696	0.9874719225
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	0.97062201	0.99438390	0.98741940	0.99494949	0.99121433	0.99479905	0.99494949	0.98493385	0.97093664	0.99407422	0.98051948	0.99077615	0.987464834167
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.96880914	0.99351445	0.98779564	0.99403122	0.98992604	0.99445519	0.99471182	0.98157633	0.97653811	0.99468268	0.98087542	0.99257249	0.9874573775
REACTOME_DNA_REPAIR	0.96779373	0.99298081	0.98773020	0.99483066	0.99165811	0.99329465	0.99494949	0.98487694	0.97566575	0.99419210	0.97705628	0.99434097	0.987447474167
PID_MYC_ACTIVPATHWAY	0.98133971	0.99368265	0.98636023	0.99422568	0.99048352	0.99374597	0.99494949	0.98265756	0.96712580	0.99449491	0.97753611	0.99273330	0.9874445775
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION	0.96835726	0.99391633	0.98835589	0.99434271	0.99061379	0.99314421	0.99494949	0.98661260	0.97327824	0.99445397	0.97938432	0.99181868	0.987435624167
KEGG_AXON_GUIDANCE	0.97162679	0.99394126	0.98783108	0.99483066	0.99021085	0.99475607	0.99494949	0.98789301	0.97387511	0.99377634	0.97569024	0.98935168	0.987394381667
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.95946837	0.99325188	0.98977358	0.99458219	0.99231937	0.99258543	0.99489008	0.98169014	0.98080808	0.99491208	0.97949014	0.99458538	0.98736306
PID_MTOR_4PATHWAY	0.97615630	0.99248964	0.98857400	0.99452097	0.99224265	0.99393939	0.99494949	0.98615735	0.96446281	0.99449209	0.97797980	0.99190320	0.9873223075
REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE	0.96659755	0.99327712	0.98798648	0.99464700	0.99024673	0.99402536	0.99494949	0.98621426	0.97465565	0.99449280	0.97892256	0.99151533	0.987294194167
REACTOME_DIABETES_PATHWAYS	0.97134503	0.99404018	0.98735261	0.99476944	0.99004968	0.99398238	0.99494949	0.98575900	0.97180900	0.99418715	0.97571910	0.99349396	0.987288085
REACTOME_CELL_CELL_COMMUNICATION	0.96872408	0.99409035	0.98734716	0.99477124	0.98811227	0.99439072	0.99494949	0.98814910	0.97662994	0.99400080	0.97536316	0.99088168	0.987284165833
REACTOME_TRIF_MEDIATED_TLR3_SIGNALING	0.96774056	0.99338649	0.98793331	0.99428330	0.99038031	0.99323017	0.99494949	0.98567364	0.97502296	0.99464526	0.97834536	0.99142670	0.9872514625
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.96507177	0.99464258	0.98598400	0.99488828	0.99258762	0.99443370	0.99494949	0.98644188	0.97392103	0.99407280	0.97581530	0.99379229	0.987216728333
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.96749601	0.99389303	0.98945460	0.99494949	0.99124469	0.99464861	0.99489008	0.98866126	0.96822773	0.99430221	0.97503608	0.99304076	0.9871537125
KEGG_FOCAL_ADHESION	0.96552366	0.99455628	0.98681961	0.99482706	0.98921455	0.99464861	0.99494949	0.98521838	0.97741047	0.99377351	0.97679654	0.99202564	0.987146983333
REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	0.96482190	0.99283426	0.98766341	0.99439853	0.99135674	0.99237051	0.99494949	0.98069427	0.97662994	0.99460997	0.98090428	0.99425005	0.9871236125
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	0.96658692	0.99249099	0.98768113	0.99433731	0.99248717	0.99286482	0.99494949	0.98137715	0.97447199	0.99479703	0.97876864	0.99367442	0.987040588333
PID_NFAT_3PATHWAY	0.97779904	0.99321620	0.98793877	0.99458219	0.99038307	0.99449817	0.99494949	0.98607199	0.96652893	0.99361822	0.97821068	0.98655483	0.987029298333
KEGG_OXIDATIVE_PHOSPHORYLATION	0.97170654	0.99214615	0.98778064	0.99458219	0.99018932	0.99378895	0.99460148	0.97938540	0.97401286	0.99475891	0.97818182	0.99309924	0.987019458333
PID_P73PATHWAY	0.97292929	0.99264993	0.98565684	0.99494949	0.98974499	0.99333763	0.99494949	0.98339735	0.97162534	0.99487397	0.97797980	0.99142351	0.9869598025
REACTOME_SIGNALING_BY_FGFR	0.96896332	0.99427363	0.98741395	0.99489008	0.99098416	0.99469160	0.99494949	0.98393797	0.96942149	0.99373187	0.97969216	0.98995290	0.986908551667
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	0.96443381	0.99402674	0.98819640	0.99494949	0.99108958	0.99366000	0.99494949	0.98504766	0.97603306	0.99351517	0.97738336	0.98922468	0.986875786667
PID_MET_PATHWAY	0.97135035	0.99328996	0.98837341	0.99482706	0.99105095	0.99428326	0.99494949	0.98592972	0.96386593	0.99460997	0.97851852	0.99053356	0.986798515
KEGG_TIGHT_JUNCTION	0.96610845	0.99359642	0.98819095	0.99494949	0.99068444	0.99486353	0.99494949	0.98644188	0.97162534	0.99392528	0.97461279	0.99144818	0.98678302
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	0.97120680	0.99053820	0.98718630	0.99471182	0.99424794	0.99075865	0.99436041	0.97090625	0.98310376	0.99491138	0.97454545	0.99428249	0.986729954167
REACTOME_NEURONAL_SYSTEM	0.96962786	0.99391677	0.98594855	0.99471002	0.98965447	0.99475607	0.99494949	0.98564518	0.96730946	0.99308600	0.97814334	0.99225452	0.986666810833
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	0.96866560	0.99378179	0.98679099	0.99482706	0.98965336	0.99471309	0.99489008	0.98439323	0.96414141	0.99385045	0.98049062	0.99379366	0.986665945
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	0.96192982	0.99353446	0.98835862	0.99452637	0.99202186	0.99333763	0.99494949	0.97924314	0.97557392	0.99460715	0.97815296	0.99348711	0.986643544167
PID_HDAC_CLASSI_PATHWAY	0.96999468	0.99358410	0.98768386	0.99434812	0.98794778	0.99424028	0.99494949	0.98467776	0.96887052	0.99457327	0.97734488	0.99089858	0.986592776667
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.97024987	0.99339948	0.98643111	0.99441294	0.98978915	0.99462712	0.99494949	0.98467776	0.97033976	0.99236883	0.97625782	0.99150528	0.986584050833
REACTOME_SIGNALING_BY_GPCR	0.96317384	0.99443280	0.98752709	0.99494949	0.99141469	0.99458414	0.99494949	0.98647034	0.96967656	0.99388998	0.97432419	0.99315863	0.986545936667
WNT_SIGNALING	0.96386497	0.99364570	0.98662468	0.99494949	0.99068002	0.99378895	0.99483405	0.98621426	0.97202326	0.99418927	0.97615200	0.99146782	0.986536205833
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.96605529	0.99389467	0.98882209	0.99494949	0.99144836	0.99454116	0.99494949	0.98615735	0.96864096	0.99289471	0.97457431	0.99142945	0.9865297775
PID_VEGFR1_2_PATHWAY	0.97292929	0.99362166	0.98766886	0.99470822	0.98786002	0.99303675	0.99494949	0.98060891	0.96620753	0.99464597	0.98083694	0.99124442	0.986526505
PID_CDC42_PATHWAY	0.97448166	0.99204894	0.98718767	0.99482706	0.99163990	0.99383194	0.99494949	0.97614170	0.96841139	0.99297588	0.98254930	0.98919818	0.986520259167
REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION	0.96986709	0.99358269	0.98635205	0.99378635	0.98951648	0.99462712	0.99494949	0.98248684	0.96992654	0.99442150	0.97723906	0.99109412	0.986487444167
REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	0.95765550	0.99193980	0.98930056	0.99483066	0.99387813	0.99146787	0.99453866	0.97429222	0.98498623	0.99483514	0.97515152	0.99458584	0.9864551775
REACTOME_RNA_POL_II_TRANSCRIPTION	0.97332802	0.99223088	0.98761979	0.99409424	0.99075785	0.99127445	0.99494949	0.97799118	0.96602388	0.99468479	0.98049062	0.99352046	0.986413804167
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	0.97041467	0.99416194	0.98710724	0.99494949	0.98958768	0.99469160	0.99494949	0.98470622	0.96643710	0.99361893	0.97769120	0.98855173	0.9864056075
PID_TAP63PATHWAY	0.97006911	0.99299380	0.98557505	0.99464340	0.98861015	0.99366000	0.99494949	0.98638498	0.97029385	0.99373751	0.97965368	0.98609204	0.986388588333
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	0.96169591	0.99438338	0.98713859	0.99494949	0.99045869	0.99451966	0.99494949	0.98769384	0.96538108	0.99419421	0.97763348	0.99337061	0.986364035833
BIOCARTA_MAPK_PATHWAY	0.96397129	0.99314214	0.98729672	0.99483066	0.98994591	0.99415431	0.99494949	0.98328354	0.97038567	0.99426974	0.97785474	0.99184655	0.986327563333
REACTOME_G_ALPHA1213_SIGNALLING_EVENTS	0.96414673	0.99427288	0.98752982	0.99494949	0.99026163	0.99441221	0.99494949	0.98242993	0.96749311	0.99329070	0.98103896	0.99018681	0.986246813333
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.96153110	0.99089782	0.98719176	0.99465241	0.99384942	0.98983452	0.99447755	0.97602788	0.98324151	0.99491138	0.97367965	0.99446340	0.986229866667
PID_CASPASE_PATHWAY	0.96469963	0.99224932	0.98836271	0.99494949	0.99038086	0.99458414	0.99494949	0.98402333	0.96955923	0.99381657	0.97752766	0.98949559	0.986216501667
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	0.96399787	0.99311765	0.98662332	0.99483066	0.99058729	0.99458414	0.99494949	0.98316973	0.97041118	0.99434033	0.97765272	0.98986929	0.986177805833
KEGG_CALCIUM_SIGNALING_PATHWAY	0.96619351	0.99411409	0.98784607	0.99494949	0.99112325	0.99460563	0.99494949	0.98661260	0.96476380	0.99255589	0.97599808	0.99040610	0.9861765
REACTOME_SIGNALING_BY_PDGF	0.96516215	0.99368175	0.98720402	0.99494949	0.98954959	0.99385343	0.99494949	0.98595817	0.96717172	0.99361893	0.97684464	0.99108681	0.9861691825
KEGG_ADHERENS_JUNCTION	0.95606592	0.99347488	0.98712905	0.99494949	0.98866093	0.99340211	0.99494949	0.98467776	0.97438017	0.99347634	0.98014430	0.99194615	0.986104715833
REACTOME_RECYCLING_PATHWAY_OF_L1	0.97867624	0.98980291	0.98731035	0.99489008	0.99080256	0.99269289	0.99494949	0.97591407	0.96446281	0.99199119	0.97802790	0.99315772	0.9860565175
PID_REG_GR_PATHWAY	0.96650718	0.99397851	0.98700228	0.99416446	0.99057460	0.99262841	0.99494949	0.98447859	0.97098255	0.99388434	0.97313131	0.98981219	0.986007825833
REACTOME_G1_S_TRANSITION	0.95787879	0.99140742	0.98736079	0.99470462	0.99204504	0.99305824	0.99494949	0.97847489	0.97350781	0.99472220	0.97947090	0.99418838	0.985980714167
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.96325359	0.99310526	0.98767704	0.99458579	0.98791356	0.99346658	0.99494949	0.98794992	0.96437098	0.99403680	0.97640212	0.99352229	0.985936118333
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	0.96482190	0.99321896	0.98736351	0.99441474	0.98942319	0.99271438	0.99489008	0.98279983	0.96988062	0.99376998	0.97481481	0.99260813	0.985893344167
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.96702286	0.99381830	0.98746984	0.99440573	0.98964840	0.99469160	0.99494949	0.98447859	0.96894194	0.99381022	0.96962001	0.99166655	0.985876960833
PID_E2F_PATHWAY	0.97437533	0.99165364	0.98734443	0.99433731	0.98927195	0.99411133	0.99494949	0.97867406	0.96221304	0.99309588	0.97840308	0.99180544	0.985852915
KEGG_GAP_JUNCTION	0.96568315	0.99379359	0.98785698	0.99494949	0.98958492	0.99342360	0.99494949	0.98575900	0.96345271	0.99281565	0.97603656	0.99129833	0.985800289167
KEGG_LYSOSOME	0.95653376	0.99182945	0.98697910	0.99403122	0.99034112	0.99462712	0.99494949	0.98541756	0.96804408	0.99441727	0.97866282	0.99348483	0.985776485
REACTOME_SPHINGOLIPID_METABOLISM	0.96196172	0.99324195	0.98885617	0.99494949	0.98841420	0.99469160	0.99494949	0.98484848	0.96515152	0.99327658	0.97578644	0.99319016	0.985776483333
REACTOME_REGULATION_OF_INSULIN_SECRETION	0.96204678	0.99416239	0.98693684	0.99494949	0.98975658	0.99400387	0.99494949	0.98612889	0.96303949	0.99400645	0.97632516	0.99289000	0.985766285833
REACTOME_SIGNALING_BY_ERBB4	0.95977140	0.99389184	0.98584223	0.99476584	0.98949219	0.99338061	0.99494949	0.98299900	0.97317644	0.99384763	0.97807600	0.98899122	0.985765324167
REACTOME_CELL_CYCLE_CHECKPOINTS	0.95086124	0.99328876	0.98808871	0.99488828	0.99124414	0.99396089	0.99494949	0.97932850	0.97649219	0.99468550	0.97721020	0.99415823	0.985763010833
KEGG_MELANOGENESIS	0.96234450	0.99325114	0.98848130	0.99489008	0.98801954	0.99404685	0.99494949	0.98647034	0.96533517	0.99302317	0.97570948	0.99214808	0.985722428333
