Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	0.13	0.36	0.02	0.35	0.36	0.244
PID_VEGFR1_2_PATHWAY	0.01	0.46	0.01	0.42	0.32	0.244
BIOCARTA_G1_PATHWAY	0.00	0.00	0.00	0.35	0.87	0.244
REACTOME_SIGNALING_BY_NOTCH4	0.17	0.29	0.13	0.29	0.35	0.246
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	0.03	0.26	0.60	0.28	0.07	0.248
REACTOME_RAP1_SIGNALLING	0.36	0.15	0.11	0.31	0.32	0.25
BIOCARTA_P38MAPK_PATHWAY	0.02	0.27	0.04	0.87	0.06	0.252
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	0.13	0.36	0.15	0.46	0.16	0.252
REACTOME_SIGNALING_BY_ERBB2	0.00	0.22	0.00	0.17	0.87	0.252
REACTOME_AMINE_DERIVED_HORMONES	0.37	0.12	0.10	0.35	0.32	0.252
ST_INTERLEUKIN_4_PATHWAY	0.01	0.55	0.01	0.69	0.01	0.254
PID_WNT_CANONICAL_PATHWAY	0.31	0.15	0.31	0.23	0.29	0.258
PID_EPHRINBREVPATHWAY	0.01	0.87	0.02	0.02	0.37	0.258
REACTOME_GLUCOSE_METABOLISM	0.04	0.40	0.10	0.68	0.07	0.258
KEGG_DILATED_CARDIOMYOPATHY	0.00	0.15	0.26	0.00	0.89	0.26
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.01	0.17	0.00	0.23	0.89	0.26
BIOCARTA_FAS_PATHWAY	0.02	0.23	0.04	0.95	0.06	0.26
REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	0.13	0.13	0.27	0.35	0.43	0.262
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.06	0.73	0.10	0.07	0.36	0.264
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	0.15	0.60	0.18	0.05	0.34	0.264
BIOCARTA_CBL_PATHWAY	0.31	0.15	0.35	0.16	0.35	0.264
BIOCARTA_ARF_PATHWAY	0.00	0.00	0.00	1.00	0.32	0.264
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	0.11	0.38	0.30	0.38	0.15	0.264
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.04	0.60	0.36	0.04	0.29	0.266
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.00	0.40	0.00	0.14	0.79	0.266
BIOCARTA_BARR_MAPK_PATHWAY	0.13	0.44	0.10	0.29	0.38	0.268
KEGG_WNT_SIGNALING_PATHWAY	0.00	0.00	0.00	1.00	0.34	0.268
PID_HEDGEHOG_GLIPATHWAY	0.05	0.40	0.41	0.28	0.20	0.268
PID_RAC1_PATHWAY	0.01	0.07	0.01	1.00	0.25	0.268
KEGG_PANCREATIC_CANCER	0.00	0.00	0.00	0.38	0.97	0.27
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX_	0.48	0.11	0.42	0.28	0.06	0.27
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.00	0.00	0.00	0.39	0.96	0.27
BIOCARTA_TNFR1_PATHWAY	0.08	0.32	0.04	0.84	0.08	0.272
PID_ALK2PATHWAY	0.37	0.33	0.12	0.23	0.32	0.274
PID_IL2_STAT5PATHWAY	0.01	0.04	0.02	0.35	0.95	0.274
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM	0.16	0.38	0.12	0.39	0.32	0.274
REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM	0.48	0.07	0.16	0.32	0.34	0.274
ST_JNK_MAPK_PATHWAY	0.00	0.00	0.00	1.00	0.38	0.276
BIOCARTA_RAC1_PATHWAY	0.00	0.00	0.00	0.55	0.83	0.276
SA_CASPASE_CASCADE	0.31	0.21	0.11	0.40	0.35	0.276
REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER	0.16	0.31	0.12	0.47	0.32	0.276
REACTOME_IL_2_SIGNALING	0.02	0.57	0.02	0.75	0.03	0.278
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.00	0.00	0.00	0.46	0.93	0.278
PID_RAC1_REG_PATHWAY	0.02	0.81	0.05	0.16	0.35	0.278
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.13	0.18	0.30	0.44	0.34	0.278
KEGG_MELANOMA	0.00	0.00	0.00	0.45	0.94	0.278
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	0.31	0.42	0.18	0.18	0.30	0.278
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0.20	0.07	0.33	0.37	0.43	0.28
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.39	0.62	0.27	0.12	0.00	0.28
PID_AP1_PATHWAY	0.00	0.00	0.00	0.47	0.94	0.282
REACTOME_INTEGRATION_OF_PROVIRUS	0.33	0.01	0.26	0.50	0.31	0.282
PID_P75NTRPATHWAY	0.00	0.00	0.00	0.80	0.61	0.282
PID_WNT_SIGNALING_PATHWAY	0.41	0.13	0.26	0.26	0.35	0.282
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS	0.39	0.29	0.12	0.29	0.32	0.282
REACTOME_BASIGIN_INTERACTIONS	0.48	0.18	0.12	0.29	0.34	0.282
BIOCARTA_MITOCHONDRIA_PATHWAY	0.22	0.35	0.12	0.39	0.33	0.282
KEGG_ENDOMETRIAL_CANCER	0.00	0.00	0.00	0.48	0.93	0.282
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.00	0.00	0.00	0.96	0.45	0.282
REACTOME_NEURONAL_SYSTEM	0.11	0.81	0.01	0.00	0.48	0.282
PID_FAK_PATHWAY	0.01	0.88	0.01	0.10	0.41	0.282
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.23	0.05	0.02	0.42	0.69	0.282
BIOCARTA_PGC1A_PATHWAY	0.35	0.15	0.12	0.32	0.48	0.284
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	0.02	0.33	0.02	0.65	0.41	0.286
KEGG_PROSTATE_CANCER	0.00	0.00	0.00	0.44	0.99	0.286
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	0.02	0.86	0.12	0.19	0.24	0.286
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.40	0.35	0.10	0.26	0.32	0.286
BIOCARTA_TCRA_PATHWAY	0.34	0.33	0.15	0.29	0.32	0.286
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.02	0.42	0.02	0.02	0.95	0.286
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	0.01	0.68	0.01	0.35	0.39	0.288
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.23	0.16	0.23	0.37	0.45	0.288
PID_INTEGRIN_A4B1_PATHWAY	0.12	0.27	0.39	0.54	0.12	0.288
BIOCARTA_CCR5_PATHWAY	0.24	0.38	0.10	0.64	0.08	0.288
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.58	0.23	0.10	0.16	0.37	0.288
ST_B_CELL_ANTIGEN_RECEPTOR	0.01	0.77	0.01	0.22	0.43	0.288
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	0.00	0.51	0.00	0.06	0.87	0.288
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	0.15	0.40	0.11	0.44	0.34	0.288
PID_CXCR4_PATHWAY	0.00	0.00	0.00	0.96	0.49	0.29
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS	0.16	0.56	0.10	0.29	0.34	0.29
REACTOME_BASE_EXCISION_REPAIR	0.36	0.38	0.08	0.29	0.34	0.29
REACTOME_PD1_SIGNALING	0.36	0.31	0.12	0.35	0.32	0.292
REACTOME_PI_METABOLISM	0.01	0.53	0.01	0.25	0.66	0.292
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS	0.30	0.35	0.16	0.33	0.32	0.292
BIOCARTA_PITX2_PATHWAY	0.13	0.38	0.36	0.44	0.16	0.294
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI	0.19	0.55	0.12	0.29	0.32	0.294
REACTOME_P75NTR_SIGNALS_VIA_NFKB	0.15	0.61	0.12	0.27	0.33	0.296
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.30	0.17	0.55	0.35	0.11	0.296
BIOCARTA_CXCR4_PATHWAY	0.00	0.85	0.00	0.63	0.00	0.296
REACTOME_DNA_REPAIR	0.17	0.04	0.19	0.60	0.48	0.296
ST_FAS_SIGNALING_PATHWAY	0.00	0.00	0.00	1.00	0.48	0.296
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GIP	0.31	0.31	0.22	0.32	0.32	0.296
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.00	0.00	0.00	0.86	0.63	0.298
KEGG_PATHWAYS_IN_CANCER	0.00	0.42	0.00	0.12	0.95	0.298
PID_PI3KPLCTRKPATHWAY	0.01	0.83	0.01	0.63	0.01	0.298
PID_VEGF_VEGFR_PATHWAY	0.23	0.11	0.30	0.05	0.80	0.298
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	0.23	0.11	0.30	0.05	0.80	0.298
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	0.00	0.29	0.00	0.30	0.91	0.3
KEGG_RIBOFLAVIN_METABOLISM	0.40	0.35	0.34	0.26	0.15	0.3
REACTOME_OXYGEN_DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA_INDUCIBLE_FACTOR_ALPHA	0.39	0.44	0.24	0.14	0.29	0.3
KEGG_STEROID_BIOSYNTHESIS	0.13	0.38	0.12	0.56	0.32	0.302
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.48	0.31	0.14	0.29	0.30	0.304
PID_DNAPK_PATHWAY	0.52	0.40	0.12	0.33	0.15	0.304
PID_FCER1PATHWAY	0.00	0.70	0.00	0.23	0.59	0.304
BIOCARTA_MPR_PATHWAY	0.43	0.12	0.43	0.11	0.43	0.304
REACTOME_GLUTATHIONE_CONJUGATION	0.14	0.50	0.18	0.37	0.34	0.306
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	0.06	0.17	0.23	0.50	0.57	0.306
PID_DELTANP63PATHWAY	0.23	0.29	0.47	0.16	0.38	0.306
KEGG_GLIOMA	0.00	0.00	0.00	0.65	0.88	0.306
PID_BMPPATHWAY	0.39	0.08	0.52	0.06	0.48	0.306
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	0.31	0.36	0.22	0.32	0.32	0.306
PID_ERBB1_INTERNALIZATION_PATHWAY	0.01	0.63	0.02	0.12	0.75	0.306
REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER	0.12	0.07	0.59	0.58	0.18	0.308
KEGG_OTHER_GLYCAN_DEGRADATION	0.31	0.29	0.12	0.50	0.32	0.308
KEGG_LINOLEIC_ACID_METABOLISM	0.32	0.27	0.31	0.35	0.29	0.308
REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS	0.00	1.00	0.00	0.54	0.00	0.308
PID_TCRCALCIUMPATHWAY	0.13	0.29	0.35	0.34	0.43	0.308
REACTOME_ZINC_TRANSPORTERS	0.34	0.38	0.16	0.34	0.32	0.308
PID_AVB3_OPN_PATHWAY	0.01	0.78	0.01	0.74	0.01	0.31
KEGG_BASAL_CELL_CARCINOMA	0.00	0.00	0.00	0.97	0.58	0.31
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.31	0.22	0.12	0.56	0.34	0.31
BIOCARTA_HER2_PATHWAY	0.00	0.61	0.00	0.00	0.94	0.31
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	0.71	0.07	0.29	0.14	0.34	0.31
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	0.18	0.60	0.02	0.74	0.01	0.31
BIOCARTA_ACH_PATHWAY	0.00	0.89	0.00	0.66	0.00	0.31
BIOCARTA_RANMS_PATHWAY	0.14	0.22	0.15	0.40	0.64	0.31
ST_INTEGRIN_SIGNALING_PATHWAY	0.00	0.15	0.00	0.53	0.87	0.31
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.14	0.60	0.10	0.29	0.42	0.31
KEGG_P53_SIGNALING_PATHWAY	0.00	0.00	0.00	0.62	0.93	0.31
KEGG_ASTHMA	0.34	0.14	0.50	0.47	0.11	0.312
PID_IL1PATHWAY	0.02	0.96	0.02	0.04	0.52	0.312
REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS	0.33	0.55	0.12	0.24	0.32	0.312
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION	0.29	0.07	0.54	0.23	0.43	0.312
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.89	0.00	0.24	0.35	0.08	0.312
REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	0.16	0.34	0.32	0.19	0.55	0.312
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.40	0.12	0.11	0.56	0.37	0.312
REACTOME_MITOTIC_G2_G2_M_PHASES	0.94	0.07	0.02	0.46	0.07	0.312
KEGG_FOLATE_BIOSYNTHESIS	0.36	0.27	0.25	0.37	0.32	0.314
PID_IL2_1PATHWAY	0.01	0.75	0.01	0.73	0.07	0.314
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	0.51	0.07	0.12	0.55	0.32	0.314
REACTOME_PHOSPHOLIPID_METABOLISM	0.02	0.90	0.02	0.39	0.25	0.316
PID_CERAMIDE_PATHWAY	0.04	0.25	0.01	0.92	0.36	0.316
REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.51	0.05	0.37	0.33	0.33	0.318
KEGG_ERBB_SIGNALING_PATHWAY	0.00	0.11	0.00	0.78	0.70	0.318
BIOCARTA_DREAM_PATHWAY	0.14	0.61	0.21	0.31	0.32	0.318
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.72	0.20	0.11	0.23	0.34	0.32
REACTOME_CELL_CYCLE_CHECKPOINTS	0.00	0.00	0.00	0.71	0.89	0.32
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	0.37	0.18	0.36	0.38	0.31	0.32
REACTOME_REGULATION_OF_KIT_SIGNALING	0.16	0.03	0.31	0.51	0.59	0.32
PID_MYC_ACTIVPATHWAY	0.00	0.00	0.00	1.00	0.61	0.322
BIOCARTA_RARRXR_PATHWAY	0.39	0.20	0.35	0.33	0.34	0.322
BIOCARTA_TH1TH2_PATHWAY	0.34	0.36	0.27	0.56	0.08	0.322
ST_T_CELL_SIGNAL_TRANSDUCTION	0.13	0.35	0.12	0.80	0.21	0.322
REACTOME_GLOBAL_GENOMIC_NER_GG_NER	0.24	0.30	0.46	0.35	0.26	0.322
BIOCARTA_STEM_PATHWAY	0.19	0.56	0.22	0.32	0.32	0.322
PID_INTEGRIN1_PATHWAY	0.01	1.00	0.11	0.48	0.01	0.322
REACTOME_PURINE_CATABOLISM	0.45	0.10	0.28	0.43	0.35	0.322
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE	0.71	0.15	0.34	0.31	0.11	0.324
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	0.47	0.56	0.12	0.15	0.32	0.324
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	0.45	0.31	0.26	0.46	0.14	0.324
REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX	0.12	0.20	0.47	0.39	0.44	0.324
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.01	0.15	0.49	0.10	0.87	0.324
KEGG_MAPK_SIGNALING_PATHWAY	0.01	0.42	0.00	0.56	0.63	0.324
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.51	0.05	0.42	0.33	0.32	0.326
PID_E2F_PATHWAY	0.02	0.12	0.02	1.00	0.47	0.326
REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1	0.01	0.00	0.01	0.83	0.78	0.326
BIOCARTA_IL5_PATHWAY	0.39	0.48	0.17	0.25	0.34	0.326
BIOCARTA_CACAM_PATHWAY	0.31	0.38	0.23	0.40	0.32	0.328
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.11	0.50	0.18	0.56	0.29	0.328
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS	0.34	0.29	0.33	0.25	0.43	0.328
BIOCARTA_ASBCELL_PATHWAY	0.31	0.60	0.25	0.40	0.08	0.328
PID_P53DOWNSTREAMPATHWAY	0.00	0.00	0.00	0.79	0.85	0.328
PID_AR_NONGENOMIC_PATHWAY	0.01	0.32	0.01	0.35	0.95	0.328
BIOCARTA_FCER1_PATHWAY	0.01	1.00	0.01	0.20	0.43	0.33
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS	0.37	0.07	0.35	0.37	0.49	0.33
PID_RHOA_REG_PATHWAY	0.05	0.36	0.10	0.76	0.38	0.33
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	0.66	0.15	0.25	0.16	0.43	0.33
BIOCARTA_CERAMIDE_PATHWAY	0.00	0.65	0.00	1.00	0.00	0.33
REACTOME_ACTIVATION_OF_GENES_BY_ATF4	0.16	0.56	0.29	0.32	0.32	0.33
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.36	0.35	0.10	0.52	0.32	0.33
PID_ALPHASYNUCLEIN_PATHWAY	0.13	0.57	0.53	0.31	0.11	0.33
ST_G_ALPHA_S_PATHWAY	0.24	0.55	0.02	0.49	0.35	0.33
PID_IGF1_PATHWAY	0.01	0.68	0.01	0.00	0.95	0.33
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	0.12	0.12	0.55	0.70	0.16	0.33
KEGG_ALLOGRAFT_REJECTION	0.21	0.21	0.72	0.40	0.11	0.33
PID_IL8CXCR2_PATHWAY	0.17	0.25	0.59	0.13	0.52	0.332
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.36	0.13	0.76	0.00	0.41	0.332
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.51	0.05	0.37	0.40	0.33	0.332
REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX	0.70	0.38	0.12	0.18	0.29	0.334
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.00	0.40	0.00	0.38	0.89	0.334
BIOCARTA_NKT_PATHWAY	0.30	0.13	0.45	0.36	0.43	0.334
REACTOME_SIGNALING_BY_NOTCH2	0.11	0.56	0.11	0.66	0.23	0.334
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	0.75	0.07	0.12	0.52	0.21	0.334
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	0.33	0.29	0.18	0.55	0.32	0.334
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.01	0.40	0.01	0.32	0.93	0.334
KEGG_RENAL_CELL_CARCINOMA	0.01	0.27	0.01	0.45	0.93	0.334
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.75	0.10	0.46	0.21	0.15	0.334
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	0.58	0.40	0.10	0.40	0.19	0.334
BIOCARTA_TALL1_PATHWAY	0.49	0.36	0.17	0.33	0.32	0.334
REACTOME_SIGNALING_BY_NOTCH3	0.47	0.20	0.12	0.55	0.34	0.336
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1	0.39	0.56	0.12	0.29	0.32	0.336
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	0.36	0.34	0.29	0.38	0.31	0.336
BIOCARTA_CARM1_PATHWAY	0.56	0.23	0.18	0.37	0.34	0.336
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA	0.31	0.41	0.27	0.37	0.32	0.336
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	0.30	0.19	0.39	0.37	0.43	0.336
REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1	0.33	0.46	0.22	0.35	0.32	0.336
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	0.35	0.31	0.29	0.41	0.32	0.336
REACTOME_GLUCURONIDATION	0.17	0.15	0.42	0.63	0.32	0.338
BIOCARTA_EIF2_PATHWAY	0.36	0.56	0.13	0.32	0.32	0.338
REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE	0.35	0.50	0.12	0.40	0.32	0.338
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	0.01	0.69	0.00	0.10	0.89	0.338
PID_ERB_GENOMIC_PATHWAY	0.19	0.01	0.63	0.57	0.29	0.338
KEGG_BASE_EXCISION_REPAIR	0.44	0.07	0.26	0.47	0.45	0.338
BIOCARTA_P53_PATHWAY	0.00	0.00	0.00	0.75	0.95	0.34
REACTOME_GAP_JUNCTION_ASSEMBLY	0.34	0.22	0.50	0.32	0.32	0.34
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.01	0.49	0.01	0.31	0.89	0.342
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	0.34	0.29	0.29	0.47	0.32	0.342
BIOCARTA_SODD_PATHWAY	0.70	0.12	0.30	0.20	0.39	0.342
