Gene Set	AUC
MORF_MDM2	0.99494949
REACTOME_GLUTATHIONE_CONJUGATION	0.99494949
REACTOME_SIGNALING_BY_NOTCH3	0.99494949
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	0.99494949
BIOCARTA_IGF1MTOR_PATHWAY	0.99494949
MORF_MAP3K14	0.99494949
KEGG_FOLATE_BIOSYNTHESIS	0.99494949
MORF_RPA2	0.99494949
PID_RAS_PATHWAY	0.99494949
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.99494949
MORF_CNTN1	0.99494949
BIOCARTA_CACAM_PATHWAY	0.99494949
MODULE_236	0.99494949
MODULE_485	0.99494949
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	0.99494949
MORF_CDC16	0.99494949
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.99494949
MORF_TPR	0.99494949
PID_NCADHERINPATHWAY	0.99494949
MORF_RBM8A	0.99494949
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	0.99494949
MODULE_83	0.99494949
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.99494949
BIOCARTA_FCER1_PATHWAY	0.99494949
MODULE_20	0.99494949
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	0.99494949
ST_INTERLEUKIN_13_PATHWAY	0.99494949
MORF_BUB1	0.99494949
REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION	0.99494949
MORF_XRCC5	0.99494949
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	0.99494949
MODULE_93	0.99494949
BIOCARTA_PAR1_PATHWAY	0.99494949
BIOCARTA_MYOSIN_PATHWAY	0.99494949
GNF2_MBD4	0.99494949
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	0.99494949
PID_MYC_ACTIVPATHWAY	0.99494949
MODULE_421	0.99494949
MODULE_362	0.99494949
PID_AR_PATHWAY	0.99494949
BIOCARTA_TOLL_PATHWAY	0.99494949
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.99494949
REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	0.99494949
PID_UPA_UPAR_PATHWAY	0.99494949
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	0.99494949
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS	0.99494949
BIOCARTA_VIP_PATHWAY	0.99494949
MODULE_145	0.99494949
MODULE_404	0.99494949
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY	0.99494949
REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.99494949
GNF2_CCNA2	0.99494949
REACTOME_METABOLISM_OF_NON_CODING_RNA	0.99494949
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.99494949
KEGG_HOMOLOGOUS_RECOMBINATION	0.99494949
MODULE_66	0.99494949
REACTOME_ER_PHAGOSOME_PATHWAY	0.99494949
REACTOME_GLUCONEOGENESIS	0.99494949
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	0.99494949
MODULE_215	0.99494949
MODULE_350	0.99494949
BIOCARTA_NTHI_PATHWAY	0.99494949
MORF_FLT1	0.99494949
MODULE_153	0.99494949
MODULE_116	0.99494949
MODULE_352	0.99494949
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	0.99494949
MORF_EPHA7	0.99494949
GNF2_RRM1	0.99494949
PID_HDAC_CLASSIII_PATHWAY	0.99494949
PID_NFAT_TFPATHWAY	0.99494949
REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING	0.99494949
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	0.99494949
BIOCARTA_RB_PATHWAY	0.99494949
KEGG_LYSOSOME	0.99494949
REACTOME_IRON_UPTAKE_AND_TRANSPORT	0.99494949
REACTOME_INSULIN_SYNTHESIS_AND_PROCESSING	0.99494949
MODULE_183	0.99494949
BIOCARTA_SALMONELLA_PATHWAY	0.99494949
REACTOME_SYNTHESIS_OF_PC	0.99494949
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.99494949
MODULE_489	0.99494949
REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA	0.99494949
KEGG_INSULIN_SIGNALING_PATHWAY	0.99494949
REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY	0.99494949
MODULE_340	0.99494949
BIOCARTA_GLEEVEC_PATHWAY	0.99494949
REACTOME_DNA_REPLICATION	0.99494949
MODULE_557	0.99494949
REACTOME_DNA_STRAND_ELONGATION	0.99494949
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.99494949
PID_CXCR3PATHWAY	0.99494949
PID_ALK2PATHWAY	0.99494949
MODULE_200	0.99494949
KEGG_ASTHMA	0.99494949
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLP1	0.99494949
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12	0.99494949
REACTOME_REGULATION_OF_INSULIN_SECRETION	0.99494949
REACTOME_SYNTHESIS_OF_PE	0.99494949
GCM_HDAC1	0.99494949
GNF2_CYP2B6	0.99494949
MORF_IL9	0.99494949
ST_JNK_MAPK_PATHWAY	0.99494949
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	0.99494949
GNF2_PRDX2	0.99494949
REACTOME_REGULATION_OF_IFNA_SIGNALING	0.99494949
GCM_MSN	0.99494949
REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX	0.99494949
MORF_PRKAR1A	0.99494949
SA_MMP_CYTOKINE_CONNECTION	0.99494949
PID_NETRIN_PATHWAY	0.99494949
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	0.99494949
MODULE_146	0.99494949
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	0.99494949
REACTOME_ION_CHANNEL_TRANSPORT	0.99494949
PID_P73PATHWAY	0.99494949
KEGG_PROTEASOME	0.99494949
MODULE_560	0.99494949
MODULE_410	0.99494949
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.99494949
BIOCARTA_P53HYPOXIA_PATHWAY	0.99494949
PID_ARF_3PATHWAY	0.99494949
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.99494949
BIOCARTA_NO2IL12_PATHWAY	0.99494949
KEGG_DILATED_CARDIOMYOPATHY	0.99494949
GNF2_HCK	0.99494949
GNF2_GSTM1	0.99494949
BIOCARTA_TID_PATHWAY	0.99494949
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.99494949
MODULE_112	0.99494949
PID_ECADHERIN_KERATINOCYTE_PATHWAY	0.99494949
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.99494949
MORF_LTK	0.99494949
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.99494949
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.99494949
GCM_HBP1	0.99494949
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	0.99494949
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.99494949
MODULE_135	0.99494949
REACTOME_COLLAGEN_FORMATION	0.99494949
MODULE_35	0.99494949
PID_PTP1BPATHWAY	0.99494949
GNF2_FBL	0.99494949
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.99494949
REACTOME_SIGNAL_AMPLIFICATION	0.99494949
PID_HIF1APATHWAY	0.99494949
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.99494949
REACTOME_ETHANOL_OXIDATION	0.99494949
GNF2_PA2G4	0.99494949
MODULE_136	0.99494949
GCM_BCL2L1	0.99494949
MODULE_114	0.99494949
MODULE_287	0.99494949
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE	0.99494949
ST_WNT_BETA_CATENIN_PATHWAY	0.99494949
PID_P53REGULATIONPATHWAY	0.99494949
PID_IL12_STAT4PATHWAY	0.99494949
BIOCARTA_NFAT_PATHWAY	0.99494949
GNF2_EIF3S6	0.99494949
PID_RETINOIC_ACID_PATHWAY	0.99494949
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	0.99494949
REACTOME_PD1_SIGNALING	0.99494949
BIOCARTA_CFTR_PATHWAY	0.99494949
MODULE_488	0.99494949
MODULE_303	0.99494949
MODULE_182	0.99494949
BIOCARTA_EDG1_PATHWAY	0.99494949
MODULE_16	0.99494949
MORF_RAD21	0.99494949
BIOCARTA_BARR_MAPK_PATHWAY	0.99494949
MORF_FOSL1	0.99494949
REACTOME_SIGNALING_BY_FGFR	0.99494949
MORF_PHB	0.99494949
BIOCARTA_HIF_PATHWAY	0.99494949
BIOCARTA_TNFR1_PATHWAY	0.99494949
PID_AVB3_OPN_PATHWAY	0.99494949
MODULE_162	0.99494949
GNF2_XRCC5	0.99494949
MODULE_77	0.99494949
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.99494949
MORF_USP5	0.99494949
REACTOME_SIGNALING_BY_ILS	0.99494949
BIOCARTA_ATRBRCA_PATHWAY	0.99494949
GNF2_ITGAL	0.99494949
KEGG_BASAL_CELL_CARCINOMA	0.99494949
PID_P38_MK2PATHWAY	0.99494949
MODULE_277	0.99494949
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.99494949
MODULE_414	0.99494949
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	0.99494949
MODULE_330	0.99494949
MODULE_45	0.99494949
REACTOME_PURINE_METABOLISM	0.99494949
BIOCARTA_KERATINOCYTE_PATHWAY	0.99494949
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE	0.99494949
MODULE_313	0.99494949
REACTOME_PLATELET_HOMEOSTASIS	0.99494949
MORF_MTA1	0.99494949
GCM_CSNK1A1	0.99494949
GCM_MAPK10	0.99494949
KEGG_LIMONENE_AND_PINENE_DEGRADATION	0.99494949
PID_PDGFRBPATHWAY	0.99494949
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	0.99494949
MODULE_412	0.99494949
REACTOME_SIGNALING_BY_FGFR_MUTANTS	0.99494949
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.99494949
BIOCARTA_CARM1_PATHWAY	0.99494949
BIOCARTA_MTOR_PATHWAY	0.99494949
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.99494949
PID_TCR_PATHWAY	0.99494949
GNF2_MLF1	0.99494949
BIOCARTA_ARAP_PATHWAY	0.99494949
GNF2_TYK2	0.99494949
MODULE_274	0.99494949
MORF_ANP32B	0.99494949
PID_IL8CXCR2_PATHWAY	0.99494949
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.99494949
GCM_CALM1	0.99494949
GNF2_RTN1	0.99494949
PID_S1P_S1P1_PATHWAY	0.99494949
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.99494949
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS	0.99494949
REACTOME_REGULATION_OF_COMPLEMENT_CASCADE	0.99494949
REACTOME_UNFOLDED_PROTEIN_RESPONSE	0.99494949
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.99494949
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	0.99494949
PID_HIF1_TFPATHWAY	0.99494949
GNF2_PTPN6	0.99494949
REACTOME_DESTABILIZATION_OF_MRNA_BY_AUF1_HNRNP_D0	0.99494949
MODULE_97	0.99494949
PID_P38GAMMADELTAPATHWAY	0.99494949
REACTOME_PI_METABOLISM	0.99494949
GCM_NCAM1	0.99494949
MODULE_331	0.99494949
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.99494949
REACTOME_PACKAGING_OF_TELOMERE_ENDS	0.99494949
PID_AP1_PATHWAY	0.99494949
GNF2_INPP5D	0.99494949
MODULE_275	0.99494949
PID_WNT_CANONICAL_PATHWAY	0.99494949
GNF2_RAN	0.99494949
MODULE_210	0.99494949
REACTOME_SIGNALING_BY_NOTCH1	0.99494949
MORF_PTPN11	0.99494949
MODULE_464	0.99494949
PID_IL12_2PATHWAY	0.99494949
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.99494949
REACTOME_CTLA4_INHIBITORY_SIGNALING	0.99494949
MODULE_86	0.99494949
BIOCARTA_SRCRPTP_PATHWAY	0.99494949
REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR	0.99494949
BIOCARTA_TEL_PATHWAY	0.99494949
MODULE_91	0.99494949
GNF2_MSH6	0.99494949
MODULE_387	0.99494949
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.99494949
BIOCARTA_MEF2D_PATHWAY	0.99494949
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	0.99494949
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	0.99494949
MODULE_278	0.99494949
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	0.99494949
MODULE_368	0.99494949
MODULE_418	0.99494949
REACTOME_SHC_RELATED_EVENTS	0.99494949
KEGG_RNA_POLYMERASE	0.99494949
MODULE_462	0.99494949
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	0.99494949
PID_INTEGRIN2_PATHWAY	0.99494949
REACTOME_INNATE_IMMUNE_SYSTEM	0.99494949
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.99494949
PID_BARD1PATHWAY	0.99494949
MORF_ETV3	0.99494949
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.99494949
PID_WNT_NONCANONICAL_PATHWAY	0.99494949
BIOCARTA_NOS1_PATHWAY	0.99494949
GNF2_ICAM3	0.99494949
GCM_MAP1B	0.99494949
REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	0.99494949
BIOCARTA_HER2_PATHWAY	0.99494949
MODULE_491	0.99494949
MORF_PSMC2	0.99494949
MODULE_156	0.99494949
MODULE_562	0.99494949
REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS	0.99494949
PID_RHOA_REG_PATHWAY	0.99494949
MORF_IL13	0.99494949
PID_PLK1_PATHWAY	0.99494949
MODULE_281	0.99494949
MODULE_253	0.99494949
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	0.99494949
MODULE_568	0.99494949
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	0.99494949
REACTOME_FORMATION_OF_TRANSCRIPTION_COUPLED_NER_TC_NER_REPAIR_COMPLEX	0.99494949
MODULE_373	0.99494949
MORF_RAB11A	0.99494949
REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING	0.99494949
GCM_UBE2N	0.99494949
MORF_MYC	0.99494949
BIOCARTA_AGR_PATHWAY	0.99494949
REACTOME_MEIOTIC_RECOMBINATION	0.99494949
MODULE_209	0.99494949
MODULE_115	0.99494949
GNF2_RRM2	0.99494949
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	0.99494949
MODULE_235	0.99494949
REACTOME_INTEGRATION_OF_PROVIRUS	0.99494949
MORF_DEK	0.99494949
REACTOME_DEADENYLATION_OF_MRNA	0.99494949
REACTOME_CD28_CO_STIMULATION	0.99494949
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	0.99494949
REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE	0.99494949
MODULE_500	0.99494949
MORF_ATOX1	0.99494949
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.99494949
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.99494949
REACTOME_SEROTONIN_RECEPTORS	0.99494949
PID_IL2_1PATHWAY	0.99494949
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION	0.99494949
REACTOME_HDL_MEDIATED_LIPID_TRANSPORT	0.99494949
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.99494949
MODULE_484	0.99494949
MODULE_547	0.99494949
MORF_RAD23B	0.99494949
BIOCARTA_PGC1A_PATHWAY	0.99494949
REACTOME_GLYCOLYSIS	0.99494949
GNF2_SNRK	0.99494949
MODULE_240	0.99494949
PID_SYNDECAN_3_PATHWAY	0.99494949
BIOCARTA_GATA3_PATHWAY	0.99494949
MODULE_501	0.99494949
BIOCARTA_ERYTH_PATHWAY	0.99494949
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	0.99494949
GCM_RAD21	0.99494949
GNF2_CD97	0.99494949
MORF_RRM1	0.99494949
PID_ILK_PATHWAY	0.99494949
REACTOME_COPI_MEDIATED_TRANSPORT	0.99494949
KEGG_GNRH_SIGNALING_PATHWAY	0.99494949
KEGG_TYROSINE_METABOLISM	0.99494949
REACTOME_SHC_MEDIATED_CASCADE	0.99494949
REACTOME_MEMBRANE_TRAFFICKING	0.99494949
GNF2_BUB3	0.99494949
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.99494949
MODULE_325	0.99494949
MODULE_171	0.99494949
MODULE_82	0.99494949
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.99494949
MORF_FBL	0.99494949
MORF_RAD51L3	0.99494949
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE	0.99494949
BIOCARTA_EIF2_PATHWAY	0.99494949
KEGG_LONG_TERM_POTENTIATION	0.99494949
REACTOME_PHOSPHORYLATION_OF_THE_APC_C	0.99494949
GNF2_SMC4L1	0.99494949
KEGG_BETA_ALANINE_METABOLISM	0.99494949
REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION	0.99494949
MODULE_27	0.99494949
MODULE_96	0.99494949
MORF_IKBKG	0.99494949
GNF2_MYL3	0.99494949
ST_WNT_CA2_CYCLIC_GMP_PATHWAY	0.99494949
MORF_EIF4A2	0.99494949
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	0.99494949
GNF2_SPTA1	0.99494949
REACTOME_IL_2_SIGNALING	0.99494949
REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN	0.99494949
MODULE_17	0.99494949
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN	0.99494949
PID_CIRCADIANPATHWAY	0.99494949
MODULE_36	0.99494949
KEGG_PARKINSONS_DISEASE	0.99494949
MODULE_509	0.99494949
REACTOME_G_PROTEIN_ACTIVATION	0.99494949
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	0.99494949
REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	0.99494949
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	0.99494949
REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT	0.99494949
MODULE_411	0.99494949
REACTOME_RNA_POL_III_TRANSCRIPTION	0.99494949
MODULE_104	0.99494949
REACTOME_ACTIVATION_OF_GENES_BY_ATF4	0.99494949
PID_TAP63PATHWAY	0.99494949
REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS	0.99494949
MORF_UBE2N	0.99494949
MODULE_323	0.99494949
MODULE_478	0.99494949
GNF2_HMMR	0.99494949
GNF2_DAP3	0.99494949
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.99494949
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	0.99494949
MORF_PDPK1	0.99494949
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	0.99494949
PID_HES_HEYPATHWAY	0.99494949
MORF_MLLT10	0.99494949
REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	0.99494949
GNF2_MAP2K3	0.99494949
MODULE_440	0.99494949
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.99494949
PID_MYC_REPRESSPATHWAY	0.99494949
REACTOME_SPHINGOLIPID_METABOLISM	0.99494949
REACTOME_SIGNAL_TRANSDUCTION_BY_L1	0.99494949
MODULE_397	0.99494949
PID_LKB1_PATHWAY	0.99494949
GNF2_KPNB1	0.99494949
MORF_GNB1	0.99494949
BIOCARTA_RARRXR_PATHWAY	0.99494949
PID_EPHA2_FWDPATHWAY	0.99494949
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.99494949
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.99494949
MODULE_540	0.99494949
BIOCARTA_PYK2_PATHWAY	0.99494949
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	0.99494949
REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	0.99494949
PID_EPHRINBREVPATHWAY	0.99494949
PID_SYNDECAN_4_PATHWAY	0.99494949
REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	0.99494949
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE	0.99494949
MODULE_388	0.99494949
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.99494949
REACTOME_CTNNB1_PHOSPHORYLATION_CASCADE	0.99494949
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	0.99494949
GNF2_MCL1	0.99494949
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.99494949
PID_HDAC_CLASSI_PATHWAY	0.99494949
REACTOME_EGFR_DOWNREGULATION	0.99494949
GNF2_CD7	0.99494949
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	0.99494949
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	0.99494949
MODULE_11	0.99494949
GCM_DDX5	0.99494949
REACTOME_G1_S_TRANSITION	0.99494949
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.99494949
BIOCARTA_GCR_PATHWAY	0.99494949
REACTOME_HS_GAG_DEGRADATION	0.99494949
MORF_MSH3	0.99494949
GNF2_ANK1	0.99494949
REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS	0.99494949
BIOCARTA_NEUROTRANSMITTERS_PATHWAY	0.99494949
PID_CXCR4_PATHWAY	0.99494949
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.99494949
PID_IFNGPATHWAY	0.99494949
GCM_ERBB2IP	0.99494949
REACTOME_SIGNALING_BY_BMP	0.99494949
GNF2_ELAC2	0.99494949
GCM_CSNK2B	0.99494949
REACTOME_METABOLISM_OF_PORPHYRINS	0.99494949
REACTOME_GAB1_SIGNALOSOME	0.99494949
BIOCARTA_DNAFRAGMENT_PATHWAY	0.99494949
MODULE_396	0.99494949
REACTOME_ELONGATION_ARREST_AND_RECOVERY	0.99494949
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS	0.99494949
